commodity,guideline_group,edible_portion,energy_kcal_100g,protein_g_100g,feed_conversion
Rice,Cereals,1.0,346,7.9,---
Wheat,Cereals,1.0,344,12.4,---
Legumes,Cereals,1.0,329,20.0,---
Coarse grains,Cereals,1.0,348,8.5,---
Vegetables,Vegetables,0.87,31,1.9,---
Fruits,Fruits,0.78,52,0.5,---
Pork,Livestock meat,1.0,331,15.1,2.8-3.2
Beef,Livestock meat,1.0,125,19.9,6.0-8.0
Poultry,Livestock meat,0.66,167,19.3,1.8-2.1
Aquatic products,Aquatic products,0.57,104,17.6,1.2-1.6
Eggs,Eggs,0.87,144,13.3,2.0-2.4
Dairy,Dairy,1.0,54,3.0,0.3-0.5
