account,geography,scenario,indicator,boundary,region,commodity,year,unit,value,coef_source,quantity_variable,note
final_consumption_lca,China,BS,co2_lca_final_food,cradle-to-retail final food product,CHN,RICE,2023,Mt CO2e,697.71,pn_lca,food_demand_total,
final_consumption_lca,China,BS,water_blue_lca_final_food,product water footprint applied only to final food demand,CHN,RICE,2023,km3,53.8766,mh_wld,food_demand_total,
final_consumption_lca,China,BS,land_lca_final_food,land occupation equivalent for final food product,CHN,RICE,2023,Mha,44.2388,pn_land,food_demand_total,
final_consumption_lca,China,BS,co2_lca_final_food,cradle-to-retail final food product,CHN,RICE,2024,Mt CO2e,691.104,pn_lca,food_demand_total,
final_consumption_lca,China,BS,water_blue_lca_final_food,product water footprint applied only to final food demand,CHN,RICE,2024,km3,53.3665,mh_wld,food_demand_total,
final_consumption_lca,China,BS,land_lca_final_food,land occupation equivalent for final food product,CHN,RICE,2024,Mha,43.82,pn_land,food_demand_total,
final_consumption_lca,China,BS,co2_lca_final_food,cradle-to-retail final food product,CHN,RICE,2025,Mt CO2e,683.726,pn_lca,food_demand_total,
final_consumption_lca,China,BS,water_blue_lca_final_food,product water footprint applied only to final food demand,CHN,RICE,2025,km3,52.7968,mh_wld,food_demand_total,
final_consumption_lca,China,BS,land_lca_final_food,land occupation equivalent for final food product,CHN,RICE,2025,Mha,43.3522,pn_land,food_demand_total,
final_consumption_lca,China,BS,co2_lca_final_food,cradle-to-retail final food product,CHN,RICE,2026,Mt CO2e,677.245,pn_lca,food_demand_total,
final_consumption_lca,China,BS,water_blue_lca_final_food,product water footprint applied only to final food demand,CHN,RICE,2026,km3,52.2963,mh_wld,food_demand_total,
final_consumption_lca,China,BS,land_lca_final_food,land occupation equivalent for final food product,CHN,RICE,2026,Mha,42.9413,pn_land,food_demand_total,
final_consumption_lca,China,BS,co2_lca_final_food,cradle-to-retail final food product,CHN,RICE,2027,Mt CO2e,670.891,pn_lca,food_demand_total,
final_consumption_lca,China,BS,water_blue_lca_final_food,product water footprint applied only to final food demand,CHN,RICE,2027,km3,51.8057,mh_wld,food_demand_total,
final_consumption_lca,China,BS,land_lca_final_food,land occupation equivalent for final food product,CHN,RICE,2027,Mha,42.5384,pn_land,food_demand_total,
final_consumption_lca,China,BS,co2_lca_final_food,cradle-to-retail final food product,CHN,RICE,2028,Mt CO2e,664.506,pn_lca,food_demand_total,
final_consumption_lca,China,BS,water_blue_lca_final_food,product water footprint applied only to final food demand,CHN,RICE,2028,km3,51.3127,mh_wld,food_demand_total,
final_consumption_lca,China,BS,land_lca_final_food,land occupation equivalent for final food product,CHN,RICE,2028,Mha,42.1336,pn_land,food_demand_total,
final_consumption_lca,China,BS,co2_lca_final_food,cradle-to-retail final food product,CHN,RICE,2029,Mt CO2e,658.057,pn_lca,food_demand_total,
final_consumption_lca,China,BS,water_blue_lca_final_food,product water footprint applied only to final food demand,CHN,RICE,2029,km3,50.8146,mh_wld,food_demand_total,
final_consumption_lca,China,BS,land_lca_final_food,land occupation equivalent for final food product,CHN,RICE,2029,Mha,41.7246,pn_land,food_demand_total,
final_consumption_lca,China,BS,co2_lca_final_food,cradle-to-retail final food product,CHN,RICE,2030,Mt CO2e,651.558,pn_lca,food_demand_total,
final_consumption_lca,China,BS,water_blue_lca_final_food,product water footprint applied only to final food demand,CHN,RICE,2030,km3,50.3128,mh_wld,food_demand_total,
final_consumption_lca,China,BS,land_lca_final_food,land occupation equivalent for final food product,CHN,RICE,2030,Mha,41.3126,pn_land,food_demand_total,
final_consumption_lca,China,BS,co2_lca_final_food,cradle-to-retail final food product,CHN,RICE,2031,Mt CO2e,645.607,pn_lca,food_demand_total,
final_consumption_lca,China,BS,water_blue_lca_final_food,product water footprint applied only to final food demand,CHN,RICE,2031,km3,49.8533,mh_wld,food_demand_total,
final_consumption_lca,China,BS,land_lca_final_food,land occupation equivalent for final food product,CHN,RICE,2031,Mha,40.9352,pn_land,food_demand_total,
final_consumption_lca,China,BS,co2_lca_final_food,cradle-to-retail final food product,CHN,RICE,2032,Mt CO2e,639.539,pn_lca,food_demand_total,
final_consumption_lca,China,BS,water_blue_lca_final_food,product water footprint applied only to final food demand,CHN,RICE,2032,km3,49.3847,mh_wld,food_demand_total,
final_consumption_lca,China,BS,land_lca_final_food,land occupation equivalent for final food product,CHN,RICE,2032,Mha,40.5505,pn_land,food_demand_total,
final_consumption_lca,China,BS,co2_lca_final_food,cradle-to-retail final food product,CHN,RICE,2033,Mt CO2e,633.41,pn_lca,food_demand_total,
final_consumption_lca,China,BS,water_blue_lca_final_food,product water footprint applied only to final food demand,CHN,RICE,2033,km3,48.9114,mh_wld,food_demand_total,
final_consumption_lca,China,BS,land_lca_final_food,land occupation equivalent for final food product,CHN,RICE,2033,Mha,40.1619,pn_land,food_demand_total,
final_consumption_lca,China,BS,co2_lca_final_food,cradle-to-retail final food product,CHN,RICE,2034,Mt CO2e,627.214,pn_lca,food_demand_total,
final_consumption_lca,China,BS,water_blue_lca_final_food,product water footprint applied only to final food demand,CHN,RICE,2034,km3,48.433,mh_wld,food_demand_total,
final_consumption_lca,China,BS,land_lca_final_food,land occupation equivalent for final food product,CHN,RICE,2034,Mha,39.769,pn_land,food_demand_total,
