scenario,indicator,coef_source,commodity,year,value
BS,co2_faostat_prod,faostat_chn,RICE,2023,186.356
BS,co2_faostat_cons,faostat_chn,RICE,2023,186.356
BS,co2_pn_lca,pn_lca,RICE,2023,912.359
BS,water_green_prod,mh_wld,RICE,2023,236.767
BS,water_blue_prod,mh_wld,RICE,2023,70.4516
BS,water_grey_prod,mh_wld,RICE,2023,38.6348
BS,water_green,mh_wld,RICE,2023,236.767
BS,water_blue,mh_wld,RICE,2023,70.4516
BS,water_grey,mh_wld,RICE,2023,38.6348
BS,nitrogen_prod,crop_nfert,RICE,2023,5.14136
BS,nitrogen_total,crop_nfert,RICE,2023,5.14136
BS,land_diet,pn_land,RICE,2023,57.8488
BS,co2_faostat_prod,faostat_chn,RICE,2024,187.197
BS,co2_faostat_cons,faostat_chn,RICE,2024,186.998
BS,co2_pn_lca,pn_lca,RICE,2024,915.502
BS,water_green_prod,mh_wld,RICE,2024,237.835
BS,water_blue_prod,mh_wld,RICE,2024,70.7694
BS,water_grey_prod,mh_wld,RICE,2024,38.809
BS,water_green,mh_wld,RICE,2024,237.583
BS,water_blue,mh_wld,RICE,2024,70.6943
BS,water_grey,mh_wld,RICE,2024,38.7678
BS,nitrogen_prod,crop_nfert,RICE,2024,5.15163
BS,nitrogen_total,crop_nfert,RICE,2024,5.14616
BS,land_diet,pn_land,RICE,2024,58.0481
BS,co2_faostat_prod,faostat_chn,RICE,2025,187.563
BS,co2_faostat_cons,faostat_chn,RICE,2025,188.215
BS,co2_pn_lca,pn_lca,RICE,2025,921.46
BS,water_green_prod,mh_wld,RICE,2025,238.301
BS,water_blue_prod,mh_wld,RICE,2025,70.908
BS,water_grey_prod,mh_wld,RICE,2025,38.885
BS,water_green,mh_wld,RICE,2025,239.129
BS,water_blue,mh_wld,RICE,2025,71.1544
BS,water_grey,mh_wld,RICE,2025,39.0202
BS,nitrogen_prod,crop_nfert,RICE,2025,5.15278
BS,nitrogen_total,crop_nfert,RICE,2025,5.17068
BS,land_diet,pn_land,RICE,2025,58.4259
BS,co2_faostat_prod,faostat_chn,RICE,2026,187.923
BS,co2_faostat_cons,faostat_chn,RICE,2026,189.48
BS,co2_pn_lca,pn_lca,RICE,2026,927.652
BS,water_green_prod,mh_wld,RICE,2026,238.758
BS,water_blue_prod,mh_wld,RICE,2026,71.0442
BS,water_grey_prod,mh_wld,RICE,2026,38.9597
BS,water_green,mh_wld,RICE,2026,240.736
BS,water_blue,mh_wld,RICE,2026,71.6325
BS,water_grey,mh_wld,RICE,2026,39.2823
BS,nitrogen_prod,crop_nfert,RICE,2026,5.15393
BS,nitrogen_total,crop_nfert,RICE,2026,5.19661
BS,land_diet,pn_land,RICE,2026,58.8185
BS,co2_faostat_prod,faostat_chn,RICE,2027,188.276
BS,co2_faostat_cons,faostat_chn,RICE,2027,190.461
BS,co2_pn_lca,pn_lca,RICE,2027,932.457
BS,water_green_prod,mh_wld,RICE,2027,239.207
BS,water_blue_prod,mh_wld,RICE,2027,71.1777
BS,water_grey_prod,mh_wld,RICE,2027,39.0329
BS,water_green,mh_wld,RICE,2027,241.983
BS,water_blue,mh_wld,RICE,2027,72.0036
BS,water_grey,mh_wld,RICE,2027,39.4859
BS,nitrogen_prod,crop_nfert,RICE,2027,5.15508
BS,nitrogen_total,crop_nfert,RICE,2027,5.2149
BS,land_diet,pn_land,RICE,2027,59.1232
BS,co2_faostat_prod,faostat_chn,RICE,2028,188.622
BS,co2_faostat_cons,faostat_chn,RICE,2028,191.279
BS,co2_pn_lca,pn_lca,RICE,2028,936.459
BS,water_green_prod,mh_wld,RICE,2028,239.646
BS,water_blue_prod,mh_wld,RICE,2028,71.3083
BS,water_grey_prod,mh_wld,RICE,2028,39.1045
BS,water_green,mh_wld,RICE,2028,243.021
BS,water_blue,mh_wld,RICE,2028,72.3126
BS,water_grey,mh_wld,RICE,2028,39.6553
BS,nitrogen_prod,crop_nfert,RICE,2028,5.15624
BS,nitrogen_total,crop_nfert,RICE,2028,5.22886
BS,land_diet,pn_land,RICE,2028,59.3769
BS,co2_faostat_prod,faostat_chn,RICE,2029,188.959
BS,co2_faostat_cons,faostat_chn,RICE,2029,192.111
BS,co2_pn_lca,pn_lca,RICE,2029,940.536
BS,water_green_prod,mh_wld,RICE,2029,240.074
BS,water_blue_prod,mh_wld,RICE,2029,71.4357
BS,water_grey_prod,mh_wld,RICE,2029,39.1744
BS,water_green,mh_wld,RICE,2029,244.079
BS,water_blue,mh_wld,RICE,2029,72.6275
BS,water_grey,mh_wld,RICE,2029,39.828
BS,nitrogen_prod,crop_nfert,RICE,2029,5.15739
BS,nitrogen_total,crop_nfert,RICE,2029,5.24344
BS,land_diet,pn_land,RICE,2029,59.6355
BS,co2_faostat_prod,faostat_chn,RICE,2030,189.287
BS,co2_faostat_cons,faostat_chn,RICE,2030,192.973
BS,co2_pn_lca,pn_lca,RICE,2030,944.752
BS,water_green_prod,mh_wld,RICE,2030,240.491
BS,water_blue_prod,mh_wld,RICE,2030,71.5596
BS,water_grey_prod,mh_wld,RICE,2030,39.2424
BS,water_green,mh_wld,RICE,2030,245.174
BS,water_blue,mh_wld,RICE,2030,72.953
BS,water_grey,mh_wld,RICE,2030,40.0065
BS,nitrogen_prod,crop_nfert,RICE,2030,5.15855
BS,nitrogen_total,crop_nfert,RICE,2030,5.259
BS,land_diet,pn_land,RICE,2030,59.9028
BS,co2_faostat_prod,faostat_chn,RICE,2031,189.462
BS,co2_faostat_cons,faostat_chn,RICE,2031,193.499
BS,co2_pn_lca,pn_lca,RICE,2031,947.328
BS,water_green_prod,mh_wld,RICE,2031,240.714
BS,water_blue_prod,mh_wld,RICE,2031,71.626
BS,water_grey_prod,mh_wld,RICE,2031,39.2787
BS,water_green,mh_wld,RICE,2031,245.842
BS,water_blue,mh_wld,RICE,2031,73.1519
BS,water_grey,mh_wld,RICE,2031,40.1156
BS,nitrogen_prod,crop_nfert,RICE,2031,5.1597
BS,nitrogen_total,crop_nfert,RICE,2031,5.26962
BS,land_diet,pn_land,RICE,2031,60.0661
BS,co2_faostat_prod,faostat_chn,RICE,2032,189.626
BS,co2_faostat_cons,faostat_chn,RICE,2032,193.689
BS,co2_pn_lca,pn_lca,RICE,2032,948.261
BS,water_green_prod,mh_wld,RICE,2032,240.922
BS,water_blue_prod,mh_wld,RICE,2032,71.688
BS,water_grey_prod,mh_wld,RICE,2032,39.3128
BS,water_green,mh_wld,RICE,2032,246.084
BS,water_blue,mh_wld,RICE,2032,73.224
BS,water_grey,mh_wld,RICE,2032,40.1551
BS,nitrogen_prod,crop_nfert,RICE,2032,5.16086
BS,nitrogen_total,crop_nfert,RICE,2032,5.27143
BS,land_diet,pn_land,RICE,2032,60.1252
BS,co2_faostat_prod,faostat_chn,RICE,2033,189.778
BS,co2_faostat_cons,faostat_chn,RICE,2033,193.894
BS,co2_pn_lca,pn_lca,RICE,2033,949.266
BS,water_green_prod,mh_wld,RICE,2033,241.114
BS,water_blue_prod,mh_wld,RICE,2033,71.7452
BS,water_grey_prod,mh_wld,RICE,2033,39.3442
BS,water_green,mh_wld,RICE,2033,246.345
BS,water_blue,mh_wld,RICE,2033,73.3015
BS,water_grey,mh_wld,RICE,2033,40.1976
BS,nitrogen_prod,crop_nfert,RICE,2033,5.16201
BS,nitrogen_total,crop_nfert,RICE,2033,5.27399
BS,land_diet,pn_land,RICE,2033,60.1889
BS,co2_faostat_prod,faostat_chn,RICE,2034,189.915
BS,co2_faostat_cons,faostat_chn,RICE,2034,194.113
BS,co2_pn_lca,pn_lca,RICE,2034,950.335
BS,water_green_prod,mh_wld,RICE,2034,241.289
BS,water_blue_prod,mh_wld,RICE,2034,71.7972
BS,water_grey_prod,mh_wld,RICE,2034,39.3727
BS,water_green,mh_wld,RICE,2034,246.622
BS,water_blue,mh_wld,RICE,2034,73.3841
BS,water_grey,mh_wld,RICE,2034,40.2429
BS,nitrogen_prod,crop_nfert,RICE,2034,5.16317
BS,nitrogen_total,crop_nfert,RICE,2034,5.27728
BS,land_diet,pn_land,RICE,2034,60.2567
BS,co2_faostat_prod,faostat_chn,RICE,2035,190.038
BS,co2_faostat_cons,faostat_chn,RICE,2035,194.348
BS,co2_pn_lca,pn_lca,RICE,2035,951.485
BS,water_green_prod,mh_wld,RICE,2035,241.445
BS,water_blue_prod,mh_wld,RICE,2035,71.8435
BS,water_grey_prod,mh_wld,RICE,2035,39.398
BS,water_green,mh_wld,RICE,2035,246.921
BS,water_blue,mh_wld,RICE,2035,73.4729
BS,water_grey,mh_wld,RICE,2035,40.2916
BS,nitrogen_prod,crop_nfert,RICE,2035,5.16432
BS,nitrogen_total,crop_nfert,RICE,2035,5.28145
BS,land_diet,pn_land,RICE,2035,60.3297
BS,co2_faostat_prod,faostat_chn,RICE,2036,190.139
BS,co2_faostat_cons,faostat_chn,RICE,2036,194.61
BS,co2_pn_lca,pn_lca,RICE,2036,952.771
BS,water_green_prod,mh_wld,RICE,2036,241.574
BS,water_blue_prod,mh_wld,RICE,2036,71.8818
BS,water_grey_prod,mh_wld,RICE,2036,39.4191
BS,water_green,mh_wld,RICE,2036,247.254
BS,water_blue,mh_wld,RICE,2036,73.5722
BS,water_grey,mh_wld,RICE,2036,40.3461
BS,nitrogen_prod,crop_nfert,RICE,2036,5.16517
BS,nitrogen_total,crop_nfert,RICE,2036,5.28663
BS,land_diet,pn_land,RICE,2036,60.4112
BS,co2_faostat_prod,faostat_chn,RICE,2037,190.222
BS,co2_faostat_cons,faostat_chn,RICE,2037,194.869
BS,co2_pn_lca,pn_lca,RICE,2037,954.035
BS,water_green_prod,mh_wld,RICE,2037,241.68
BS,water_blue_prod,mh_wld,RICE,2037,71.9134
BS,water_grey_prod,mh_wld,RICE,2037,39.4364
BS,water_green,mh_wld,RICE,2037,247.583
