scenario,indicator,coef_source,region,commodity,year,value
BS,nitrogen_total,crop_nfert,BRZ,RIC,2030,0.195746
BS,land_harvested,ahv_physical,BRZ,RIC,2030,1.53885
BS,land_prod,pn_land,BRZ,RIC,2030,2.10803
BS,co2_faostat,faostat_wld,BRZ,RIC,2035,7.50583
BS,water_green,,BRZ,RIC,2035,9.15463
BS,water_blue,,BRZ,RIC,2035,2.72402
BS,water_grey,,BRZ,RIC,2035,1.49382
BS,nitrogen_total,crop_nfert,BRZ,RIC,2035,0.207697
BS,land_harvested,ahv_physical,BRZ,RIC,2035,1.57848
BS,land_prod,pn_land,BRZ,RIC,2035,2.23673
BS,co2_faostat,faostat_wld,BRZ,RIC,2040,7.9295
BS,water_green,,BRZ,RIC,2040,9.67136
BS,water_blue,,BRZ,RIC,2040,2.87778
BS,water_grey,,BRZ,RIC,2040,1.57814
BS,nitrogen_total,crop_nfert,BRZ,RIC,2040,0.21942
BS,land_harvested,ahv_physical,BRZ,RIC,2040,1.61383
BS,land_prod,pn_land,BRZ,RIC,2040,2.36298
BS,co2_faostat,faostat_wld,BRZ,RIC,2045,8.38448
BS,water_green,,BRZ,RIC,2045,10.2263
BS,water_blue,,BRZ,RIC,2045,3.0429
BS,water_grey,,BRZ,RIC,2045,1.66869
BS,nitrogen_total,crop_nfert,BRZ,RIC,2045,0.23201
BS,land_harvested,ahv_physical,BRZ,RIC,2045,1.64967
BS,land_prod,pn_land,BRZ,RIC,2045,2.49857
BS,co2_faostat,faostat_wld,BRZ,RIC,2050,8.87451
BS,water_green,,BRZ,RIC,2050,10.824
BS,water_blue,,BRZ,RIC,2050,3.22074
BS,water_grey,,BRZ,RIC,2050,1.76621
BS,nitrogen_total,crop_nfert,BRZ,RIC,2050,0.24557
BS,land_harvested,ahv_physical,BRZ,RIC,2050,1.68595
BS,land_prod,pn_land,BRZ,RIC,2050,2.6446
BS,co2_faostat,faostat_chn,CHN,RIC,2024,132.002
BS,water_green,,CHN,RIC,2024,167.71
BS,water_blue,,CHN,RIC,2024,49.9033
BS,water_grey,,CHN,RIC,2024,27.3663
BS,nitrogen_total,crop_nfert,CHN,RIC,2024,3.80494
BS,land_harvested,ahv_physical,CHN,RIC,2024,19.6166
BS,land_prod,pn_land,CHN,RIC,2024,40.9763
BS,co2_faostat,faostat_chn,CHN,RIC,2030,140.509
BS,water_green,,CHN,RIC,2030,178.518
BS,water_blue,,CHN,RIC,2030,53.1193
BS,water_grey,,CHN,RIC,2030,29.1299
BS,nitrogen_total,crop_nfert,CHN,RIC,2030,4.05015
BS,land_harvested,ahv_physical,CHN,RIC,2030,20.0228
BS,land_prod,pn_land,CHN,RIC,2030,43.617
BS,co2_faostat,faostat_chn,CHN,RIC,2035,148.51
BS,water_green,,CHN,RIC,2035,188.683
BS,water_blue,,CHN,RIC,2035,56.1439
BS,water_grey,,CHN,RIC,2035,30.7886
BS,nitrogen_total,crop_nfert,CHN,RIC,2035,4.28077
BS,land_harvested,ahv_physical,CHN,RIC,2035,20.4089
BS,land_prod,pn_land,CHN,RIC,2035,46.1006
BS,co2_faostat,faostat_chn,CHN,RIC,2040,156.014
BS,water_green,,CHN,RIC,2040,198.218
BS,water_blue,,CHN,RIC,2040,58.9811
BS,water_grey,,CHN,RIC,2040,32.3445
BS,nitrogen_total,crop_nfert,CHN,RIC,2040,4.49709
BS,land_harvested,ahv_physical,CHN,RIC,2040,20.7479
BS,land_prod,pn_land,CHN,RIC,2040,48.4302
BS,co2_faostat,faostat_chn,CHN,RIC,2045,164.041
BS,water_green,,CHN,RIC,2045,208.416
BS,water_blue,,CHN,RIC,2045,62.0156
BS,water_grey,,CHN,RIC,2045,34.0086
BS,nitrogen_total,crop_nfert,CHN,RIC,2045,4.72846
BS,land_harvested,ahv_physical,CHN,RIC,2045,21.0896
BS,land_prod,pn_land,CHN,RIC,2045,50.9219
BS,co2_faostat,faostat_chn,CHN,RIC,2050,172.679
BS,water_green,,CHN,RIC,2050,219.39
BS,water_blue,,CHN,RIC,2050,65.281
BS,water_grey,,CHN,RIC,2050,35.7993
BS,nitrogen_total,crop_nfert,CHN,RIC,2050,4.97744
BS,land_harvested,ahv_physical,CHN,RIC,2050,21.4354
BS,land_prod,pn_land,CHN,RIC,2050,53.6032
BS,co2_faostat,faostat_wld,E15,RIC,2024,1.37371
BS,water_green,,E15,RIC,2024,1.67547
BS,water_blue,,E15,RIC,2024,0.498549
BS,water_grey,,E15,RIC,2024,0.273398
BS,nitrogen_total,crop_nfert,E15,RIC,2024,0.0380125
BS,land_harvested,ahv_physical,E15,RIC,2024,0.359241
BS,land_prod,pn_land,E15,RIC,2024,0.409366
BS,co2_faostat,faostat_wld,E15,RIC,2030,1.47477
BS,water_green,,E15,RIC,2030,1.79873
BS,water_blue,,E15,RIC,2030,0.535223
BS,water_grey,,E15,RIC,2030,0.29351
BS,nitrogen_total,crop_nfert,E15,RIC,2030,0.0408088
BS,land_harvested,ahv_physical,E15,RIC,2030,0.373355
BS,land_prod,pn_land,E15,RIC,2030,0.43948
