account,geography,scenario,indicator,region,unit,year,value
final_consumption_lca,China,A1,co2_lca_final_food,CHN,Mt CO2e,2023,3929.68
final_consumption_lca,China,A1,co2_lca_final_food,CHN,Mt CO2e,2024,3968.52
final_consumption_lca,China,A1,co2_lca_final_food,CHN,Mt CO2e,2025,3990.53
final_consumption_lca,China,A1,co2_lca_final_food,CHN,Mt CO2e,2026,4011.5
final_consumption_lca,China,A1,co2_lca_final_food,CHN,Mt CO2e,2027,4034.56
final_consumption_lca,China,A1,co2_lca_final_food,CHN,Mt CO2e,2028,4056.96
final_consumption_lca,China,A1,co2_lca_final_food,CHN,Mt CO2e,2029,4078.96
final_consumption_lca,China,A1,co2_lca_final_food,CHN,Mt CO2e,2030,4100.33
final_consumption_lca,China,A1,co2_lca_final_food,CHN,Mt CO2e,2031,4120.91
final_consumption_lca,China,A1,co2_lca_final_food,CHN,Mt CO2e,2032,4142.36
final_consumption_lca,China,A1,co2_lca_final_food,CHN,Mt CO2e,2033,4163.69
final_consumption_lca,China,A1,co2_lca_final_food,CHN,Mt CO2e,2034,4184.89
final_consumption_lca,China,A1,co2_lca_final_food,CHN,Mt CO2e,2035,4206.23
final_consumption_lca,China,A1,co2_lca_final_food,CHN,Mt CO2e,2036,4225.99
final_consumption_lca,China,A1,co2_lca_final_food,CHN,Mt CO2e,2037,4245.66
final_consumption_lca,China,A1,co2_lca_final_food,CHN,Mt CO2e,2038,4264.19
final_consumption_lca,China,A1,co2_lca_final_food,CHN,Mt CO2e,2039,4281.69
final_consumption_lca,China,A1,co2_lca_final_food,CHN,Mt CO2e,2040,4297.8
final_consumption_lca,China,A1,co2_lca_final_food,CHN,Mt CO2e,2041,4312.44
final_consumption_lca,China,A1,co2_lca_final_food,CHN,Mt CO2e,2042,4326.56
final_consumption_lca,China,A1,co2_lca_final_food,CHN,Mt CO2e,2043,4339.28
final_consumption_lca,China,A1,co2_lca_final_food,CHN,Mt CO2e,2044,4350.59
final_consumption_lca,China,A1,co2_lca_final_food,CHN,Mt CO2e,2045,4360.29
final_consumption_lca,China,A1,co2_lca_final_food,CHN,Mt CO2e,2046,4368.01
final_consumption_lca,China,A1,co2_lca_final_food,CHN,Mt CO2e,2047,4373.83
final_consumption_lca,China,A1,co2_lca_final_food,CHN,Mt CO2e,2048,4377.55
final_consumption_lca,China,A1,co2_lca_final_food,CHN,Mt CO2e,2049,4378.81
final_consumption_lca,China,A1,co2_lca_final_food,CHN,Mt CO2e,2050,4377.52
final_consumption_lca,China,A1,land_lca_final_food,CHN,Mha,2023,812.598
final_consumption_lca,China,A1,land_lca_final_food,CHN,Mha,2024,818.026
final_consumption_lca,China,A1,land_lca_final_food,CHN,Mha,2025,826.649
final_consumption_lca,China,A1,land_lca_final_food,CHN,Mha,2026,834.745
final_consumption_lca,China,A1,land_lca_final_food,CHN,Mha,2027,843.422
final_consumption_lca,China,A1,land_lca_final_food,CHN,Mha,2028,851.934
final_consumption_lca,China,A1,land_lca_final_food,CHN,Mha,2029,860.38
