commodity,BS_2050_production_Mt,has_carbon_coefficient,included_emissions_MtCO2e,production_mass_coverage_share
BDI,65.4488,no,0,0.00701266
BFV,95.8721,yes,2797.12,0.0102724
BUT,15.8793,no,0,0.00170142
CHE,33.493,no,0,0.00358868
CRN,1405.02,yes,245.176,0.150544
CTN,27.3445,no,0,0.00292989
DDG,56.4614,no,0,0.00604969
ETH,143.431,no,0,0.0153682
FMK,578.294,no,0,0.0619626
MLK,1110.39,yes,1053.51,0.118975
NBM,27.1032,no,0,0.00290403
NBO,25.883,no,0,0.0027733
NBS,64.7256,no,0,0.00693517
NDM,6.15002,no,0,0.000658957
OCG,285.276,yes,49.5653,0.0305666
ODA,7.18567,no,0,0.000769925
OTO,101.839,no,0,0.0109118
PLM,197.533,yes,102.947,0.0211652
PRK,178.635,yes,230.071,0.0191402
RBM,55.4357,no,0,0.00593978
RBO,38.7927,no,0,0.00415654
RBS,100.117,no,0,0.0107272
RIC,716.06,yes,665.612,0.0767239
SBE,263.611,no,0,0.0282452
SBM,306.327,no,0,0.0328221
SBO,74.6286,no,0,0.00799625
SBS,481.783,no,0,0.0516217
SCA,1740.41,no,0,0.186481
SUG,173.322,no,0,0.0185709
WDM,7.73953,no,0,0.00082927
WHE,948.759,yes,164.823,0.101657
