account,geography,scenario,indicator,boundary,region,commodity,year,unit,value,coef_source,quantity_variable,note
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,RICE,2032,km3,71.688,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,RICE,2033,Mt CO2e,189.778,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,RICE,2033,Mha,29.0654,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,RICE,2033,Mt N,5.16201,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,RICE,2033,km3,71.7452,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,RICE,2034,Mt CO2e,189.915,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,RICE,2034,Mha,29.0719,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,RICE,2034,Mt N,5.16317,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,RICE,2034,km3,71.7972,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,RICE,2035,Mt CO2e,190.038,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,RICE,2035,Mha,29.0784,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,RICE,2035,Mt N,5.16432,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,RICE,2035,km3,71.8435,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,RICE,2036,Mt CO2e,190.139,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,RICE,2036,Mha,29.0831,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,RICE,2036,Mt N,5.16517,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,RICE,2036,km3,71.8818,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,RICE,2037,Mt CO2e,190.222,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,RICE,2037,Mha,29.0865,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,RICE,2037,Mt N,5.16576,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,RICE,2037,km3,71.9134,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,RICE,2038,Mt CO2e,190.29,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,RICE,2038,Mha,29.0888,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,RICE,2038,Mt N,5.16616,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,RICE,2038,km3,71.9389,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,RICE,2039,Mt CO2e,190.344,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,RICE,2039,Mha,29.0901,model_area,area,
