order,estimate,boot_se,ci_lo,ci_hi
1,0.0190148387218618,0.0115118432998309,0.00138724742303972,0.0441077399737674
2,0.00109901753873804,0.00117676576111601,-0.00147815824602276,0.00256431880564457
3,-0.0173126195123662,0.00874971166911342,-0.0332443475376227,-0.00114544289044255
4,-0.0601423699308248,0.00337351959670644,-0.0650341984899043,-0.0514158223279953
5,-0.0730355498647195,0.00402516302252729,-0.0809089947523424,-0.0638553124901897
6,-0.0826325683342936,0.00629780455513541,-0.0977536258304149,-0.0742382896159333
7,-0.153910715861505,0.00961262887144917,-0.16607823223234,-0.130102263084288
8,-0.164779632009586,0.0105483247520996,-0.191650235166562,-0.152044843354127
9,-0.269651308538582,0.00984804110122002,-0.290026154204954,-0.252163530134695
