food_group10,n_provinces,n_months,n_province_month_group_cells,mean_households_per_cell,min_households_per_cell,max_households_per_cell
G01_主食,24,36,864,675.541666666667,222,2721
G02_食用油,24,36,864,675.541666666667,222,2721
G03_蔬菜,24,36,864,675.541666666667,222,2721
G04_水果,24,36,864,675.541666666667,222,2721
G05_猪肉,24,36,864,675.541666666667,222,2721
G06_禽类及其他肉类,24,36,864,675.541666666667,222,2721
G07_牛羊肉,24,36,864,675.541666666667,222,2721
G08_海鲜,24,36,864,675.541666666667,222,2721
G09_乳制品,24,36,864,675.541666666667,222,2721
