variant,model,nll,aic,bic,oos_food_rmse_mean
baseline_real_national_nonfood,AIDADS_sat,-3008.2790473459913,-5992.558094691983,-5948.983553310126,0.0394865803800643
baseline_real_national_nonfood,MAIDADS_sat,-3228.9322886333616,-6419.864577266723,-6350.8715534121175,0.0375033347636761
robust_real_derived_cpi_nonfood,AIDADS_sat,-3013.9157879055983,-6003.831575811197,-5960.25703442934,0.0394237273129936
robust_real_derived_cpi_nonfood,MAIDADS_sat,-3232.578804581581,-6427.157609163162,-6358.1645853085565,0.0370912931390288
