variant,income,group,group_label_cn,items,quantity_2000kcal_elasticity,expenditure_elasticity,budget_share_elasticity,xhat,budget_share,phi,u,support_flag
baseline_real_national_nonfood,30000.0,grain,粮食/主粮,grain,-0.21209650671145547,-0.21209650671145547,-1.2120965067114555,0.4942415306582303,0.013998950208451006,0.0006116085026427835,-0.6417442077759834,in_support
baseline_real_national_nonfood,30000.0,oil,食用油,oil,-0.11326681416293914,-0.11326681416293914,-1.1132668141629392,0.13968832673062803,0.024174951188249843,3.825314978309472e-07,-0.6417442077759834,in_support
baseline_real_national_nonfood,30000.0,vegfruit,蔬菜水果,vegetable+fruit,0.28743063820614534,0.28743063820614534,-0.7125693617938547,0.043969606976781095,0.012348003838528816,0.002889155318382152,-0.6417442077759834,in_support
baseline_real_national_nonfood,30000.0,pork,猪肉,pork,0.3325812375990431,0.3325812375990431,-0.6674187624009569,0.10147359510546777,0.008033752411638102,0.005036608040112873,-0.6417442077759834,in_support
baseline_real_national_nonfood,30000.0,meatother,非猪肉肉类及水产品,beef+mutton+poultry+aquatic,0.6761392054106448,0.6761392054106448,-0.32386079458935524,0.027775103365225574,0.009568483251164127,3.825282056385323e-07,-0.6417442077759834,in_support
baseline_real_national_nonfood,30000.0,dairyegg,奶蛋类,milk+egg,0.7484719076102572,0.7484719076102572,-0.25152809238974283,0.020294535978718727,0.0020638497754324925,0.001454058857789,-0.6417442077759834,in_support
baseline_real_national_nonfood,30000.0,nonfood,其他/未覆盖支出,,1.0663143823061603,1.0663143823061603,0.06631438230616027,278.9436027979607,0.9298120093265356,0.9900078042213697,-0.6417442077759834,in_support
baseline_real_national_nonfood,37877.36631732127,grain,粮食/主粮,grain,-0.22334217564718492,-0.22334217564718492,-1.223342175647185,0.46975949238869974,0.010538366011282952,0.0005483061851223667,-0.35297555731239827,in_support
baseline_real_national_nonfood,37877.36631732127,oil,食用油,oil,-0.11642299364349909,-0.11642299364349909,-1.116422993643499,0.13599295604208572,0.018640750146578504,3.429389639917008e-07,-0.35297555731239827,in_support
baseline_real_national_nonfood,37877.36631732127,vegfruit,蔬菜水果,vegetable+fruit,0.26932773178603714,0.26932773178603714,-0.7306722682139628,0.0469219137419907,0.010436656012633171,0.0025901237867082916,-0.35297555731239827,in_support
baseline_real_national_nonfood,37877.36631732127,pork,猪肉,pork,0.3082789395928921,0.3082789395928921,-0.6917210604071079,0.10935915754812693,0.00685744025662342,0.004515312211157852,-0.35297555731239827,in_support
