obs_id,province,provincechn,year,population_10k,m,m_consumption_real,pgdp_nominal,monetary_deflator,covered_food_exp,nonfood_exp,covered_daily_kcal,covered_food_budget_share,x_grain,p_grain_model,x_oil,p_oil_model,x_vegfruit,p_vegfruit_model,x_pork,p_pork_model,x_meatother,p_meatother_model,x_dairyegg,p_dairyegg_model,x_nonfood,p_nonfood_model
11_2015,11.0,北京,2015,2188,129447.94007304106,38487.30551090741,113692.0,0.8782835782156846,2602.514393396893,126845.42567964416,1243.678248221881,0.0676200726148348,0.2792829141932281,952.492628970482,0.1325254555849315,6189.55093593473,0.0584740424597808,11473.723595937738,0.071536345717315,3304.870252080553,0.0347397701646712,12414.868094046691,0.0452805959910136,3922.285227397536,1418.830149186061,89.40141690138984
11_2016,11.0,北京,2016,2195,136638.41161128762,39218.02893452088,121687.3748946726,0.8905795483107042,2162.823824116737,134475.5877871709,1140.2831664411156,0.0551487130505162,0.257820426562503,911.1511033171772,0.1195647689712328,5695.686536840867,0.0545560602045342,8727.856728181494,0.0659809931582465,3669.684200013934,0.0326942590282602,11579.839888954426,0.0395250752957808,3795.71302307327,1483.409631117052,90.65303673800928
11_2017,11.0,北京,2017,2194,145220.78473592646,39912.29441309149,131787.94343208088,0.9075005597286075,1978.9444033147963,143241.84033261167,1046.6663579564986,0.0495823262584896,0.2326668574870985,927.8872298287145,0.1022771081835616,5543.935868897587,0.0538320287910547,9346.568366768566,0.0637680169758082,3147.1397567026142,0.0316690750202876,11427.318233333835,0.0391200925204383,3331.1238078959123,1544.5853149234001,92.7380565829835
11_2018,11.0,北京,2018,2192,153253.28535868856,40447.41658487019,142554.37829933933,0.9301880737218228,2082.560905688558,151170.724453,1190.6335817790089,0.0514881068193503,0.2827033622145454,879.4997542140694,0.0888817990931506,5440.327658401072,0.0625954392921917,9275.71025497311,0.0819871157776438,2686.130838980439,0.0327511092113698,11579.307718573196,0.0463979653006027,3670.3507823580994,1594.99309755083,94.77829382780914
11_2019,11.0,北京,2019,2190,156929.6348478328,41748.69958820237,149331.478468201,0.9515823994174246,2327.756317162467,154601.8785306703,1221.4405886009642,0.0557563790039644,0.2990679260443452,832.251557304981,0.0845835345369862,4942.802433042951,0.0696476342644657,11611.676427500845,0.0734307940511507,3763.631146525297,0.0356357109867671,11537.902259916926,0.0483546944167671,3402.426686774663,1608.673565131509,96.10518994139846
11_2020,11.0,北京,2020,2189,153961.1073298024,36486.48837370888,148997.2934886646,0.967759300207521,2305.6927914412568,151655.41453836116,1325.5442029271433,0.0631930584227632,0.3296421438348593,784.1354173872052,0.0926988234534246,4571.168590822027,0.0704375677588493,8273.924973478881,0.0771179626943013,5364.40194662875,0.0392419875829589,12283.614999793828,0.053633616139178,2702.5288281914004,1571.7279138792464,96.48961070116404
11_2021,11.0,北京,2021,2189,172071.18216552245,40043.44138787901,168355.2451936091,0.9784046525098036,2208.488471119797,169862.69369440264,1351.975188136109,0.0551523144508827,0.3379688789995612,802.3101852856556,0.0849834246575342,5223.899098782642,0.0673992465753424,7347.770117225862,0.0931898219178082,3523.435038217715,0.0402837452054794,12864.571756362982,0.0521624767123287,2905.7703312972867,1736.119030696255,97.84046525098036
11_2022,11.0,北京,2022,2184,168219.86122103228,37792.5360364724,167549.66257074926,0.99601593625498,1896.1077684955224,166323.75345253677,1190.337225247285,0.05017148800667,0.2904576045452863,800.2778869169978,0.0743838115931506,5058.407794032156,0.0587447389214246,7540.367240505511,0.0883343652196438,2851.257255711273,0.0367269911604657,12466.697650638796,0.0465211011836712,2895.720773140035,1669.8904846634694,99.601593625498
11_2023,11.0,北京,2023,2186,175920.69102390145,41799.109015962975,175920.69102390145,1.0,1964.07948790253,173956.61153599893,1200.5742352605328,0.0469885491375534,0.2813797327781979,832.5932501877371,0.0775292698356164,5516.518798605855,0.0625574987029863,7132.452277843986,0.0917772657090411,2532.376701962099,0.039507063768589,12340.483134409262,0.0475362868358356,2860.41924000051,1739.5661153599895,100.0
12_2015,12.0,天津,2015,1439,87578.65052777773,27892.070044926557,75868.0,0.8662841861891512,2727.546221717077,84851.10430606066,1507.152601244341,0.0977893077610855,0.3916584675059102,1018.9491232795402,0.135591645230137,5781.40814318676,0.0643706664527534,10694.97964012559,0.0795084277078356,3665.7348264391735,0.0386939588484931,10791.602935828834,0.043753134877041,3361.7227353625044,949.1024554974538,89.40141690138984
