income_group_order,households,mean_food_spend,mean_food_spend_pc
1,5886,387.672561367991,226.262006770098
2,7289,434.084559224356,233.179853363561
3,7406,454.708721504908,228.177697754419
4,7813,467.366698112353,217.046895731568
5,11308,495.918052964655,198.547429594141
