statistic,value
households,27638
household_months,583668
provinces,24
months,36
mean_monthly_food_spend,457.291756615062
median_monthly_food_spend,340
mean_monthly_food_spend_pc,217.137136181715
mean_family_size,2.55702293943122
share_low_income,0.348216224039366
share_elderly,0.19549171430639
share_large_family,0.188219118604819
