variant,income,group,group_label_cn,items,quantity_2000kcal_elasticity,expenditure_elasticity,budget_share_elasticity,xhat,budget_share,phi,u,support_flag
robust_real_derived_cpi_nonfood,10000.0,grain,粮食/主粮,grain,-0.4211778137363856,-0.4211778137363856,-1.4211778137363855,0.4645060243900896,0.03947015560369184,4.517245887562144e-05,-3.383001150230953,in_support
robust_real_derived_cpi_nonfood,10000.0,oil,食用油,oil,-0.04119985075119163,-0.04119985075119163,-1.0411998507511917,0.12971220883470325,0.06734534782879899,0.00021680450735929392,-3.383001150230953,in_support
robust_real_derived_cpi_nonfood,10000.0,vegfruit,蔬菜水果,vegetable+fruit,0.47916313144123274,0.47916313144123274,-0.5208368685587672,0.03921429980247457,0.033037706573670916,0.018809948377729615,-3.383001150230953,in_support
robust_real_derived_cpi_nonfood,10000.0,pork,猪肉,pork,1.3683504430971043,1.3683504430971043,0.3683504430971043,0.05936146188781619,0.01409909505336654,0.023477658503900288,-3.383001150230953,in_support
robust_real_derived_cpi_nonfood,10000.0,nonpork_meatsea,非猪肉肉类及水产品(牛羊禽水产),beef+mutton+poultry+aquatic,0.734132042682658,0.734132042682658,-0.26586795731734203,0.029637945675067463,0.030630689261000214,0.020309159051507892,-3.383001150230953,in_support
robust_real_derived_cpi_nonfood,10000.0,dairyegg,奶蛋类,milk+egg,2.0712494662844856,2.0712494662844856,1.0712494662844856,0.012429425826796786,0.003792025754363994,0.008353906314897254,-3.383001150230953,in_support
robust_real_derived_cpi_nonfood,10000.0,nonfood,其他/未覆盖支出,,1.1753389098679266,1.1753389098679266,0.17533890986792655,81.16249799251075,0.8116249799251075,0.92878735078573,-3.383001150230953,in_support
robust_real_derived_cpi_nonfood,13675.100270074257,grain,粮食/主粮,grain,-0.14671734349989388,-0.14671734349989388,-1.1467173434998938,0.432831679687614,0.026894656895665475,3.9694270286521093e-05,-1.7336427904807126,in_support
robust_real_derived_cpi_nonfood,13675.100270074257,oil,食用油,oil,-0.011292314914320058,-0.011292314914320058,-1.01129231491432,0.12890937985726156,0.04894189097040988,0.00019051202721001917,-1.7336427904807126,in_support
robust_real_derived_cpi_nonfood,13675.100270074257,vegfruit,蔬菜水果,vegetable+fruit,0.4721949923476617,0.4721949923476617,-0.5278050076523383,0.04572042702408196,0.02816729780365379,0.016528814095264074,-1.7336427904807126,in_support
robust_real_derived_cpi_nonfood,13675.100270074257,pork,猪肉,pork,1.080748172065802,1.080748172065802,0.08074817206580209,0.08784782735210925,0.015257632719005312,0.020630458149609367,-1.7336427904807126,in_support
robust_real_derived_cpi_nonfood,13675.100270074257,nonpork_meatsea,非猪肉肉类及水产品(牛羊禽水产),beef+mutton+poultry+aquatic,0.57180175940943,0.57180175940943,-0.42819824059057,0.0362116829078923,0.0273669791456351,0.017846211358610933,-1.7336427904807126,in_support
