casm_code,casm_world_code,commodity,region,green_m3_per_t,blue_m3_per_t,grey_m3_per_t,total_m3_per_t,source,doi_or_report,year_period,notes
RICE,RIC,Rice (paddy),WLD,1146,341,187,1673,Mekonnen & Hoekstra 2011 HESS,10.5194/hess-15-1577-2011,1996-2005,Value of Water Research Report 47 Vol.1 Table 3
WHEA,WHE,Wheat,WLD,1277,342,207,1827,Mekonnen & Hoekstra 2011 HESS,10.5194/hess-15-1577-2011,1996-2005,
MAIZ,CRN,Maize (corn),WLD,947,81,194,1222,Mekonnen & Hoekstra 2011 HESS,10.5194/hess-15-1577-2011,1996-2005,
POTA,,Potatoes,WLD,191,33,63,287,Mekonnen & Hoekstra 2011 HESS,10.5194/hess-15-1577-2011,1996-2005,
SOYS,SBS,Soybeans,WLD,2037,70,37,2145,Mekonnen & Hoekstra 2011 HESS,10.5194/hess-15-1577-2011,1996-2005,
RAPS,RBS,Rapeseed,WLD,1703,231,336,2271,Mekonnen & Hoekstra 2011 HESS,10.5194/hess-15-1577-2011,1996-2005,
GRDS,NBS,Groundnuts (in shell),WLD,2469,150,163,2782,Mekonnen & Hoekstra 2011 HESS,10.5194/hess-15-1577-2011,1996-2005,
COTT,CTN,Seed cotton,WLD,2282,1306,440,4029,Mekonnen & Hoekstra 2011 HESS,10.5194/hess-15-1577-2011,1996-2005,
SUGC,SCA,Sugar cane,WLD,139,57,13,210,Mekonnen & Hoekstra 2011 HESS,10.5194/hess-15-1577-2011,1996-2005,
SUGB,SBE,Sugar beet,WLD,82,26,25,132,Mekonnen & Hoekstra 2011 HESS,10.5194/hess-15-1577-2011,1996-2005,
FRTO,,Fruit (apples proxy),WLD,561,133,127,822,Mekonnen & Hoekstra 2011 HESS,10.5194/hess-15-1577-2011,1996-2005,Apples; fruit-category aggregate = 727/147/93/967
FRTO,,Fruits (category aggregate),WLD,727,147,93,967,Mekonnen & Hoekstra 2011 HESS,10.5194/hess-15-1577-2011,1996-2005,Report 47 Table 2 fruit category
VEGT,,Vegetables (tomatoes proxy),WLD,108,63,43,214,Mekonnen & Hoekstra 2011 HESS,10.5194/hess-15-1577-2011,1996-2005,Tomatoes; veg-category aggregate = 194/43/85/322
