casm_code,casm_world_code,commodity,region,value_kgCO2e_per_kg,statistic,system_boundary,source,doi_or_domain,year,notes
RICE,RIC,Rice,CHN,0.902,mean,farm-gate (cradle-to-farm-gate; enteric+manure+rice CH4+energy),FAOSTAT Emissions intensities domain,FAOSTAT Environment_Emissions_intensities (bulks-faostat.fao.org),2023,China mainland; per kg paddy-equivalent farm-gate
RICE,RIC,Rice,WLD,0.9396,mean,farm-gate,FAOSTAT Emissions intensities domain,FAOSTAT Environment_Emissions_intensities,2023,World average
RICE,RIC,Rice,WLD,4.416,mean,cradle-to-retail LCA,Poore & Nemecek 2018 Science (via OWID food-emissions-supply-chain),10.1126/science.aaq0216,2018,Global LCA mean across ~38700 farms; includes LUC+processing+transport+retail
WHEA,WHE,Wheat & Rye,WLD,1.539,mean,cradle-to-retail LCA,Poore & Nemecek 2018 Science (via OWID),10.1126/science.aaq0216,2018,No China-specific value found
WHEA,WHE,Wheat (cereals excl. rice),CHN,0.170,mean,farm-gate,FAOSTAT Emissions intensities domain,FAOSTAT Environment_Emissions_intensities,2023,Aggregate 'cereals excluding rice'; not wheat-specific
WHEA,WHE,Wheat (cereals excl. rice),WLD,0.1745,mean,farm-gate,FAOSTAT Emissions intensities domain,FAOSTAT Environment_Emissions_intensities,2023,Aggregate cereals excl. rice
MAIZ,CRN,Maize (corn),WLD,1.656,mean,cradle-to-retail LCA,Poore & Nemecek 2018 Science (via OWID),10.1126/science.aaq0216,2018,FAOSTAT has no maize-specific EI (folded into cereals excl. rice 0.1745 WLD / 0.170 CHN)
POTA,,Potatoes,WLD,0.465,mean,cradle-to-retail LCA,Poore & Nemecek 2018 Science (via OWID),10.1126/science.aaq0216,2018,
SOYS,SBS,Soybean (as tofu proxy),WLD,2.887,mean,cradle-to-retail LCA,Poore & Nemecek 2018 Science (via OWID),10.1126/science.aaq0216,2018,No whole-soybean row in P&N; tofu used as proxy; soybean oil = 6.515
SOYO,SBO,Soybean oil,WLD,6.515,mean,cradle-to-retail LCA,Poore & Nemecek 2018 Science (via OWID),10.1126/science.aaq0216,2018,
SOYM,SBM,Soybean meal,WLD,,,,,,,No dedicated P&N value; allocate from soybean crushing (co-product with SOYO)
RAPS,RBS,Rapeseed,WLD,,,,,,,P&N reports rapeseed oil only; no seed value
RAPO,RBO,Rapeseed oil (canola),WLD,3.765,mean,cradle-to-retail LCA,Poore & Nemecek 2018 Science (via OWID),10.1126/science.aaq0216,2018,
RAPM,RBM,Rapeseed meal,WLD,,,,,,,No dedicated value; allocate from crushing
GRDS,NBS,Groundnuts (peanuts),WLD,2.869,mean,cradle-to-retail LCA,Poore & Nemecek 2018 Science (via OWID),10.1126/science.aaq0216,2018,
