category,casm_code,commodity_or_animal,region,value,unit,statistic,source,doi,year,notes
A_crop_Nfert,WHEA,Wheat,CHN,212.1,kg N/ha,as-reported,Ludemann et al. 2022 Scientific Data (FUBC #9),10.1038/s41597-022-01592-z,~2018,Fertilizer Use By Crop report #9; Dryad 10.5061/dryad.2rbnzs7qh
A_crop_Nfert,RICE,Rice,CHN,177.6,kg N/ha,as-reported,Ludemann et al. 2022 Scientific Data,10.1038/s41597-022-01592-z,~2018,
A_crop_Nfert,MAIZ,Maize,CHN,189.6,kg N/ha,as-reported,Ludemann et al. 2022 Scientific Data,10.1038/s41597-022-01592-z,~2018,
A_crop_Nfert,SOYS,Soybean,CHN,48.5,kg N/ha,as-reported,Ludemann et al. 2022 Scientific Data,10.1038/s41597-022-01592-z,~2018,
A_crop_Nfert,RAPS,Rapeseed,CHN,126.9,kg N/ha,as-reported,Ludemann et al. 2022 Scientific Data,10.1038/s41597-022-01592-z,~2018,
A_crop_Nfert,COTT,Cotton (seed cotton),CHN,294.2,kg N/ha,as-reported,Ludemann et al. 2022 Scientific Data,10.1038/s41597-022-01592-z,~2018,
A_crop_Nfert,SUGC,Sugar cane,CHN,432.8,kg N/ha,as-reported,Ludemann et al. 2022 Scientific Data,10.1038/s41597-022-01592-z,~2018,
A_crop_Nfert,SUGB,Sugar beet,CHN,334.6,kg N/ha,as-reported,Ludemann et al. 2022 Scientific Data,10.1038/s41597-022-01592-z,~2018,
A_crop_Nfert,VEGT,Vegetables,CHN,281.6,kg N/ha,as-reported,Ludemann et al. 2022 Scientific Data,10.1038/s41597-022-01592-z,~2018,
A_crop_Nfert,FRTO,Fruit (fruit+citrus+treenuts),CHN,321.0,kg N/ha,as-reported,Ludemann et al. 2022 Scientific Data,10.1038/s41597-022-01592-z,~2018,
A_crop_Nfert,POTA,Roots/tubers (incl. potato),CHN,147.4,kg N/ha,as-reported,Ludemann et al. 2022 Scientific Data,10.1038/s41597-022-01592-z,~2018,Aggregate; no pure-potato China row
A_crop_Nfert,WHEA,Wheat,WLD,102.1,kg N/ha,area-weighted mean (derived),Ludemann et al. 2022 Scientific Data,10.1038/s41597-022-01592-z,~2018,Derived by agent from FUBC country data (189.9 Mha); not a verbatim published cell
A_crop_Nfert,RICE,Rice,WLD,118.4,kg N/ha,area-weighted mean (derived),Ludemann et al. 2022 Scientific Data,10.1038/s41597-022-01592-z,~2018,Derived (143.7 Mha)
A_crop_Nfert,MAIZ,Maize,WLD,125.3,kg N/ha,area-weighted mean (derived),Ludemann et al. 2022 Scientific Data,10.1038/s41597-022-01592-z,~2018,Derived (161.9 Mha)
A_crop_Nfert,SOYS,Soybean,WLD,14.5,kg N/ha,area-weighted mean (derived),Ludemann et al. 2022 Scientific Data,10.1038/s41597-022-01592-z,~2018,Derived (118.6 Mha)
A_crop_Nfert,RAPS,Rapeseed,WLD,109.2,kg N/ha,area-weighted mean (derived),Ludemann et al. 2022 Scientific Data,10.1038/s41597-022-01592-z,~2018,Derived (30.0 Mha)
A_crop_Nfert,COTT,Cotton (seed cotton),WLD,142.4,kg N/ha,area-weighted mean (derived),Ludemann et al. 2022 Scientific Data,10.1038/s41597-022-01592-z,~2018,Derived (29.5 Mha)
A_crop_Nfert,SUGC,Sugar cane,WLD,129.9,kg N/ha,area-weighted mean (derived),Ludemann et al. 2022 Scientific Data,10.1038/s41597-022-01592-z,~2018,Derived (24.7 Mha)
A_crop_Nfert,SUGB,Sugar beet,WLD,134.1,kg N/ha,area-weighted mean (derived),Ludemann et al. 2022 Scientific Data,10.1038/s41597-022-01592-z,~2018,Derived (5.0 Mha)
A_crop_Nfert,VEGT,Vegetables,WLD,189.5,kg N/ha,area-weighted mean (derived),Ludemann et al. 2022 Scientific Data,10.1038/s41597-022-01592-z,~2018,Derived (44.9 Mha)
A_crop_Nfert,FRTO,Fruit (fruit+citrus+treenuts),WLD,110.6,kg N/ha,area-weighted mean (derived),Ludemann et al. 2022 Scientific Data,10.1038/s41597-022-01592-z,~2018,Derived (41.3 Mha)
A_crop_Nfert,POTA,Potato,WLD,124.5,kg N/ha,as-reported (FUBC9 unaggregated),Ludemann et al. 2022 Scientific Data,10.1038/s41597-022-01592-z,~2018,30 countries; 2.2 Mha
A_crop_Nfert,GRDS,Groundnut,CHN,,kg N/ha,,Ludemann et al. 2022 Scientific Data,10.1038/s41597-022-01592-z,~2018,GAP: folded into 'other oil crops'; no N reported for China
A_crop_Nfert,GRDS,Groundnut,WLD,,kg N/ha,,Ludemann et al. 2022 Scientific Data,10.1038/s41597-022-01592-z,~2018,GAP: only 2 countries reported (~7.8); too thin to be credible
