情景,机械化路径,代理指标,代理指标年均增速(%),单产弹性中位数,面积弹性,每年单产Shifter(%),每年面积Shifter(%),冲击作物,冲击年份,施加方式,证据说明
S1-Medium,农机资本投入(MCI),全国农业机械总动力,2.4,0.163,0.0,0.3912,0.0,"CGRN(RICE,WHEA,MAIZ,SOYS,BARL,OTGR,SORG)",2026-2030,叠加于基准AYGR0/AAGR0之上,单产弹性0.163(k=14)；面积合并PCC为负→不设正向面积冲击（同manuscript）
S1-High,农机资本投入(MCI),全国农业机械总动力,3.4,0.163,0.0,0.5542,0.0,"CGRN(RICE,WHEA,MAIZ,SOYS,BARL,OTGR,SORG)",2026-2030,叠加于基准AYGR0/AAGR0之上,单产弹性0.163(k=14)；面积合并PCC为负→不设正向面积冲击（同manuscript）
S1-Low,农机资本投入(MCI),全国农业机械总动力,1.4,0.163,0.0,0.2282,0.0,"CGRN(RICE,WHEA,MAIZ,SOYS,BARL,OTGR,SORG)",2026-2030,叠加于基准AYGR0/AAGR0之上,单产弹性0.163(k=14)；面积合并PCC为负→不设正向面积冲击（同manuscript）
S2-Medium,农机社会化服务(AMS),全国农机托管作业面积,2.8,0.1635,0.0235,0.4578,0.0658,"CGRN(RICE,WHEA,MAIZ,SOYS,BARL,OTGR,SORG)",2026-2030,叠加于基准AYGR0/AAGR0之上,"单产弹性0.164(k=6)；面积弹性0.0235(P_12,k=1)小幅冲击（同manuscript）"
S2-High,农机社会化服务(AMS),全国农机托管作业面积,3.8,0.1635,0.0235,0.6213,0.0893,"CGRN(RICE,WHEA,MAIZ,SOYS,BARL,OTGR,SORG)",2026-2030,叠加于基准AYGR0/AAGR0之上,"单产弹性0.164(k=6)；面积弹性0.0235(P_12,k=1)小幅冲击（同manuscript）"
S2-Low,农机社会化服务(AMS),全国农机托管作业面积,1.8,0.1635,0.0235,0.2943,0.0423,"CGRN(RICE,WHEA,MAIZ,SOYS,BARL,OTGR,SORG)",2026-2030,叠加于基准AYGR0/AAGR0之上,"单产弹性0.164(k=6)；面积弹性0.0235(P_12,k=1)小幅冲击（同manuscript）"
S3-Medium,综合机械化水平(AML),耕种收综合机械化率,1.121,0.185,0.015,0.2074,0.0168,"CGRN(RICE,WHEA,MAIZ,SOYS,BARL,OTGR,SORG)",2026-2030,叠加于基准AYGR0/AAGR0之上,"单产弹性0.185(k=5,与manuscript表6一致)；面积弹性0.015(P_19,k=1)"
S3-High,综合机械化水平(AML),耕种收综合机械化率,2.425,0.185,0.015,0.4486,0.0364,"CGRN(RICE,WHEA,MAIZ,SOYS,BARL,OTGR,SORG)",2026-2030,叠加于基准AYGR0/AAGR0之上,"单产弹性0.185(k=5,与manuscript表6一致)；面积弹性0.015(P_19,k=1)"
S3-Low,综合机械化水平(AML),耕种收综合机械化率,0.13,0.185,0.015,0.0241,0.002,"CGRN(RICE,WHEA,MAIZ,SOYS,BARL,OTGR,SORG)",2026-2030,叠加于基准AYGR0/AAGR0之上,"单产弹性0.185(k=5,与manuscript表6一致)；面积弹性0.015(P_19,k=1)"
