情景,谷物产量_万吨,谷物自给率_pct,谷物净贸易_万吨,口粮产量_万吨,口粮自给率_pct,口粮净贸易_万吨
基准,66233.0,98.79,814.0,35326.0,99.08,328.0
S1-Medium,67529.0,100.53,-357.0,36019.0,100.75,-267.0
S1-High,68075.0,101.27,-850.0,36311.0,101.45,-518.0
S1-Low,66986.0,99.8,133.0,35729.0,100.05,-18.0
S2-Medium,67974.0,101.13,-757.0,36257.0,101.31,-469.0
S2-High,68606.0,101.97,-1326.0,36594.0,102.11,-758.0
S2-Low,67348.0,100.29,-192.0,35922.0,100.51,-182.0
S3-Medium,66973.0,99.78,145.0,35722.0,100.03,-11.0
S3-High,67844.0,100.95,-640.0,36187.0,101.15,-410.0
S3-Low,66319.0,98.9,736.0,35372.0,99.19,289.0
