variant,model,nll,k_effective,aic,bic,success,message,mean_food_relative_rmse,lr_stat,chi2_p_value_status
robust_real_derived_cpi_nonfood,AIDADS_sat,-3851.374094861161,15,-7672.748189722322,-7618.280012995002,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.30893430140966743,,
robust_real_derived_cpi_nonfood,MAIDADS_sat,-3852.3422830440672,23,-7658.6845660881345,-7575.166695106243,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.30886812732706975,,
robust_real_derived_cpi_nonfood,LR_MAIDADS_vs_AIDADS,,8,,,True,Naive chi-square p-value not reported; nuisance parameters unidentified under AIDADS.,,1.936376365812066,invalid_not_reported_unidentified_nuisance_under_H0
