variant,income,group,group_label_cn,gdp_elasticity,marshallian_own_price,hicksian_own_price,budget_share,xhat
baseline_real_national_nonfood,68075.99767030925,grain,粮食/主粮,-0.23726903022179943,-0.07253584619144003,-0.07374925398586658,0.0051140588946321855,0.4097153662169443
baseline_real_national_nonfood,68075.99767030925,oil,食用油,-0.11714803062368365,0.0011054802370023874,-2.8653434544872102e-05,0.009681201344224503,0.12693942353494217
baseline_real_national_nonfood,68075.99767030925,vegfruit,蔬菜水果,0.21395514630937884,-0.2616236025638601,-0.2601916456099295,0.00669279042187633,0.05407989174925735
baseline_real_national_nonfood,68075.99767030925,pork,猪肉,0.23029731112077678,-0.6766076311391822,-0.6755782260059355,0.004469896449233198,0.1281164293641781
baseline_real_national_nonfood,68075.99767030925,nonpork_meatsea,非猪肉肉类及水产品(牛羊禽水产),0.3943763070087802,-0.0026122157017125906,-4.2573950167509086e-05,0.0065157102642270865,0.042918754181056826
baseline_real_national_nonfood,68075.99767030925,dairyegg,奶蛋类,0.42764513312971963,-0.6016210635810811,-0.6009995984600622,0.0014532262216355137,0.03242701922501694
baseline_real_national_nonfood,68075.99767030925,nonfood,其他/未覆盖支出,1.0316973485558751,-1.0028923104481504,-0.0061972377428557435,0.9660731164041712,657.6639122167876
robust_real_derived_cpi_nonfood,68075.99767030925,grain,粮食/主粮,-0.22988742592413602,-0.08635793536633468,-0.0875313170324961,0.0051041576608398176,0.4089221239581394
robust_real_derived_cpi_nonfood,68075.99767030925,oil,食用油,-0.11932683592815739,0.0004013231888998191,-0.0007483136683271694,0.009634352979233821,0.12632515013704207
robust_real_derived_cpi_nonfood,68075.99767030925,vegfruit,蔬菜水果,0.21893289523695725,-0.26947045966618627,-0.26800555586989766,0.006691108682882562,0.05406630275916493
robust_real_derived_cpi_nonfood,68075.99767030925,pork,猪肉,0.2298472244077097,-0.7029843691471868,-0.7019550067905587,0.004478463289172306,0.12836197262371407
robust_real_derived_cpi_nonfood,68075.99767030925,nonpork_meatsea,非猪肉肉类及水产品(牛羊禽水产),0.3689776791658178,-0.0035054261998580306,-0.0011109561079503043,0.006489471388407905,0.04274591962954929
robust_real_derived_cpi_nonfood,68075.99767030925,dairyegg,奶蛋类,0.4439200450447564,-0.6063912664623351,-0.6057471371592977,0.0014510029682764287,0.03237740996367565
robust_real_derived_cpi_nonfood,68075.99767030925,nonfood,其他/未覆盖支出,1.0317121196335204,-1.003258087890819,-0.006467934714128765,0.9661514430311869,657.7172338495701
