variant,model,train_years,test_years,group,rmse_x,mae_x,mean_x,n_test,relative_rmse
robust_real_derived_cpi_nonfood,MAIDADS_sat,2015-2020,2021-2023,pork,0.05067709156894043,0.04169719796895411,0.12509815587410958,93,0.40509863007044217
robust_real_derived_cpi_nonfood,MAIDADS_sat,2015-2020,2021-2023,vegfruit,0.010063051881296652,0.00793898915361869,0.05503836229796534,93,0.182837051488152
robust_real_derived_cpi_nonfood,AIDADS_sat,2015-2022,2023,dairyegg,0.013394924843525549,0.010905537968519756,0.03487623368244979,31,0.38407028022254774
robust_real_derived_cpi_nonfood,AIDADS_sat,2015-2022,2023,grain,0.07232142797227221,0.05879751325209741,0.4046680667811247,31,0.17871790217484382
robust_real_derived_cpi_nonfood,AIDADS_sat,2015-2022,2023,nonfood,3.864578188912729,3.329424755347207,745.9276446072297,31,0.005180902218669793
robust_real_derived_cpi_nonfood,AIDADS_sat,2015-2022,2023,nonpork_meatsea,0.019215987689306838,0.01484210963505622,0.047461423332015425,31,0.4048759253358625
robust_real_derived_cpi_nonfood,AIDADS_sat,2015-2022,2023,oil,0.03198761488328109,0.026378425103623267,0.12638537057445864,31,0.2530958665380968
robust_real_derived_cpi_nonfood,AIDADS_sat,2015-2022,2023,pork,0.057895736019708634,0.047959076135450675,0.13618844860265755,31,0.4251148802540869
robust_real_derived_cpi_nonfood,AIDADS_sat,2015-2022,2023,vegfruit,0.011863901512356933,0.009613006258928814,0.056314327533170526,31,0.21067287903542492
robust_real_derived_cpi_nonfood,MAIDADS_sat,2015-2022,2023,dairyegg,0.010515039836966807,0.008019117789564753,0.03487623368244979,31,0.3014958533856287
robust_real_derived_cpi_nonfood,MAIDADS_sat,2015-2022,2023,grain,0.061930364948553585,0.053838807573331225,0.4046680667811247,31,0.15303991105888332
robust_real_derived_cpi_nonfood,MAIDADS_sat,2015-2022,2023,nonfood,3.594029462805337,3.0707226068475832,745.9276446072297,31,0.004818201187191264
robust_real_derived_cpi_nonfood,MAIDADS_sat,2015-2022,2023,nonpork_meatsea,0.017557629961648884,0.01312659034511802,0.047461423332015425,31,0.36993475393320674
robust_real_derived_cpi_nonfood,MAIDADS_sat,2015-2022,2023,oil,0.031078876550003846,0.025607092544072382,0.12638537057445864,31,0.24590564880049978
robust_real_derived_cpi_nonfood,MAIDADS_sat,2015-2022,2023,pork,0.05424759509701857,0.042718083719939313,0.13618844860265755,31,0.39832743271267423
robust_real_derived_cpi_nonfood,MAIDADS_sat,2015-2022,2023,vegfruit,0.009977293525086224,0.007849970182627158,0.056314327533170526,31,0.17717149368798468
