variant,model,group,group_label_cn,items,rmse_x,mae_x,mean_x,relative_rmse
robust_real_derived_cpi_nonfood,AIDADS_sat,grain,粮食/主粮,grain,0.07749676309206109,0.053852220750123664,0.4122865722827164,0.18796819567269193
robust_real_derived_cpi_nonfood,AIDADS_sat,oil,食用油,oil,0.03134157418989655,0.02537252472782599,0.1273417792799735,0.24612169208810092
robust_real_derived_cpi_nonfood,AIDADS_sat,vegfruit,蔬菜水果,vegetable+fruit,0.009513861258708406,0.007269725081081718,0.05164737289379987,0.18420803858254944
robust_real_derived_cpi_nonfood,AIDADS_sat,pork,猪肉,pork,0.044216885583974234,0.03591323649195413,0.105900420411937,0.4175326727880501
robust_real_derived_cpi_nonfood,AIDADS_sat,nonpork_meatsea,非猪肉肉类及水产品(牛羊禽水产),beef+mutton+poultry+aquatic,0.016590404457751142,0.01303764255445429,0.041278831179050596,0.40191071267955214
robust_real_derived_cpi_nonfood,AIDADS_sat,dairyegg,奶蛋类,milk+egg,0.008651312877214257,0.0071986504901784655,0.030014386789327437,0.28823886817806005
robust_real_derived_cpi_nonfood,AIDADS_sat,nonfood,其他/未覆盖支出,,3.6021804281450835,2.9211479716469255,678.9580959197237,0.005305453237530856
robust_real_derived_cpi_nonfood,MAIDADS_sat,grain,粮食/主粮,grain,0.0695559782791935,0.04857064613668369,0.4122865722827164,0.16870784293090446
robust_real_derived_cpi_nonfood,MAIDADS_sat,oil,食用油,oil,0.031049280273423945,0.025437560792929546,0.1273417792799735,0.24382634237549822
robust_real_derived_cpi_nonfood,MAIDADS_sat,vegfruit,蔬菜水果,vegetable+fruit,0.00945572583380969,0.007233883385081687,0.05164737289379987,0.18308241647165802
robust_real_derived_cpi_nonfood,MAIDADS_sat,pork,猪肉,pork,0.04321879509512619,0.03474887525592764,0.105900420411937,0.4081078708376365
robust_real_derived_cpi_nonfood,MAIDADS_sat,nonpork_meatsea,非猪肉肉类及水产品(牛羊禽水产),beef+mutton+poultry+aquatic,0.016255345535495562,0.012478024549029873,0.041278831179050596,0.3937937453942569
robust_real_derived_cpi_nonfood,MAIDADS_sat,dairyegg,奶蛋类,milk+egg,0.008498822428093689,0.007044525769568804,0.030014386789327437,0.2831582896478069
robust_real_derived_cpi_nonfood,MAIDADS_sat,nonfood,其他/未覆盖支出,,3.55490433798316,2.8789916191309612,678.9580959197237,0.005235822887077662
