variant,model,train_years,test_years,oos_food_rmse_mean,oos_food_relative_rmse_mean,oos_food_mae_mean
baseline_real_national_nonfood,AIDADS_sat,2015-2020,2021-2023,0.03352576204674759,0.3094546597873623,0.02718470911608424
baseline_real_national_nonfood,AIDADS_sat,2015-2022,2023,0.032583561829106274,0.284939892416946,0.026685392554353884
baseline_real_national_nonfood,MAIDADS_sat,2015-2020,2021-2023,0.029843323700072966,0.2766423599379011,0.02446790407528783
baseline_real_national_nonfood,MAIDADS_sat,2015-2022,2023,0.030899359648888375,0.2742272859583829,0.025204808361500058
robust_real_derived_cpi_nonfood,AIDADS_sat,2015-2020,2021-2023,0.03358212162569442,0.31325455173520395,0.0273065565019832
robust_real_derived_cpi_nonfood,AIDADS_sat,2015-2022,2023,0.03444659882007521,0.3094246222601438,0.028082611392279355
robust_real_derived_cpi_nonfood,MAIDADS_sat,2015-2020,2021-2023,0.02983614569249669,0.2764499337374132,0.02440862568156842
robust_real_derived_cpi_nonfood,MAIDADS_sat,2015-2022,2023,0.030884466653212986,0.27431251559647957,0.025193277025775476
