variant,parameter,group,ci_2_5,median,ci_97_5,n_success_draws,target_reps
baseline_real_national_nonfood,alpha,dairyegg,0.00087657714990352,0.0018868580443792,0.0035415434962065874,1000,1000
baseline_real_national_nonfood,alpha,grain,1.1548916530357344e-07,0.0012101160959968,0.0034709415101329276,1000,1000
baseline_real_national_nonfood,alpha,nonfood,0.9736452665094051,0.9847420712776713,0.9926572922165987,1000,1000
baseline_real_national_nonfood,alpha,nonpork_meatsea,1.1065644881892468e-07,0.0002048719126375,0.0077230336992127405,1000,1000
baseline_real_national_nonfood,alpha,oil,1.1055866320962967e-07,0.00018322217981935,0.0032614349717978944,1000,1000
baseline_real_national_nonfood,alpha,pork,0.004012473212087403,0.0076997581844975,0.013515612489806294,1000,1000
baseline_real_national_nonfood,alpha,vegfruit,0.0012086651216663175,0.0034513429273042,0.006621572900803887,1000,1000
baseline_real_national_nonfood,beta,dairyegg,0.0,0.0,0.0,1000,1000
baseline_real_national_nonfood,beta,grain,0.0,0.0,0.0,1000,1000
baseline_real_national_nonfood,beta,nonfood,1.0,1.0,1.0,1000,1000
baseline_real_national_nonfood,beta,nonpork_meatsea,0.0,0.0,0.0,1000,1000
baseline_real_national_nonfood,beta,oil,0.0,0.0,0.0,1000,1000
baseline_real_national_nonfood,beta,pork,0.0,0.0,0.0,1000,1000
baseline_real_national_nonfood,beta,vegfruit,0.0,0.0,0.0,1000,1000
baseline_real_national_nonfood,delta,dairyegg,2.0084528742012694e-05,2.859270752399008e-05,5.2184011543466446e-05,1000,1000
baseline_real_national_nonfood,delta,grain,0.4333475173520377,0.6512300488539404,0.8788338833415993,1000,1000
baseline_real_national_nonfood,delta,nonfood,0.0023215234470536,0.00256697244005855,0.0028432135436332446,1000,1000
baseline_real_national_nonfood,delta,nonpork_meatsea,6.14421235332821e-06,6.236522795266299e-06,7.0208886202152165e-06,1000,1000
baseline_real_national_nonfood,delta,oil,0.09464850121757867,0.16072550700417731,0.24598374993908334,1000,1000
baseline_real_national_nonfood,delta,pork,0.022268664823730744,0.068045530817926,0.0988460201507735,1000,1000
baseline_real_national_nonfood,delta,vegfruit,0.0026516515731894574,0.02782231174335615,0.04152539451969838,1000,1000
baseline_real_national_nonfood,tau,dairyegg,0.00622100467412896,0.02447176774470795,0.04286984551086665,1000,1000
baseline_real_national_nonfood,tau,grain,6.144213233124355e-06,0.1151869532672663,0.32544962563510604,1000,1000
baseline_real_national_nonfood,tau,nonfood,0.12208868985484388,0.13560343165301103,0.15038184686354775,1000,1000
baseline_real_national_nonfood,tau,nonpork_meatsea,0.03441316363600489,0.0766377077378928,0.1044801782939878,1000,1000
baseline_real_national_nonfood,tau,oil,0.0038462863488443483,0.09188125547933415,0.14339373385021079,1000,1000
baseline_real_national_nonfood,tau,pork,0.0003600113938080925,0.0005300075908804,0.03561327904649389,1000,1000
baseline_real_national_nonfood,tau,vegfruit,0.03535407236805672,0.052358314430664854,0.08211931512852554,1000,1000
baseline_real_national_nonfood,omega,dairyegg,0.4695701749485513,0.8008952715215945,3.2445919621827626,1000,1000
baseline_real_national_nonfood,omega,grain,0.4695701749485513,0.8008952715215945,3.2445919621827626,1000,1000
baseline_real_national_nonfood,omega,nonfood,0.4695701749485513,0.8008952715215945,3.2445919621827626,1000,1000
baseline_real_national_nonfood,omega,nonpork_meatsea,0.4695701749485513,0.8008952715215945,3.2445919621827626,1000,1000
baseline_real_national_nonfood,omega,oil,0.4695701749485513,0.8008952715215945,3.2445919621827626,1000,1000
baseline_real_national_nonfood,omega,pork,0.4695701749485513,0.8008952715215945,3.2445919621827626,1000,1000
baseline_real_national_nonfood,omega,vegfruit,0.4695701749485513,0.8008952715215945,3.2445919621827626,1000,1000
baseline_real_national_nonfood,kappa,dairyegg,5.729645464330228,6.273701532232026,6.9954176451072065,1000,1000
baseline_real_national_nonfood,kappa,grain,5.729645464330228,6.273701532232026,6.9954176451072065,1000,1000
baseline_real_national_nonfood,kappa,nonfood,5.729645464330228,6.273701532232026,6.9954176451072065,1000,1000
baseline_real_national_nonfood,kappa,nonpork_meatsea,5.729645464330228,6.273701532232026,6.9954176451072065,1000,1000
baseline_real_national_nonfood,kappa,oil,5.729645464330228,6.273701532232026,6.9954176451072065,1000,1000
baseline_real_national_nonfood,kappa,pork,5.729645464330228,6.273701532232026,6.9954176451072065,1000,1000
baseline_real_national_nonfood,kappa,vegfruit,5.729645464330228,6.273701532232026,6.9954176451072065,1000,1000
robust_real_derived_cpi_nonfood,alpha,dairyegg,0.000841970646696995,0.0020246728891013,0.004455183111035144,999,1000
robust_real_derived_cpi_nonfood,alpha,grain,8.436892687136212e-07,0.0015731477517129,0.00451165056992229,999,1000
robust_real_derived_cpi_nonfood,alpha,nonfood,0.9663225997743813,0.9834440451507342,0.9924528677571014,999,1000
robust_real_derived_cpi_nonfood,alpha,nonpork_meatsea,2.229710098158976e-07,0.000132698184048,0.007195327871972849,999,1000
robust_real_derived_cpi_nonfood,alpha,oil,2.0414704834340907e-07,0.0001178120506512,0.0035509740689306244,999,1000
robust_real_derived_cpi_nonfood,alpha,pork,0.00407613649240025,0.0081386551236443,0.015684871535649104,999,1000
robust_real_derived_cpi_nonfood,alpha,vegfruit,0.0011823903464811601,0.0037692896270827,0.008352455940001079,999,1000
robust_real_derived_cpi_nonfood,beta,dairyegg,0.0,0.0,0.0,999,1000
robust_real_derived_cpi_nonfood,beta,grain,0.0,0.0,0.0,999,1000
robust_real_derived_cpi_nonfood,beta,nonfood,1.0,1.0,1.0,999,1000
robust_real_derived_cpi_nonfood,beta,nonpork_meatsea,0.0,0.0,0.0,999,1000
robust_real_derived_cpi_nonfood,beta,oil,0.0,0.0,0.0,999,1000
robust_real_derived_cpi_nonfood,beta,pork,0.0,0.0,0.0,999,1000
robust_real_derived_cpi_nonfood,beta,vegfruit,0.0,0.0,0.0,999,1000
robust_real_derived_cpi_nonfood,delta,dairyegg,7.673839011689754e-06,8.501776711093932e-06,1.0454250288460523e-05,999,1000
robust_real_derived_cpi_nonfood,delta,grain,0.42440877506551217,0.6346648470266083,0.8567220675026122,999,1000
robust_real_derived_cpi_nonfood,delta,nonfood,5.4511189295868355e-05,28.24599881418212,349.46146849859264,999,1000
robust_real_derived_cpi_nonfood,delta,nonpork_meatsea,6.14421235332821e-06,0.0010676199384429,0.03473422258824285,999,1000
robust_real_derived_cpi_nonfood,delta,oil,0.09777509474013701,0.160480371756871,0.24313812244981822,999,1000
robust_real_derived_cpi_nonfood,delta,pork,0.03292383658071241,0.0727280213250149,0.10725532032684919,999,1000
robust_real_derived_cpi_nonfood,delta,vegfruit,0.0025722614276370514,0.0278850796946758,0.041276170206423324,999,1000
robust_real_derived_cpi_nonfood,tau,dairyegg,0.005947035490279655,0.0252123403204056,0.04684516420106995,999,1000
robust_real_derived_cpi_nonfood,tau,grain,6.97016344211956e-06,0.0987323368048107,0.3130618802917988,999,1000
robust_real_derived_cpi_nonfood,tau,nonfood,2.189296921931834,11.985654746912934,31.13119464724798,999,1000
robust_real_derived_cpi_nonfood,tau,nonpork_meatsea,0.030215774463404257,0.0718842739382947,0.096952663135817,999,1000
robust_real_derived_cpi_nonfood,tau,oil,0.0051212447128082695,0.0900869861861743,0.1442280748622497,999,1000
robust_real_derived_cpi_nonfood,tau,pork,8.938424289465502e-06,9.872992919686056e-06,1.098455342769267e-05,999,1000
robust_real_derived_cpi_nonfood,tau,vegfruit,0.03512890279361992,0.0527001080057519,0.08233009540080276,999,1000
robust_real_derived_cpi_nonfood,omega,dairyegg,0.369949688563845,0.775096527161758,2.9181010534681144,999,1000
robust_real_derived_cpi_nonfood,omega,grain,0.369949688563845,0.775096527161758,2.9181010534681144,999,1000
robust_real_derived_cpi_nonfood,omega,nonfood,0.369949688563845,0.775096527161758,2.9181010534681144,999,1000
robust_real_derived_cpi_nonfood,omega,nonpork_meatsea,0.369949688563845,0.775096527161758,2.9181010534681144,999,1000
robust_real_derived_cpi_nonfood,omega,oil,0.369949688563845,0.775096527161758,2.9181010534681144,999,1000
robust_real_derived_cpi_nonfood,omega,pork,0.369949688563845,0.775096527161758,2.9181010534681144,999,1000
robust_real_derived_cpi_nonfood,omega,vegfruit,0.369949688563845,0.775096527161758,2.9181010534681144,999,1000
robust_real_derived_cpi_nonfood,kappa,dairyegg,5.431934759130662,6.210099041653587,6.93135051063101,999,1000
robust_real_derived_cpi_nonfood,kappa,grain,5.431934759130662,6.210099041653587,6.93135051063101,999,1000
robust_real_derived_cpi_nonfood,kappa,nonfood,5.431934759130662,6.210099041653587,6.93135051063101,999,1000
robust_real_derived_cpi_nonfood,kappa,nonpork_meatsea,5.431934759130662,6.210099041653587,6.93135051063101,999,1000
robust_real_derived_cpi_nonfood,kappa,oil,5.431934759130662,6.210099041653587,6.93135051063101,999,1000
robust_real_derived_cpi_nonfood,kappa,pork,5.431934759130662,6.210099041653587,6.93135051063101,999,1000
robust_real_derived_cpi_nonfood,kappa,vegfruit,5.431934759130662,6.210099041653587,6.93135051063101,999,1000
