variant,model,group,group_label_cn,items,rmse_x,mae_x,mean_x,relative_rmse
baseline_real_national_nonfood,AIDADS_sat,grain,粮食/主粮,grain,0.07746386576357679,0.05393617880832812,0.4122865722827164,0.18788840328871456
baseline_real_national_nonfood,AIDADS_sat,oil,食用油,oil,0.03134973056687648,0.02552592780729164,0.1273417792799735,0.24618574315622682
baseline_real_national_nonfood,AIDADS_sat,vegfruit,蔬菜水果,vegetable+fruit,0.009511896808793496,0.007253705881023578,0.05164737289379987,0.1841700027676601
baseline_real_national_nonfood,AIDADS_sat,pork,猪肉,pork,0.04406716897630351,0.03578399143077196,0.105900420411937,0.4161189238426885
baseline_real_national_nonfood,AIDADS_sat,nonpork_meatsea,非猪肉肉类及水产品(牛羊禽水产),beef+mutton+poultry+aquatic,0.017648084134536758,0.014060416074111213,0.041278831179050596,0.4275335233690757
baseline_real_national_nonfood,AIDADS_sat,dairyegg,奶蛋类,milk+egg,0.008394179138752574,0.007003593310905102,0.030014386789327437,0.2796718519579214
baseline_real_national_nonfood,AIDADS_sat,nonfood,其他/未覆盖支出,,3.596023249310408,2.9148380625674446,683.8424023508793,0.005258555534064836
baseline_real_national_nonfood,MAIDADS_sat,grain,粮食/主粮,grain,0.06950731827051884,0.04871852806183703,0.4122865722827164,0.16858981820745725
baseline_real_national_nonfood,MAIDADS_sat,oil,食用油,oil,0.03105088947495512,0.02549833593018714,0.1273417792799735,0.2438389792456619
baseline_real_national_nonfood,MAIDADS_sat,vegfruit,蔬菜水果,vegetable+fruit,0.009457007029530957,0.007225292768534113,0.05164737289379987,0.1831072230716743
baseline_real_national_nonfood,MAIDADS_sat,pork,猪肉,pork,0.04332362816102166,0.034889156686514884,0.105900420411937,0.4090977919870303
baseline_real_national_nonfood,MAIDADS_sat,nonpork_meatsea,非猪肉肉类及水产品(牛羊禽水产),beef+mutton+poultry+aquatic,0.01623517007561952,0.012456756102220365,0.041278831179050596,0.3933049849497441
baseline_real_national_nonfood,MAIDADS_sat,dairyegg,奶蛋类,milk+egg,0.008498907415902826,0.007042796162174748,0.030014386789327437,0.2831611212168719
baseline_real_national_nonfood,MAIDADS_sat,nonfood,其他/未覆盖支出,,3.585752499692129,2.899337392408002,683.8424023508793,0.005243536357741502
