variant,metric,income,group,ci_2_5,median,ci_97_5,n_success_draws,target_reps
baseline_real_national_nonfood,budget_share,30000.0,dairyegg,0.001690082716992075,0.0020888259299197,0.002422181067568275,1000,1000
baseline_real_national_nonfood,budget_share,30000.0,grain,0.012520749738517637,0.01388907544518935,0.015509493895247212,1000,1000
baseline_real_national_nonfood,budget_share,30000.0,nonfood,0.9228493850266755,0.9297405212751927,0.9387867022755149,1000,1000
baseline_real_national_nonfood,budget_share,30000.0,nonpork_meatsea,0.004479481173937597,0.009503607617445349,0.012233906398739424,1000,1000
baseline_real_national_nonfood,budget_share,30000.0,oil,0.019104808924301282,0.0239381917351197,0.02826875686723301,1000,1000
baseline_real_national_nonfood,budget_share,30000.0,pork,0.006905715615769215,0.0083867645882153,0.010608415286374321,1000,1000
baseline_real_national_nonfood,budget_share,30000.0,vegfruit,0.010195933662017114,0.01245205219421965,0.014140469293691742,1000,1000
baseline_real_national_nonfood,budget_share,50000.0,dairyegg,0.0015000916373587652,0.0017034753608849498,0.00189929229612143,1000,1000
baseline_real_national_nonfood,budget_share,50000.0,grain,0.00711012139880492,0.00751866055664565,0.008007371525951547,1000,1000
baseline_real_national_nonfood,budget_share,50000.0,nonfood,0.9526524098205322,0.9552727331142727,0.9578063953778277,1000,1000
baseline_real_national_nonfood,budget_share,50000.0,nonpork_meatsea,0.006443092751188695,0.0075454616438956,0.00872170812440143,1000,1000
baseline_real_national_nonfood,budget_share,50000.0,oil,0.012274510780843252,0.01366179757234825,0.015215327219616409,1000,1000
baseline_real_national_nonfood,budget_share,50000.0,pork,0.004939316427188825,0.00580815300559935,0.006868076079011102,1000,1000
baseline_real_national_nonfood,budget_share,50000.0,vegfruit,0.007703335400013098,0.0084724987775811,0.009122461182744467,1000,1000
baseline_real_national_nonfood,budget_share,66734.07986684717,dairyegg,0.001312208737909855,0.0014669264647049,0.0016161556192623174,1000,1000
baseline_real_national_nonfood,budget_share,66734.07986684717,grain,0.005048088523655977,0.005291523152052601,0.005545464033502895,1000,1000
baseline_real_national_nonfood,budget_share,66734.07986684717,nonfood,0.9637066407316298,0.9653255142896753,0.967047316661253,1000,1000
baseline_real_national_nonfood,budget_share,66734.07986684717,nonpork_meatsea,0.00573199525931892,0.00645936929062245,0.007340862180671167,1000,1000
baseline_real_national_nonfood,budget_share,66734.07986684717,oil,0.00916123458877014,0.00994873842083185,0.010794820837613779,1000,1000
baseline_real_national_nonfood,budget_share,66734.07986684717,pork,0.00402639991089203,0.00467478800032285,0.0053929677187380745,1000,1000
baseline_real_national_nonfood,budget_share,66734.07986684717,vegfruit,0.006299853799148492,0.006775296825165001,0.0072007502854700275,1000,1000
baseline_real_national_nonfood,budget_share,80000.0,dairyegg,0.0011900842306036424,0.0013217906496420001,0.0014498171620629299,1000,1000
baseline_real_national_nonfood,budget_share,80000.0,grain,0.00402997917232924,0.0042397040515892,0.0044745357032217326,1000,1000
baseline_real_national_nonfood,budget_share,80000.0,nonfood,0.968908676377802,0.9705494778381802,0.9719560886189509,1000,1000
baseline_real_national_nonfood,budget_share,80000.0,nonpork_meatsea,0.005157460247605287,0.00579075057193805,0.006542144508487765,1000,1000
baseline_real_national_nonfood,budget_share,80000.0,oil,0.007518305399220728,0.00815251973760495,0.008886305932564731,1000,1000
baseline_real_national_nonfood,budget_share,80000.0,pork,0.0035059822390092472,0.0040688358000585,0.00468206061290465,1000,1000
baseline_real_national_nonfood,budget_share,80000.0,vegfruit,0.005505208826619428,0.00586074393510835,0.006221002307078153,1000,1000
baseline_real_national_nonfood,budget_share,120000.0,dairyegg,0.0009196369011757426,0.0010130372924478,0.0011176980307422274,1000,1000
baseline_real_national_nonfood,budget_share,120000.0,grain,0.0023907251083784475,0.0025746015544163003,0.002907973247290682,1000,1000
baseline_real_national_nonfood,budget_share,120000.0,nonfood,0.9781747441177089,0.9796540319645493,0.98074830550326,1000,1000
baseline_real_national_nonfood,budget_share,120000.0,nonpork_meatsea,0.003890365984851725,0.00439208014390435,0.00496426483839699,1000,1000
baseline_real_national_nonfood,budget_share,120000.0,oil,0.004691354635198036,0.0051705317587399,0.006015120035316352,1000,1000
baseline_real_national_nonfood,budget_share,120000.0,pork,0.0025259455198573377,0.00293829673105025,0.0034057734034723453,1000,1000
