county_name,year,crop,cost_mu,count,pooled
双城区,2021,corn,302.3529411764706,67.0,0.0
双城区,2021,soy,170.2127659574468,0.0,1.0
双城区,2022,corn,284.5744680851064,77.0,0.0
双城区,2022,soy,169.62857142857143,0.0,1.0
双城区,2023,corn,255.23012552301256,59.0,0.0
双城区,2023,soy,147.45714285714286,0.0,1.0
双城区,2024,corn,253.44827586206895,47.0,0.0
双城区,2024,soy,192.62295081967216,0.0,1.0
桦南县,2021,corn,354.748427672956,74.0,0.0
桦南县,2021,soy,196.68508287292815,15.0,0.0
桦南县,2022,corn,347.6190476190476,73.0,0.0
桦南县,2022,soy,153.11004784688996,15.0,0.0
桦南县,2023,corn,330.0,42.0,0.0
桦南县,2023,soy,147.45714285714286,1.0,1.0
桦南县,2024,corn,412.6434293137043,9.0,0.0
桦南县,2024,soy,195.12099921935987,12.0,0.0
甘南县,2021,corn,204.9,60.0,0.0
甘南县,2021,soy,165.63966770508824,10.0,0.0
甘南县,2022,corn,211.72145763721176,56.0,0.0
甘南县,2022,soy,178.26666666666665,10.0,0.0
甘南县,2023,corn,221.83333333333337,38.0,0.0
甘南县,2023,soy,144.4142857142857,7.0,0.0
甘南县,2024,corn,266.6666666666667,46.0,0.0
甘南县,2024,soy,190.23636363636365,11.0,0.0
