county_name,year,sub_corn,sub_soy
双城区,2021,68,248
双城区,2022,28,248
双城区,2023,15,350
双城区,2024,20,350
桦南县,2021,68,248
桦南县,2022,28,248
桦南县,2023,15,350
桦南县,2024,20,350
甘南县,2021,68,248
甘南县,2022,28,248
甘南县,2023,15,350
甘南县,2024,20,350
