subgroup,food_group10,expenditure,own_price,curvature_ok,n
low_income,G01_主食,1.05617454090033,-2.34594027740569,FALSE,182410
low_income,G02_食用油,1.21784894998002,-1.81471859290685,FALSE,182410
low_income,G03_蔬菜,0.600328667817686,-1.11706226184023,FALSE,182410
low_income,G04_水果,0.885419920174002,-1.3952553848058,FALSE,182410
low_income,G05_猪肉,1.02271331513975,-1.06281031653713,FALSE,182410
low_income,G06_禽类及其他肉类,1.03298919427389,-1.4256788002395,FALSE,182410
low_income,G07_牛羊肉,1.45456222374485,-1.21016361252983,FALSE,182410
low_income,G08_海鲜,0.968838406745926,-1.50102900589806,FALSE,182410
low_income,G09_乳制品,0.995675927911481,-1.33804022329508,FALSE,182410
non_low_income,G01_主食,0.994001574334103,-2.51341567739126,FALSE,401258
non_low_income,G02_食用油,1.19467353486063,-1.84231665336842,FALSE,401258
non_low_income,G03_蔬菜,0.712490615371017,-1.14278269438908,FALSE,401258
non_low_income,G04_水果,0.880054720519353,-1.41811545713171,FALSE,401258
non_low_income,G05_猪肉,1.01946688814937,-1.06747526506888,FALSE,401258
non_low_income,G06_禽类及其他肉类,1.03434621095868,-1.44298481468349,FALSE,401258
non_low_income,G07_牛羊肉,1.42789632500833,-1.21953387079594,FALSE,401258
non_low_income,G08_海鲜,0.988292183485461,-1.47353003952999,FALSE,401258
non_low_income,G09_乳制品,0.945089651864613,-1.35245855696815,FALSE,401258
elderly,G01_主食,1.13476255874953,-2.20747803272594,FALSE,137581
elderly,G02_食用油,1.17657914230627,-1.83123357690296,FALSE,137581
elderly,G03_蔬菜,0.514440406906016,-1.11050342608854,FALSE,137581
elderly,G04_水果,0.90590381006701,-1.43435717515815,FALSE,137581
elderly,G05_猪肉,1.00486057794382,-1.05199940240112,FALSE,137581
elderly,G06_禽类及其他肉类,1.03869123606827,-1.36739594720305,FALSE,137581
elderly,G07_牛羊肉,1.42747554146626,-1.22924697958432,FALSE,137581
elderly,G08_海鲜,0.939398241812751,-1.43452303158337,FALSE,137581
elderly,G09_乳制品,1.06153400783487,-1.32746309420323,FALSE,137581
non_elderly,G01_主食,0.940595057397618,-2.61068145014941,FALSE,446087
non_elderly,G02_食用油,1.21690471995911,-1.83439067361726,FALSE,446087
non_elderly,G03_蔬菜,0.769402002710671,-1.14795533800368,FALSE,446087
non_elderly,G04_水果,0.868502748671509,-1.39655262209214,FALSE,446087
non_elderly,G05_猪肉,1.03077417862957,-1.07468453516642,FALSE,446087
non_elderly,G06_禽类及其他肉类,1.03128626165946,-1.4753513101936,FALSE,446087
non_elderly,G07_牛羊肉,1.44152906945761,-1.2093959085153,FALSE,446087
non_elderly,G08_海鲜,1.00790126178285,-1.50985010795737,FALSE,446087
non_elderly,G09_乳制品,0.90496235353083,-1.35923378667767,FALSE,446087
large_family,G01_主食,0.704902123845436,-3.19156410926694,FALSE,99142
large_family,G02_食用油,1.19826230330743,-1.89322560139559,FALSE,99142
large_family,G03_蔬菜,1.12151136708808,-1.17232525401737,FALSE,99142
large_family,G04_水果,0.796980788475661,-1.43892033887691,FALSE,99142
large_family,G05_猪肉,1.04335712421047,-1.0873883462799,FALSE,99142
large_family,G06_禽类及其他肉类,1.00104415732467,-1.56707566532114,FALSE,99142
