term,estimate,se_cluster_household,se_cluster_province,t_household
G01__const,-0.441540369111526,0.147642548258993,0.525764768702182,-2.99060382198891
G01__y_easi,0.230016405890296,0.0420975981967827,0.123977269862816,5.46388430083585
G01__y_easi2,0.0222873242343698,0.000557503802008796,0.00120249344650437,39.9769905677129
G01__low_income,0.00700158713406968,0.00120995691650141,0.00135768202280254,5.78664168829645
G01__elderly_household,0.0171483736088772,0.00144711755682904,0.00173381971662315,11.8500211181551
G01__large_family,-0.0257586824164154,0.00169892221698789,0.00243266721151699,-15.1617785433899
G01__z_cpi,-0.00184626741631657,0.00088468403808021,0.00214427794641949,-2.08692294293342
G01__z_covid,0.00762355811917699,0.000535687002991689,0.00134076166645803,14.2313665939274
G01__z_holiday,-0.0169269326682952,0.000693065891973494,0.00130156909206618,-24.4232660477578
G01__z_temp,0.00225889468919251,0.0013496510128261,0.00433086721118132,1.67368798876571
G01__z_precip,0.00332386785716818,0.000511133269622195,0.00110869244075684,6.50293779472626
G01__z_wholesale,0.0124149553753672,0.000934548519154504,0.00151351449601188,13.2844417608185
G01__m_02,-0.0221457851127254,0.00156815504814672,0.00211003979441569,-14.1221910033053
G01__m_03,-0.0411273311670385,0.00237358168882358,0.0057751292417261,-17.32711848962
G01__m_04,-0.0119283928685818,0.00247131667357383,0.00694412108804893,-4.82673588380396
G01__m_05,-0.0142408996041085,0.00320534334868629,0.00920848781220898,-4.44286245027235
G01__m_06,-0.0219432779060584,0.00396291830315183,0.0111504269092394,-5.5371512172245
G01__m_07,-0.0437491518899954,0.00428317937521692,0.0123352310447767,-10.2141769133308
G01__m_08,-0.0436235494647977,0.00412057091806479,0.0120759330498619,-10.5867731273717
G01__m_09,-0.0352745617157971,0.00344125517496132,0.011069329392963,-10.2504928935395
G01__m_10,0.00105544040590244,0.00246300034994375,0.00762986073401904,0.428518171313515
G01__m_11,-0.0290669774851434,0.00241623244052171,0.00756647240264257,-12.0298763470237
G01__m_12,-0.0460951682461623,0.00207326675690123,0.00416816987630835,-22.2331101835914
G01__yr_2021,-0.0412473203386092,0.00235901179400278,0.00616644416049871,-17.484999627162
G01__yr_2022,-0.0596049149337611,0.0024351071743268,0.00773528629353838,-24.4773271427937
G01__mean_y_hh,-0.030394693486535,0.00109999735436294,0.00234439222844944,-27.6316059906689
G01__mn_r_G01,0.164148403618669,0.0232342067918427,0.0679246555811257,7.06494545259446
G01__mn_r_G02,-0.0092169459539079,0.0158464262740488,0.0386825421366115,-0.581641929512033
G01__mn_r_G04,0.00395558667161487,0.0164823997389085,0.0582505413458017,0.239988517101505
G01__mn_r_G05,-0.013742093379715,0.00526315716716964,0.0111180272325559,-2.61099810308439
G01__mn_r_G06,-0.058629889303814,0.00881730124442555,0.0232017036732044,-6.64941433648769
G01__mn_r_G07,0.0294613265912423,0.0217595848436306,0.0667354210331805,1.35394709057908
G01__mn_r_G08,-0.185154133362306,0.0120864782882446,0.0295789768180208,-15.3191135537296
G01__mn_r_G09,0.051807619409458,0.0146950454296884,0.0431344694241002,3.52551611067435
G02__const,0.312756181388222,0.147996541603017,0.381907966041604,2.11326682367453
G02__y_easi,-0.0750696598168988,0.0304692062272807,0.0609052664715601,-2.46378784064564
G02__y_easi2,0.00106048252719471,0.000896624433595441,0.00177198005502255,1.1827499758647
G02__low_income,-0.000854833802319474,0.00197380339718788,0.00208160781760525,-0.433089639797648
G02__elderly_household,0.0248777623148942,0.00228916582774054,0.00302894340937955,10.8676103816599
G02__large_family,-0.0267869013325323,0.00275842471122333,0.0039345776889089,-9.71094161952045
G02__z_cpi,-0.0024686362026009,0.00136037135376588,0.00387193640027425,-1.81467817281439
G02__z_covid,-0.00717478541507411,0.000853044407947956,0.00204506360610005,-8.41079942406919
G02__z_holiday,0.0166997815959578,0.00111046542569309,0.00394628129999609,15.0385425872532
G02__z_temp,0.0107005782641192,0.00214651092530361,0.00733312498194103,4.98510309823168
G02__z_precip,0.000906706240555234,0.000876719217506682,0.00233595203391909,1.03420367941042
G02__z_wholesale,-0.0061126710854916,0.00152113018955154,0.00327222484963805,-4.01850619196094
G02__m_02,-0.0208664895064713,0.00262712703812983,0.00485955626647826,-7.94270288555422
G02__m_03,-0.0293458355384801,0.00383506118570414,0.00837571405540117,-7.6519862702248
G02__m_04,-0.0433873442178179,0.00400102140284283,0.0117462474395616,-10.8440670142354
G02__m_05,-0.0734526095071896,0.00523567296965336,0.0171419751968274,-14.0292584989419
G02__m_06,-0.055281352895988,0.00642812436177777,0.0183444280209082,-8.59991963203078
G02__m_07,-0.0512311747182893,0.00686797534630564,0.0181029728606466,-7.45942903622202
G02__m_08,-0.04742227070002,0.00662074748771958,0.0179260245374177,-7.16267623678152
G02__m_09,-0.0211498443114666,0.00546310446641456,0.0149247279256814,-3.87139664662998
G02__m_10,-0.0681908402892296,0.004093243435931,0.0127283718107753,-16.6593659420893
G02__m_11,-0.00570516926612629,0.00388413239307467,0.00724174008430052,-1.46884006227452
G02__m_12,-0.0098451978416763,0.00339514255977073,0.0055548562694567,-2.89978923369307
G02__yr_2021,-0.004504741538946,0.00372668072312049,0.00942461427318212,-1.20878118455343
G02__yr_2022,0.0105714658121482,0.00383868193145545,0.00810480158897769,2.75393116723792
G02__mean_y_hh,-0.0858303176331101,0.00197315277429978,0.0045639897387968,-43.4990735390823
G02__mn_r_G01,-0.0645612589290902,0.0284463180419226,0.111227821949841,-2.26958226488024
G02__mn_r_G02,-0.0677628426986026,0.0264312365968124,0.0628476221240192,-2.56374091504954
G02__mn_r_G04,0.264962167606924,0.0255180856582375,0.0968357114207633,10.3833089658664
G02__mn_r_G05,0.0145649141318307,0.00848398152593452,0.0203730259718942,1.71675457888581
G02__mn_r_G06,-0.0106012967133144,0.0117764316077724,0.0414442474920971,-0.900212990352494
G02__mn_r_G07,0.0647160626571926,0.0300230310709553,0.0905208397916314,2.15554726983579
G02__mn_r_G08,0.00861324460046227,0.0168328792650222,0.061908315395921,0.511691699610781
G02__mn_r_G09,0.0338138048063968,0.0199801930217314,0.0532861579050247,1.69236627341985
G04__const,-0.67899117426785,0.10132408042937,0.334874084778015,-6.70118269408975
G04__y_easi,-0.00623041657365781,0.0239922779984671,0.0645738636458489,-0.259684243991166
G04__y_easi2,0.00828751701791423,0.00048108515016265,0.000880128150837201,17.2267155099514
G04__low_income,0.0032082028589645,0.00128704028176759,0.00148934215470829,2.49269809532181
G04__elderly_household,-0.0166816052883324,0.00152094260341241,0.0024542736528676,-10.9679387314849
G04__large_family,-0.016495651094125,0.00171364504979739,0.00292683082398236,-9.62606059876594
G04__z_cpi,-0.00128863810131928,0.000846509801112696,0.00275162290096807,-1.5222955477012
G04__z_covid,-0.000954489829472653,0.000516927686495773,0.00155380372504431,-1.84646683551251
G04__z_holiday,-0.00576462031680224,0.000534707798924703,0.00179563284234429,-10.7808794418089
G04__z_temp,0.00876900573554693,0.00131948814231562,0.00377550117034096,6.6457631973546
G04__z_precip,-0.00536829017719941,0.000431035650405193,0.00142511597697613,-12.4543994728812
G04__z_wholesale,-0.00978378299542131,0.000765614269544086,0.00152917598372283,-12.7789977076151
G04__m_02,0.0244340910156574,0.00128708046688621,0.00371044758124598,18.9841207634593
G04__m_03,0.0185773248748311,0.00202668355684231,0.0047171104836971,9.16636680260813
G04__m_04,0.0207980782317542,0.00225406016181416,0.00561135150052428,9.22694016073423
G04__m_05,0.0516126146870138,0.00294708580189938,0.00751218273551609,17.5131021478064
G04__m_06,0.0410195953237647,0.00361575649188489,0.00972988133846834,11.3446786075965
G04__m_07,0.0286483322086316,0.00387974260673693,0.0101784691293152,7.38408062403048
G04__m_08,0.0196411277325188,0.0037372224260092,0.00964895756248696,5.25554154760135
G04__m_09,0.0100753590226095,0.00313719806496543,0.00941461078608504,3.21157887196404
G04__m_10,0.012352527852651,0.00222075607314876,0.00550192926916735,5.56230736099556
G04__m_11,-0.00989949217123745,0.00196790834954667,0.00441415928119713,-5.03046403228987
G04__m_12,0.00871730392862336,0.00159174017515803,0.00285526106934159,5.47658723746034
G04__yr_2021,0.0279124703379054,0.00218342831244193,0.00629740202529742,12.7837814407968
G04__yr_2022,0.0515122177218523,0.00210025493020012,0.00465925922631114,24.5266500657347
G04__mean_y_hh,0.0194628713003953,0.00104983454578679,0.00297774823314381,18.5389891945392
G04__mn_r_G01,0.0235561921985966,0.0185078504215298,0.0686776142998227,1.27276759116197
G04__mn_r_G02,0.274109375034871,0.014980868618294,0.0505524537839736,18.2972951715324
G04__mn_r_G04,-0.230903182310181,0.0160273945366326,0.069381607671063,-14.4067821992166
G04__mn_r_G05,-0.0279413946681606,0.00546793151143652,0.0135116881411435,-5.11004839942115
G04__mn_r_G06,-0.0319008521551222,0.00726795057395972,0.0199784427811156,-4.3892500135347
G04__mn_r_G07,0.00917334604107626,0.0188118760753505,0.064730065723614,0.487635895767793
G04__mn_r_G08,0.0707485558952702,0.00987008198472932,0.0353770811558968,7.16798057044816
G04__mn_r_G09,-0.125728484550584,0.0128475045168926,0.0253961978015517,-9.7862183574459
G05__const,0.554773482390508,0.0875575705375823,0.470864465468851,6.33609953981515
G05__y_easi,-0.00224783461893004,0.0108079535438276,0.0218044426765243,-0.207979670694808
G05__y_easi2,-0.00276581823319996,0.000639800724588576,0.0012608067755009,-4.32293701289338
G05__low_income,0.014028516957034,0.00148957032218649,0.00238200470989254,9.41782791190548
G05__elderly_household,0.0109676806832649,0.00175303358731448,0.00219790182249633,6.25640076871921
G05__large_family,0.031539484831867,0.00208014302428831,0.00309245330912716,15.1621712851489
G05__z_cpi,0.00384677401007625,0.000954408171996717,0.00423675127425925,4.03053339540085
G05__z_covid,0.000614266828380489,0.000617871069113984,0.00252877254439005,0.994166678270495
G05__z_holiday,-0.0149804616955106,0.000688445036009448,0.00152437825790201,-21.7598514216101
G05__z_temp,-0.00315343142273636,0.0014315769261728,0.00630307700303272,-2.20276770677408
G05__z_precip,0.00517941316067817,0.000490617556158561,0.00181565694096438,10.5569258491929
G05__z_wholesale,0.00937835466218878,0.000768612374032124,0.00273817292776258,12.2016701513536
G05__m_02,-0.0456051768372899,0.00149405207717913,0.00661584841643322,-30.5244894297096
G05__m_03,-0.0263110587782709,0.00222348601629328,0.00872172136791617,-11.8332467960079
G05__m_04,-0.00528493053915598,0.00231294044816087,0.0101701070181081,-2.28494016928031
G05__m_05,-0.00534345760589426,0.00305989464851431,0.0142726046981747,-1.74628809801955
G05__m_06,-0.0120352671042074,0.00383648874854776,0.0177843186642096,-3.13705262624925
G05__m_07,-0.0181194683435767,0.00422014246081814,0.0192655701628431,-4.2935679332645
G05__m_08,-0.020135599709734,0.00406693746687131,0.0186601271141146,-4.95104728650384
G05__m_09,-0.0186989950422393,0.00337598528234531,0.0163213233396636,-5.53882599548807
G05__m_10,0.0235158271374551,0.00239132661782737,0.0104155975668807,9.83379976710179
G05__m_11,-0.00772547278998965,0.00221424576358473,0.00870820999850782,-3.48898614464664
G05__m_12,0.00547720736283866,0.0018637662561559,0.00403579661681844,2.93878448799456
G05__yr_2021,0.00557388697033818,0.00236813855403145,0.00718122857213391,2.35369968570857
G05__yr_2022,-0.0166626863182636,0.0021703447006885,0.00668910812617721,-7.67743774202212
G05__mean_y_hh,0.00815004398802707,0.00120989493975435,0.00570015032505649,6.73615842188895
G05__mn_r_G01,0.106978162234601,0.0196045653880751,0.105026299992169,5.45679846081529
G05__mn_r_G02,-0.0523902389967372,0.0151304338583158,0.0775069047403397,-3.46257347854856
G05__mn_r_G04,0.0915329098158057,0.0181845603534364,0.0920520101557288,5.03355088254901
G05__mn_r_G05,-0.0956526828608447,0.0061328596411748,0.0274684482809639,-15.5967506933718
G05__mn_r_G06,0.0764582994849031,0.00653002530978887,0.0477079082511809,11.7087294241093
G05__mn_r_G07,-0.103936847835657,0.0196298630593064,0.0966042310273508,-5.29483305724752
G05__mn_r_G08,-0.0498694505545862,0.00985475036206807,0.0432642368458349,-5.06044787765896
G05__mn_r_G09,0.0399484022251074,0.0130491975504884,0.074701960457683,3.06136849185889
G06__const,-0.586873224369479,0.0927181011406284,0.596060327487418,-6.32965102983883
G06__y_easi,0.0549802077137554,0.0173334735992334,0.0432196451481194,3.17190939248248
G06__y_easi2,0.00301021698461031,0.000554979043615704,0.000948662429295518,5.42401919358731
G06__low_income,0.0075929720795934,0.00134963129654307,0.00218617740784513,5.6259602893338
G06__elderly_household,-0.00344741943243043,0.00161818724559354,0.00260761769879423,-2.13042059367237
G06__large_family,0.00483079846098663,0.00189155951484322,0.00163589328828472,2.55387072047111
G06__z_cpi,0.000430241040251185,0.000828352153786083,0.00421827850628643,0.519393881315715
G06__z_covid,0.000895865985341149,0.000528269607102096,0.0025304190195818,1.69584994725621
G06__z_holiday,0.00200117989850736,0.000621325452928377,0.00146714921781002,3.22082394834394
G06__z_temp,0.0067600543891739,0.00131418013962545,0.00837345319468401,5.14393284858236
G06__z_precip,0.00150876396441538,0.000446077395234522,0.00166867337630567,3.38229190838545
