term,estimate_unconstrained,estimate_constrained
G01__const,-0.441540368686065,0.0477808513563982
G01__y_easi,0.230016405780566,0.0706157858521155
G01__y_easi2,0.0222873242343368,0.0223388110567011
G01__low_income,0.00700158713401171,0.00718297146596904
G01__elderly_household,0.0171483736089158,0.0171071866655642
G01__large_family,-0.0257586824166465,-0.0258432346232313
G01__z_cpi,-0.00184626741654678,-0.00328737612682662
G01__z_covid,0.00762355811919267,0.00751552685566594
G01__z_holiday,-0.0169269326682974,-0.0167221068222387
G01__z_temp,0.00225889468886714,0.00344789614387391
G01__z_precip,0.00332386785723202,0.00478814065343181
G01__z_wholesale,0.0124149553750588,0.0074649342845203
G01__m_02,-0.0221457851127853,-0.0232338031027896
G01__m_03,-0.0411273311669893,-0.0435842693981981
G01__m_04,-0.01192839286832,-0.0144133032847473
G01__m_05,-0.0142408996037444,-0.0189379423429201
G01__m_06,-0.0219432779057093,-0.0284147256506909
G01__m_07,-0.043749151889545,-0.0511277092897296
G01__m_08,-0.0436235494642143,-0.0501596940930994
G01__m_09,-0.0352745617154094,-0.0404673356937298
G01__m_10,0.00105544040615769,-0.00291883070338578
G01__m_11,-0.0290669774850885,-0.0315247198074101
G01__m_12,-0.0460951682463727,-0.0460289625824967
G01__yr_2021,-0.0412473203393905,-0.0390539241617662
G01__yr_2022,-0.0596049149335797,-0.054089161914585
G01__mean_y_hh,-0.0303946934865954,-0.0305923489926346
G01__mn_r_G01,0.164148403666742,0.309329652985986
G01__mn_r_G02,-0.00921694596396953,-0.0389193570837201
G01__mn_r_G04,0.00395558667914934,-0.00560675039132246
G01__mn_r_G05,-0.0137420933822695,-0.0348721368413263
G01__mn_r_G06,-0.058629889299833,-0.0269309605478035
G01__mn_r_G07,0.0294613265295314,-0.0537931085255694
G01__mn_r_G08,-0.185154133361216,-0.180143423064868
G01__mn_r_G09,0.0518076194191906,0.035842668138497
G02__const,0.312756180736528,0.376767085510042
G02__y_easi,-0.0750696596897903,-0.079757438850114
G02__y_easi2,0.00106048252705251,0.00111638625222637
G02__low_income,-0.000854833802070623,-0.000548308861431596
G02__elderly_household,0.024877762314957,0.0251520327144751
G02__large_family,-0.0267869013324665,-0.0264997633622176
G02__z_cpi,-0.00246863620224484,-0.0017094982382353
G02__z_covid,-0.00717478541485902,-0.00803983613589106
G02__z_holiday,0.0166997815960541,0.0169544147706288
G02__z_temp,0.0107005782655332,0.0101772878406653
G02__z_precip,0.000906706240507794,0.00113020318277543
G02__z_wholesale,-0.00611267108489206,-0.00591454624422141
G02__m_02,-0.0208664895066422,-0.0231470225164076
G02__m_03,-0.0293458355391019,-0.0302596931306121
G02__m_04,-0.0433873442189891,-0.0451590382270975
G02__m_05,-0.0734526095083894,-0.0740762584262582
G02__m_06,-0.0552813528972917,-0.0523377736632266
G02__m_07,-0.0512311747196107,-0.0450405305393685
G02__m_08,-0.0474222707016147,-0.0399104045122917
G02__m_09,-0.0211498443129405,-0.0141781844252743
G02__m_10,-0.0681908402904316,-0.0620808298205492
G02__m_11,-0.00570516926658365,0.000856064074172852
G02__m_12,-0.00984519784125828,-0.00308818678070511
G02__yr_2021,-0.00450474153903819,0.00738103866549461
G02__yr_2022,0.0105714658102465,0.0252243237079378
G02__mean_y_hh,-0.0858303176329467,-0.0856360151629331
G02__mn_r_G01,-0.064561258989418,-0.0838924945965272
G02__mn_r_G02,-0.0677628426500006,0.110521795989199
G02__mn_r_G04,0.264962167580787,0.182037183033737
G02__mn_r_G05,0.014564914140078,0.0352894083220155
G02__mn_r_G06,-0.0106012967167363,-0.0103560545998656
G02__mn_r_G07,0.0647160627021676,0.0318544269294759
G02__mn_r_G08,0.00861324462181548,-0.0207095257985744
G02__mn_r_G09,0.0338138047765497,-0.0125203958293337
G04__const,-0.678991174263172,-0.674794543849004
G04__y_easi,-0.00623041658015514,-0.0130168365715378
G04__y_easi2,0.00828751701786818,0.00826946073911075
G04__low_income,0.00320820285898764,0.00316509997142361
G04__elderly_household,-0.0166816052883595,-0.0168386137827321
G04__large_family,-0.0164956510940805,-0.0164349465347519
G04__z_cpi,-0.00128863810135586,-0.00110494765074941
G04__z_covid,-0.000954489829426097,-0.000889062440384427
G04__z_holiday,-0.00576462031671495,-0.00589680565024126
G04__z_temp,0.00876900573530003,0.00726479812010902
G04__z_precip,-0.00536829017721179,-0.00573333752803436
G04__z_wholesale,-0.00978378299517506,-0.0083718115546154
G04__m_02,0.024434091015743,0.0267026509403248
G04__m_03,0.018577324875291,0.022040435400415
G04__m_04,0.0207980782321576,0.0255828373032294
G04__m_05,0.0516126146876079,0.0564905640737229
G04__m_06,0.0410195953245993,0.0448503917517043
G04__m_07,0.0286483322097061,0.0305527495819818
G04__m_08,0.0196411277336114,0.0206048499631393
G04__m_09,0.0100753590235037,0.0107486863231661
G04__m_10,0.012352527853126,0.0125785124873361
G04__m_11,-0.00989949217070417,-0.0108903289830825
G04__m_12,0.00871730392888894,0.00657627376624319
G04__yr_2021,0.0279124703375157,0.0247974271129295
G04__yr_2022,0.0515122177212576,0.0489964160535971
G04__mean_y_hh,0.0194628713004376,0.0193200335046094
G04__mn_r_G01,0.0235561921977441,0.00342712861836834
G04__mn_r_G02,0.274109375032676,0.194312044727847
G04__mn_r_G04,-0.230903182314761,-0.173053103595768
G04__mn_r_G05,-0.0279413946677156,-0.0353478328582212
G04__mn_r_G06,-0.0319008521499848,-0.0443931994092532
G04__mn_r_G07,0.00917334603527088,0.0512114548447506
G04__mn_r_G08,0.0707485558953933,0.0762331927598353
G04__mn_r_G09,-0.125728484544897,-0.118918856342367
G05__const,0.55477348233506,0.469304520959925
G05__y_easi,-0.00224783460265838,0.00842605216027855
G05__y_easi2,-0.00276581823323943,-0.00299723248739216
G05__low_income,0.0140285169569928,0.0135675098485526
G05__elderly_household,0.0109676806832782,0.0107282783483623
G05__large_family,0.0315394848318485,0.0322905814826477
G05__z_cpi,0.0038467740100824,0.00418451026953724
G05__z_covid,0.000614266828426227,0.00238185351198081
G05__z_holiday,-0.0149804616954749,-0.0161990299991889
G05__z_temp,-0.0031534314227529,0.00303931016198832
G05__z_precip,0.00517941316065212,0.00229248788972302
G05__z_wholesale,0.00937835466218726,0.0130663446497104
G05__m_02,-0.045605176837256,-0.0487300712905213
G05__m_03,-0.0263110587780747,-0.0354564046128673
