term,estimate,se_province_cr1,t_province,score_boot_p_studentized
bp__p1_1,-0.490132089265379,0.095463144758569,-5.13425459118225,0
bp__p1_2,0.133824862305507,0.0788998984623619,1.69613478487994,0.0720720720720721
bp__p2_2,0.0170114551027074,0.059579136854097,0.285527048576864,0.778778778778779
bp__p1_3,-0.0153305530464274,0.0626119285512251,-0.24485035681156,0.807807807807808
bp__p2_3,-0.0289669454398377,0.0512847011164547,-0.564826250504239,0.620620620620621
bp__p3_3,0.0182398484369574,0.0410534817140801,0.444294799744152,0.675675675675676
bp__p1_4,0.059966037783505,0.0125976051745231,4.760114081427,0
bp__p2_4,0.0336521834846766,0.0191021952052566,1.76169194812835,0.0770770770770771
bp__p3_4,-0.0240222228806468,0.0116282157313722,-2.06585631326364,0.03003003003003
bp__p4_4,0.00281252670331879,0.0130976049198074,0.214735955202423,0.822822822822823
bp__p1_5,0.0702400059265768,0.0413265896623529,1.6996322827616,0.0750750750750751
bp__p2_5,0.154726092575631,0.0410403556991466,3.77009628546784,0
bp__p3_5,-0.0969490125087292,0.022413386105151,-4.32549602518329,0
bp__p4_5,0.0410609815850825,0.0124980878776782,3.28538109084815,0
bp__p5_5,-0.0924003256685823,0.0362129199079994,-2.55158451467956,0.004004004004004
bp__p1_6,0.0529382868211496,0.0860401340730203,0.615274341346587,0.544544544544545
bp__p2_6,-0.0766239958578407,0.0755629981528105,-1.01404123355302,0.317317317317317
bp__p3_6,0.0860196459203429,0.0798321759308013,1.07750596695379,0.282282282282282
bp__p4_6,-0.00467037159296209,0.0232432144816869,-0.200934840430175,0.832832832832833
bp__p5_6,-0.0429893069308556,0.042513054896546,-1.01120248910525,0.301301301301301
bp__p6_6,0.220944907187741,0.126531372061558,1.74616700655273,0.0670670670670671
bp__p1_7,0.232125727795003,0.0394172661876752,5.88893523690343,0
bp__p2_7,-0.0834241836866617,0.0519596391715173,-1.60555740988271,0.119119119119119
bp__p3_7,0.0174851871134167,0.0280237563840537,0.62394158990642,0.570570570570571
bp__p4_7,-0.0948013910714563,0.0138522410908972,-6.84375838172161,0
bp__p5_7,0.0160935035348638,0.020382622129856,0.789569832199876,0.436436436436436
bp__p6_7,-0.109931867885285,0.0533180123192268,-2.06181481836004,0.029029029029029
bp__p7_7,-0.092225325844849,0.0468626477511858,-1.96799221278562,0.042042042042042
