fold,food_group10,oof_r2,oof_rmse
1,G01_主食,0.0204894860989077,0.155607163641727
1,G02_食用油,0.0327239811578459,0.152460292122084
1,G03_蔬菜,-0.102208809519208,0.135543551607988
1,G04_水果,0.0288460875527583,0.173119746419689
1,G05_猪肉,0.0456236407635809,0.149782660504507
1,G06_禽类及其他肉类,0.0803097021574345,0.101669086758015
1,G07_牛羊肉,0.0832484316887005,0.130422144783053
1,G08_海鲜,0.0955530316187999,0.119619563853817
1,G09_乳制品,0.0484546275931169,0.227057628488909
2,G01_主食,0.0212886324881143,0.154235143405013
2,G02_食用油,0.0339897809705551,0.150224407050205
2,G03_蔬菜,-0.0727141327518619,0.137533764289724
2,G04_水果,0.0342689326392958,0.172622072278135
2,G05_猪肉,0.043960127194043,0.150306095578636
2,G06_禽类及其他肉类,0.0750857372215723,0.102421480730298
2,G07_牛羊肉,0.0808400217909597,0.127964722657957
2,G08_海鲜,0.0996623286293467,0.120451331257296
2,G09_乳制品,0.0395790458835835,0.224399703720456
3,G01_主食,0.0194763969307484,0.153345025778235
3,G02_食用油,0.0350192570345621,0.150202394283292
3,G03_蔬菜,-0.0772804139018684,0.136886208587769
3,G04_水果,0.0297488262337267,0.174397686998044
3,G05_猪肉,0.0463287952202574,0.148494846643941
3,G06_禽类及其他肉类,0.0752326914081578,0.101266268715965
3,G07_牛羊肉,0.083785831566344,0.130322353471829
3,G08_海鲜,0.101388095845089,0.120032296459081
3,G09_乳制品,0.0479708795819602,0.223792982120059
4,G01_主食,0.0196311911686092,0.152828235072005
4,G02_食用油,0.03520965382115,0.151338206238288
4,G03_蔬菜,-0.0682938006002283,0.136888669033376
4,G04_水果,0.0312555491672306,0.170657008149501
4,G05_猪肉,0.0433452023229441,0.148810042620993
4,G06_禽类及其他肉类,0.0804935738050688,0.100412434949265
4,G07_牛羊肉,0.0928563712922513,0.126928229273991
4,G08_海鲜,0.0864713748408532,0.120194401862338
4,G09_乳制品,0.0370380765651392,0.22457342492589
5,G01_主食,0.0184265712545262,0.152174711698835
5,G02_食用油,0.0342217063156395,0.153441258442473
5,G03_蔬菜,-0.0641730613804641,0.134611077023309
5,G04_水果,0.0365166698770638,0.170771567277168
5,G05_猪肉,0.0425512046938903,0.149020893538116
5,G06_禽类及其他肉类,0.0793262493829019,0.100504364617771
5,G07_牛羊肉,0.0888553601102453,0.129504600461645
5,G08_海鲜,0.0961968061445375,0.118765916350931
5,G09_乳制品,0.0430578265732458,0.22331555629699
