term,estimate,se_cluster_household
G01__const,-0.654963483747894,0.16202730896853
G01__y_easi,0.286403608717926,0.0460098061899597
G01__y_easi2,0.0222867647361252,0.000557893864028314
G01__low_income,0.176909977731283,0.0774393724642074
G01__elderly_household,-0.208758269473774,0.0855850081173695
G01__large_family,0.237516527597075,0.10543499653638
G01__z_cpi,-0.00201210940972929,0.00089434000237316
G01__z_covid,0.00775223431682912,0.000535209881513992
G01__z_holiday,-0.0168525110074738,0.000693306802745441
G01__z_temp,0.00228210049738109,0.00135538109525204
G01__z_precip,0.00343423740866074,0.000510504409590666
G01__z_wholesale,0.012570153408509,0.000933909976913617
G01__m_02,-0.0220438433750392,0.00156878227053264
G01__m_03,-0.0408978341049908,0.00237715693643482
G01__m_04,-0.0116843177537381,0.00247850641608574
G01__m_05,-0.0140103226318901,0.00321525651390308
G01__m_06,-0.0217619161747029,0.00397471240256764
G01__m_07,-0.0435756796682683,0.00429376936352634
G01__m_08,-0.0435567460751994,0.00413069441431516
G01__m_09,-0.0351656536831989,0.00345081469931171
G01__m_10,0.00109093765901543,0.00246877320653356
G01__m_11,-0.0288850868914748,0.00241879160049042
G01__m_12,-0.0458329912025276,0.00207324850209573
G01__yr_2021,-0.0415392403528131,0.00236954384957794
G01__yr_2022,-0.0595164529280447,0.00243769668066734
G01__mean_y_hh,-0.0301552259094478,0.00109959133103442
G01__mn_r_G01,0.156738669162345,0.0234417068150556
G01__mn_r_G02,-0.0055110075244269,0.0159354010495884
G01__mn_r_G04,0.0068947420667555,0.016564800963984
G01__mn_r_G05,-0.0132910628637434,0.00527257986945909
G01__mn_r_G06,-0.0571001793489421,0.00887668709498854
G01__mn_r_G07,0.0318035889533611,0.0218795682698585
G01__mn_r_G08,-0.185175958453642,0.0121209661054179
G01__mn_r_G09,0.047167122567448,0.0147289005514779
G02__const,0.270945894605041,0.15442368660099
G02__y_easi,-0.0761627229610451,0.0330662870571177
G02__y_easi2,0.00105538167334015,0.000897353357267259
G02__low_income,-0.0416519764872918,0.0572750810530513
G02__elderly_household,0.127796769040521,0.0627023096269627
G02__large_family,0.124206956487678,0.0769534510073969
G02__z_cpi,-0.00261266544375744,0.00137441254109965
G02__z_covid,-0.00705929427694145,0.000852616786147024
G02__z_holiday,0.0166875822182177,0.00111083513113787
G02__z_temp,0.010384338377056,0.00215480126607151
G02__z_precip,0.000944794359918708,0.000876964638908529
G02__z_wholesale,-0.00593084078663076,0.00152225044041595
G02__m_02,-0.0206574948559673,0.0026280310411764
G02__m_03,-0.0290202231565098,0.00383955974858851
G02__m_04,-0.0428518709099974,0.0040097149511377
G02__m_05,-0.0727904649028447,0.00525128734181506
G02__m_06,-0.0544486882177785,0.00644565528352414
G02__m_07,-0.0503889243472092,0.00688513017310235
G02__m_08,-0.0467076059765175,0.00663689477194808
G02__m_09,-0.0204446894885656,0.00547648384846385
G02__m_10,-0.0676351552294077,0.00409970423082496
G02__m_11,-0.00537250379252971,0.00388887774468245
G02__m_12,-0.00972701535177722,0.00339572253183215
G02__yr_2021,-0.00483906461477003,0.00374802952563225
G02__yr_2022,0.0104418691230228,0.00384222191847407
G02__mean_y_hh,-0.0857991759164185,0.00197378232447928
G02__mn_r_G01,-0.0624502390701314,0.0284666622778564
G02__mn_r_G02,-0.0639819558647346,0.0265072373057531
G02__mn_r_G04,0.266272175996138,0.0255646260994535
G02__mn_r_G05,0.0157138634297122,0.00850921679419005
G02__mn_r_G06,-0.0110719045960535,0.011835372938043
G02__mn_r_G07,0.0588886304673171,0.0300877602835515
G02__mn_r_G08,0.00941265416184808,0.0169344135801157
G02__mn_r_G09,0.0280480465465646,0.0201142465684692
G04__const,-0.635376723645487,0.108444206312075
G04__y_easi,-0.00846518578301549,0.0261018804407256
G04__y_easi2,0.00835366056907463,0.000480269884156158
G04__low_income,-0.0935558186030079,0.0438195514621646
G04__elderly_household,0.00848819398533682,0.0495361786640861
G04__large_family,-0.0333582849356308,0.0595120283290501
G04__z_cpi,-0.00105698855037907,0.000850522990390052
G04__z_covid,-0.00107758303710504,0.000515140682204422
G04__z_holiday,-0.00576996039335959,0.000534467613400926
G04__z_temp,0.00877024198303423,0.00131948972696061
G04__z_precip,-0.00552687629861139,0.000429696484795396
G04__z_wholesale,-0.0100223519772325,0.000765757922498419
G04__m_02,0.0242954568927608,0.00128724196928568
G04__m_03,0.0186737929650308,0.0020248797549093
G04__m_04,0.0208476616332295,0.00225124201897701
G04__m_05,0.0517135730558592,0.00294580122332357
G04__m_06,0.0410675442547123,0.00361332722326903
G04__m_07,0.0286990798669666,0.00387826382647457
G04__m_08,0.0198190482355389,0.00373677310315346
G04__m_09,0.010192745533359,0.00313696294287365
G04__m_10,0.0124320477900434,0.00222282964642384
G04__m_11,-0.00972431067644311,0.00196867518345915
G04__m_12,0.0087667996511531,0.00159150556356385
G04__yr_2021,0.028786442413982,0.00219437487867611
G04__yr_2022,0.0521636995604045,0.00210401705885445
G04__mean_y_hh,0.0192758024927189,0.00104963932658196
G04__mn_r_G01,0.0234524875739419,0.0185093349309003
G04__mn_r_G02,0.272786495785793,0.0149789078213543
G04__mn_r_G04,-0.233886879042327,0.0160682022593514
G04__mn_r_G05,-0.0282002841496819,0.0054671991266099
G04__mn_r_G06,-0.0327313421844669,0.00728126120144563
G04__mn_r_G07,0.00679934711928224,0.018820348881973
G04__mn_r_G08,0.0702971753216291,0.00988540021121589
G04__mn_r_G09,-0.117240182842304,0.0129220505145228
G05__const,0.544263332148846,0.0890947109613275
G05__y_easi,0.00393740810781605,0.0117877248798988
G05__y_easi2,-0.0027175305866742,0.000639565548004135
G05__low_income,0.0108351442671516,0.0177644090541368
G05__elderly_household,-0.0309455467082008,0.0197696253078696
G05__large_family,0.0160410777308778,0.0226415538203123
G05__z_cpi,0.0035959044027761,0.000960351129360206
G05__z_covid,0.000598118050772294,0.000616766506578887
G05__z_holiday,-0.0150013340216982,0.000688407571885907
G05__z_temp,-0.00336868317442708,0.00143076328886555
G05__z_precip,0.00511830937276808,0.00048959200602634
G05__z_wholesale,0.00922045156469213,0.000768462863353531
G05__m_02,-0.0456185681290059,0.00149321807789138
G05__m_03,-0.0261512399530421,0.00222173778737231
G05__m_04,-0.00505562588890244,0.00231114039022649
G05__m_05,-0.00493633415840405,0.00305751654806152
G05__m_06,-0.0115753762521434,0.00383306325071456
G05__m_07,-0.0177059521616872,0.00421629803695277
G05__m_08,-0.0196949495202923,0.00406436037675952
G05__m_09,-0.018318160623919,0.00337391042759923
G05__m_10,0.0237400512405504,0.00239033432461515
G05__m_11,-0.00766801881656461,0.00221355384348812
G05__m_12,0.00534954710479821,0.00186368027237594
G05__yr_2021,0.00531862649668463,0.00238374064597157
G05__yr_2022,-0.016575657748547,0.00217435222449993
G05__mean_y_hh,0.00802578083848541,0.00120958580877265
G05__mn_r_G01,0.102995665627023,0.0196178611544507
G05__mn_r_G02,-0.0535940773895687,0.015133677673318
G05__mn_r_G04,0.0907379309515846,0.0181693098021109
G05__mn_r_G05,-0.0950440536133916,0.00613602703284213
G05__mn_r_G06,0.0762989195417638,0.00655584844134792
G05__mn_r_G07,-0.101060798461454,0.0196255627645803
G05__mn_r_G08,-0.0483392137743244,0.00985567992596597
G05__mn_r_G09,0.0432786848566155,0.0130711829449206
G06__const,-0.58592813836619,0.0956099366638681
G06__y_easi,0.0545923184891905,0.0188024155830422
G06__y_easi2,0.00296255559757366,0.000554874949509229
G06__low_income,0.0098700242896453,0.0302154080313664
G06__elderly_household,-0.0350915767967024,0.0346556381357421
G06__large_family,-0.00634355163631644,0.0429913340038519
G06__z_cpi,4.46743929754361e-05,0.00083566781781589
G06__z_covid,0.000957401177884835,0.000527645053153088
G06__z_holiday,0.00199994415704221,0.000621398554466617
G06__z_temp,0.00675469870412596,0.00131576040469288
G06__z_precip,0.00149516386016033,0.000445905980083944
G06__z_wholesale,0.00130311618917136,0.000791040857210246
G06__m_02,-0.00579618069966077,0.00140567505829686
G06__m_03,-0.00453828050814573,0.00209343870368161
G06__m_04,-0.00692026444552737,0.00218088192435953
G06__m_05,-0.0137782018124515,0.00286911472198743
G06__m_06,-0.0121704132925613,0.00356485870758239
G06__m_07,-0.00852482427501816,0.0038632716556215
G06__m_08,-0.00696332846338815,0.00371023841099994
G06__m_09,-0.00955875650649038,0.00311062487695488
G06__m_10,-0.00894050876813786,0.00225299202856629
G06__m_11,-0.00292642572983036,0.00208634434804215
G06__m_12,0.00694171950771709,0.00174893219294078
G06__yr_2021,-0.00803104308227885,0.00217070832565733
G06__yr_2022,-0.0029946789275099,0.00210914099268388
G06__mean_y_hh,0.0083713834172381,0.00108402799675935
G06__mn_r_G01,-0.0449884201375295,0.0185309521392547
G06__mn_r_G02,0.0123422366724679,0.0153093036612172
G06__mn_r_G04,-0.246778647411874,0.0176747310348599
G06__mn_r_G05,-0.0538200636387599,0.00557468927729951
G06__mn_r_G06,0.151393210426666,0.00938256690214058
G06__mn_r_G07,0.15990355907104,0.0188512843397301
G06__mn_r_G08,-0.0289725928692584,0.01055042301257
G06__mn_r_G09,-0.114699381616843,0.0133208539097389
G07__const,0.349935115272992,0.190096008679597
G07__y_easi,-0.0104208422784412,0.0493872372150336
G07__y_easi2,-0.0030153477503179,0.00109219916329437
G07__low_income,-0.121322706004241,0.0835786563531853
G07__elderly_household,0.231531945559104,0.0973778386866341
G07__large_family,-0.0685935353796823,0.114816554431134
G07__z_cpi,-0.00165003314168124,0.00136204635171198
G07__z_covid,-0.0015733650132553,0.000848137620513106
G07__z_holiday,0.00561912507492006,0.000969318803276532
G07__z_temp,-0.00204513645025078,0.00220406231071828
G07__z_precip,-4.83375774457972e-05,0.00073556920191992
G07__z_wholesale,0.00166005302992948,0.00130345850045469
G07__m_02,-0.0323586636642313,0.00223493554660366
G07__m_03,-0.0307885469982744,0.00342461288665834
G07__m_04,-0.0379181422382509,0.00368563291935732
G07__m_05,-0.0437390981562655,0.00484233040195725
G07__m_06,-0.0393721912368427,0.00595861885000502
G07__m_07,-0.0249588721535106,0.00642095221919967
G07__m_08,-0.0219983101638773,0.00624325290968408
G07__m_09,-0.0235264758376571,0.00518007086602273
G07__m_10,-0.0197430918578847,0.00373802715606069
G07__m_11,0.00837520991713381,0.00333497491747281
G07__m_12,0.0272966312525132,0.00277401035856821
G07__yr_2021,0.0144436286939456,0.0035658392191337
G07__yr_2022,0.0172945548204443,0.00367281950802039
G07__mean_y_hh,-0.023900052277419,0.00183219589610846
G07__mn_r_G01,0.142139711888818,0.0323075292406829
G07__mn_r_G02,0.06576211241093,0.0249987581397079
G07__mn_r_G04,-0.0704828371851283,0.0242947057998063
G07__mn_r_G05,0.0301647703645982,0.00940083077435023
G07__mn_r_G06,-0.0406025709974024,0.0127966211257918
G07__mn_r_G07,-0.202952468482,0.0358374886695164
G07__mn_r_G08,0.0663461923980754,0.0166123798533101
G07__mn_r_G09,-0.0272844378751733,0.0232259691148279
G08__const,0.0131442816804498,0.11673836452632
G08__y_easi,-0.178617222740392,0.0256697108051221
G08__y_easi2,-0.00642995224798485,0.000610568962484935
G08__low_income,0.0628628195955627,0.0421688507685913
G08__elderly_household,0.0625948691387978,0.0477330381527858
G08__large_family,-0.0392910435457848,0.057447569948776
G08__z_cpi,-0.00460401246225202,0.000950868444839691
G08__z_covid,-0.00213433144638042,0.000543079556472963
G08__z_holiday,0.0115184972674642,0.000548891343538411
G08__z_temp,-0.00185802266993347,0.001556966697974
G08__z_precip,0.000796177128268418,0.000447384904265984
G08__z_wholesale,-0.0010702363420618,0.000808693832359409
G08__m_02,0.00220173574334023,0.00125526788380894
G08__m_03,0.0309031272025414,0.00211757538753574
G08__m_04,0.0168194945792938,0.0023590660914646
G08__m_05,0.0109471239321249,0.00320389392616358
G08__m_06,0.0115031068990208,0.00400726194020142
G08__m_07,0.0285857123458755,0.0043537534982908
G08__m_08,0.039376517614286,0.00420388239812898
G08__m_09,0.0352756769493294,0.00352035909574358
G08__m_10,0.0204995703085807,0.00242668363529066
G08__m_11,0.028797798623051,0.00213520055558029
G08__m_12,0.0211895431075789,0.00161288916616633
G08__yr_2021,0.0118994704132874,0.0024447649097187
G08__yr_2022,0.0269872704132438,0.00239564047581227
G08__mean_y_hh,0.0299996791483659,0.00117316186980652
G08__mn_r_G01,-0.276048902763805,0.0214650803169146
G08__mn_r_G02,-0.0175461928338849,0.0168555481212188
G08__mn_r_G04,-0.149441021086285,0.0190005903285635
G08__mn_r_G05,0.0842598104664242,0.00612560428703529
G08__mn_r_G06,-0.0985272481353953,0.00862101415165886
G08__mn_r_G07,0.223638676019591,0.0230218125131915
G08__mn_r_G08,0.145311721064355,0.0132396881189003
G08__mn_r_G09,-0.112863378629507,0.0150571284866781
G09__const,0.98822602193531,0.152638051629064
G09__y_easi,-0.296426606917369,0.0369114853859032
G09__y_easi2,0.0299303735714201,0.000646205783422245
G09__low_income,-0.0402303565838157,0.062116682359406
G09__elderly_household,-0.0727236662107324,0.0757713598641469
G09__large_family,-0.235641052079695,0.0836575925720779
G09__z_cpi,0.00554123970107694,0.00127549956480016
G09__z_covid,-0.00984398537549398,0.0007538583844276
G09__z_holiday,0.0174194664959856,0.000841194314680381
G09__z_temp,-0.0018642798038265,0.00189007032403982
G09__z_precip,-0.00489965593546616,0.000656853678867069
G09__z_wholesale,-0.0149876511053907,0.0011596006868357
G09__m_02,0.064090001983527,0.00192457414434304
G09__m_03,0.0416632540172678,0.00304029522788506
G09__m_04,0.0127422942319726,0.0032831278972563
G09__m_05,0.000308752560885232,0.00433926585915057
G09__m_06,0.0120355356142176,0.00535808137509627
G09__m_07,0.023794608603755,0.00578654588551812
G09__m_08,0.0264978831589736,0.0055880047018396
G09__m_09,0.0255194339158368,0.00466090410848773
G09__m_10,-0.0226942876781263,0.00329817827770486
G09__m_11,0.0171505059577317,0.00303154089723501
