term,estimate,wild_cluster_p
bp__p1_1,-0.659295620602599,0
bp__p1_2,0.193381148762939,0.00900900900900901
bp__p2_2,0.227188361663816,0.00500500500500501
bp__p1_3,0.0992741568618608,0.0930930930930931
bp__p2_3,-0.0883812465464327,0.164164164164164
bp__p3_3,0.0127407885429963,0.762762762762763
bp__p1_4,0.0771106458956553,0
bp__p2_4,-0.0367121411958679,0.114114114114114
bp__p3_4,-0.0359115634302768,0.001001001001001
bp__p4_4,-0.0248438443788032,0.103103103103103
bp__p1_5,0.174769126904142,0
bp__p2_5,0.0462670030722865,0.306306306306306
bp__p3_5,-0.0920298696687841,0
bp__p4_5,0.0679300528824464,0
bp__p5_5,-0.0986627554462603,0.01001001001001
bp__p1_6,-0.202174348687824,0.00900900900900901
bp__p2_6,0.03279312372623,0.724724724724725
bp__p3_6,0.0532261794048219,0.587587587587588
bp__p4_6,-0.0047945167691519,0.855855855855856
bp__p5_6,-0.0466140427114752,0.292292292292292
bp__p6_6,0.49910690790158,0
bp__p1_7,0.34247240694591,0
bp__p2_7,-0.094144032490337,0.0910910910910911
bp__p3_7,-0.0385188657720035,0.211211211211211
bp__p4_7,-0.105606486333015,0
bp__p5_7,0.0258443474815435,0.27027027027027
bp__p6_7,-0.138384118506953,0.027027027027027
bp__p7_7,-0.0933290868993242,0.0780780780780781
bp__p1_8,-0.0893316293452037,0.272272272272272
bp__p2_8,-0.381877581822336,0
bp__p3_8,0.141389319112264,0
bp__p4_8,0.18681870779111,0
bp__p5_8,-0.0578247255661864,0.178178178178178
bp__p6_8,-0.116531433483075,0.306306306306306
bp__p7_8,0.150694530200918,0
bp__p8_8,0.0476900855911715,0.692692692692693
cyp__p1_1,0.0967951420511547,0
cyp__p1_2,-0.0267284587432177,0.158158158158158
cyp__p2_2,-0.0295974574874636,0.032032032032032
cyp__p1_3,0.0025613380809614,0.878878878878879
cyp__p2_3,-0.0122539212657234,0.465465465465466
cyp__p3_3,0.00739004727702997,0.576576576576577
cyp__p1_4,-0.0409078763338446,0
cyp__p2_4,0.0119532043791305,0.0660660660660661
cyp__p3_4,0.0153283331146562,0
cyp__p4_4,0.0206921049229878,0
cyp__p1_5,-0.00940665889814829,0.328328328328328
cyp__p2_5,-0.0305868747210108,0
cyp__p3_5,0.0190851041441559,0.018018018018018
cyp__p4_5,-0.0127667240259304,0
cyp__p5_5,0.00548801126753588,0.594594594594595
cyp__p1_6,0.0054095445055606,0.826826826826827
cyp__p2_6,0.00940748491014867,0.644644644644645
cyp__p3_6,-0.0140653104611009,0.595595595595596
cyp__p4_6,0.00399116179611215,0.656656656656657
cyp__p5_6,0.010415460059383,0.396396396396396
cyp__p6_6,-0.0986104674068413,0.00500500500500501
cyp__p1_7,-0.0263345207982879,0.03003003003003
cyp__p2_7,0.0196013474691249,0.0780780780780781
cyp__p3_7,-0.00419994967469728,0.616616616616617
cyp__p4_7,0.0283389368595469,0
cyp__p5_7,-0.00909657162574931,0.0930930930930931
cyp__p6_7,0.0149862790191257,0.452452452452453
cyp__p7_7,0.0250561123022053,0.019019019019019
cyp__p1_8,0.023116387095745,0.318318318318318
cyp__p2_8,0.0646311578597987,0.004004004004004
cyp__p3_8,-0.032787875431781,0.015015015015015
cyp__p4_8,-0.0437199563313369,0
cyp__p5_8,0.01837157594819,0.208208208208208
cyp__p6_8,0.0505155740220327,0.137137137137137
cyp__p7_8,-0.0546177241987431,0
cyp__p8_8,-0.00532950465013484,0.913913913913914
