subgroup,food_group10,expenditure,own_price,n
low_income,G01_主食,1.05594292009342,-1.03163566152794,182410
low_income,G02_食用油,1.2142388179139,-0.781665214061007,182410
low_income,G03_蔬菜,0.598341080956632,-0.820619370101044,182410
low_income,G04_水果,0.886268517340576,-1.07715530840313,182410
low_income,G05_猪肉,1.01993758403583,-0.657942140367607,182410
low_income,G06_禽类及其他肉类,1.0308077233348,-1.14639828083796,182410
low_income,G07_牛羊肉,1.45534914956894,-0.764104396438784,182410
low_income,G08_海鲜,0.969145368081259,-0.917624111284619,182410
low_income,G09_乳制品,0.997204170342806,-1.00611938763236,182410
non_low_income,G01_主食,0.990956552792229,-1.10547865329379,401258
non_low_income,G02_食用油,1.1951215427206,-0.77611887946067,401258
non_low_income,G03_蔬菜,0.708670828732592,-0.816575275545712,401258
non_low_income,G04_水果,0.879708127500369,-1.0795181354154,401258
non_low_income,G05_猪肉,1.02130264841203,-0.636902449449597,401258
non_low_income,G06_禽类及其他肉类,1.03419659614927,-1.16096877120081,401258
non_low_income,G07_牛羊肉,1.42951833513732,-0.734419007873775,401258
non_low_income,G08_海鲜,0.987714003286933,-0.946794063996074,401258
non_low_income,G09_乳制品,0.944416644093957,-1.0006701057396,401258
elderly,G01_主食,1.13177198774741,-0.755828001533558,137581
elderly,G02_食用油,1.17716284015559,-0.7412732624654,137581
elderly,G03_蔬菜,0.511606640868968,-0.8293736380234,137581
elderly,G04_水果,0.905867697550561,-1.10425459183197,137581
elderly,G05_猪肉,1.0056813960858,-0.619141080637826,137581
elderly,G06_禽类及其他肉类,1.03834447682537,-1.09154436828202,137581
elderly,G07_牛羊肉,1.42928389379095,-0.821307171728566,137581
elderly,G08_海鲜,0.938981069293887,-0.868047576738008,137581
elderly,G09_乳制品,1.06056334957193,-1.01081803707181,137581
non_elderly,G01_主食,0.939316744799277,-1.28464475523549,446087
non_elderly,G02_食用油,1.21518361179559,-0.798792288090393,446087
non_elderly,G03_蔬菜,0.766014606958707,-0.81112758430745,446087
non_elderly,G04_水果,0.868627046328639,-1.06436641756895,446087
non_elderly,G05_猪肉,1.03054214968645,-0.660668308999262,446087
non_elderly,G06_禽类及其他肉类,1.03021279386317,-1.19133658959493,446087
non_elderly,G07_牛羊肉,1.44262329534892,-0.70077178548259,446087
non_elderly,G08_海鲜,1.00764643294793,-0.979403583683841,446087
non_elderly,G09_乳制品,0.905636588122683,-0.997714698099983,446087
large_family,G01_主食,0.707900818478437,-1.8581760457144,99142
large_family,G02_食用油,1.19504465447031,-0.80959983596999,99142
large_family,G03_蔬菜,1.11882010954793,-0.828014392760705,99142
large_family,G04_水果,0.796875737022042,-1.04074406792461,99142
large_family,G05_猪肉,1.04064536445831,-0.717776466674597,99142
large_family,G06_禽类及其他肉类,0.998910079594695,-1.26729948890511,99142
large_family,G07_牛羊肉,1.44227586725707,-0.591998677101838,99142
large_family,G08_海鲜,1.03181531556793,-1.06904158115045,99142
large_family,G09_乳制品,0.708763579552183,-0.986060683557477,99142
small_family,G01_主食,1.03982318607341,-1.01371920160851,484526
small_family,G02_食用油,1.20206450326734,-0.774632005831784,484526
small_family,G03_蔬菜,0.617603266722803,-0.816783316495554,484526
small_family,G04_水果,0.889601542810804,-1.08207987614938,484526
small_family,G05_猪肉,1.01871617254119,-0.636656389856175,484526
small_family,G06_禽类及其他肉类,1.03694503587854,-1.14358859416549,484526
small_family,G07_牛羊肉,1.43736068813081,-0.760448714601427,484526
small_family,G08_海鲜,0.977068518068231,-0.924699474228165,484526
small_family,G09_乳制品,0.983055288128311,-1.00384314109256,484526
xq1,G01_主食,0.832073846373459,-2.21773203452136,116749
xq1,G02_食用油,1.61778267033265,-1.06160394005075,116749
xq1,G03_蔬菜,0.79338977360228,-0.846403996546952,116749
xq1,G04_水果,0.849194970136774,-0.954586119994868,116749
xq1,G05_猪肉,1.27011412882096,-0.960505711103134,116749
xq1,G06_禽类及其他肉类,1.25203773124646,-1.51103365963218,116749
xq1,G07_牛羊肉,1.9393612350975,-0.274022614936666,116749
xq1,G08_海鲜,1.44494469484829,-1.39304211289149,116749
