scenario,pgdp_multiplier_vs_2023,pgdp_real_2023_yuan_per_person,pgdp_index_2023_100,model_m_real_2023_yuan_per_person,m_support_flag,u
0.5x_2023_pgdp,0.5,38638.55263989589,50.0,14425.046721331379,in_support,-0.894444176420591
0.75x_2023_pgdp,0.75,57957.828959843835,75.0,19147.10827484516,in_support,-0.31354188344058853
1x_2023_pgdp,1.0,77277.10527979178,100.0,23407.93613216194,in_support,0.02652700040004552
1.25x_2023_pgdp,1.25,96596.38159973972,125.0,27355.659185520864,in_support,0.26608608226056374
1.5x_2023_pgdp,1.5,115915.65791968767,150.0,31070.560551487637,in_support,0.4503123693620865
2x_2023_pgdp,2.0,154554.21055958356,200.0,37984.72785236153,in_support,0.7247995216070291
2.5x_2023_pgdp,2.5,193192.76319947944,250.0,44390.81102738783,in_support,0.9269129495365624
3x_2023_pgdp,3.0,231831.31583937534,300.0,50419.08778736808,extrapolation,1.0864316684292334
