item,group,item_label_cn,kcal_per_kg,protein_g_per_kg,fat_g_per_kg,carb_g_per_kg
grain,grain,主粮,2244.925219924291,68.08997144432652,15.045448980180325,459.2890733313405
oil,oil,食用油,8991.0,0.0,999.0,0.0
vegetable,vegfruit,蔬菜,216.63,13.311000000000002,1.6529999999999998,46.632
fruit,vegfruit,水果,303.4,4.6739999999999995,1.23,77.9
pork,pork,猪肉,3677.2200000000007,122.76,344.1,22.32
beef,meatother,牛肉,1241.46,197.01,41.58,19.8
mutton,meatother,羊肉,2008.71,188.1,139.59,0.0
poultry,meatother,禽肉,1319.3,152.47,74.26,10.27
aquatic,meatother,水产品,758.5000000000001,122.84,24.42,11.84
egg,dairyegg,蛋类,1349.84,125.02,82.72,26.32
milk,dairyegg,奶类,544.0,30.0,32.0,34.0
