"food_category","food_category_label","hhcomp_wald_chisq","hhcomp_wald_p","n","cat","perish","courty","thin","bandwidth"
"danlei","蛋类",18.513326695377,0.000979238067718824,3406,"eggs",3,3,2,2.66666666666667
"doulei","豆类",9.64009800131955,0.0469467959471139,3406,"beans",1,2,2,1.66666666666667
"roulei","肉类和水产品及加工品",5.88332514836936,0.208032706940314,3405,"meat",3,1,1,1.66666666666667
"shucai","蔬菜",13.5345909187363,0.00893862566547665,3403,"veg",3,3,1,2.33333333333333
"shuiguo","水果",12.5737533816741,0.0135576858089271,3404,"fruit",3,2,2,2.33333333333333
"youzhi","油脂",16.2473107355621,0.00270464439853413,3410,"oils",1,2,2,1.66666666666667
"zhushi","主食",4.50984190416318,0.341382079302489,3409,"staple",1,2,1,1.33333333333333
