"analysis","outcome","block","n","n_clusters","r_squared","wald_chisq","wald_df","wald_p"
"A5_wave_split","production_participation","wave_2023",13461,174,0.461314469683522,3.81021412856088,4,0.432299424101926
"A5_wave_split","production_participation","wave_2024",13801,176,0.394641147724704,17.1678188303529,4,0.00179307397862483
"A5_leave_one_province_out","production_participation","exclude_云南省",23664,305,0.395467446093237,12.9940969423421,4,0.0113046733805471
"A5_leave_one_province_out","ihs_selfprod_amount","exclude_云南省",23664,305,0.477601221073684,18.7540790989826,4,0.000878368876729541
"A5_leave_one_province_out","production_participation","exclude_吉林省",24173,310,0.37678582173868,18.9167852124417,4,0.000816088437220586
"A5_leave_one_province_out","ihs_selfprod_amount","exclude_吉林省",24173,310,0.473547899765828,14.9469515470519,4,0.0048125172923178
"A5_leave_one_province_out","production_participation","exclude_四川省",23796,306,0.387942536981125,14.4066922653945,4,0.00610404265673326
"A5_leave_one_province_out","ihs_selfprod_amount","exclude_四川省",23796,306,0.496401522514086,31.5632736055615,4,2.34939769738762e-06
"A5_leave_one_province_out","production_participation","exclude_山东省",23832,305,0.389918040256628,13.8791434896134,4,0.00769093891434136
"A5_leave_one_province_out","ihs_selfprod_amount","exclude_山东省",23832,305,0.504869559837513,22.2413464892754,4,0.00017942366281265
"A5_leave_one_province_out","production_participation","exclude_湖北省",23717,305,0.387368500108748,12.5029976386347,4,0.0139777201046595
"A5_leave_one_province_out","ihs_selfprod_amount","exclude_湖北省",23717,305,0.452094973922467,12.5934076458379,4,0.0134432103397977
"A5_leave_one_province_out","production_participation","exclude_甘肃省",23899,306,0.377684290787795,13.6584017344823,4,0.00846902047991172
"A5_leave_one_province_out","ihs_selfprod_amount","exclude_甘肃省",23899,306,0.474712341675525,16.993843256532,4,0.00193828072841362
"A5_leave_one_province_out","production_participation","exclude_福建省",24070,308,0.406836183015208,9.79182333059294,4,0.044084259280374
"A5_leave_one_province_out","ihs_selfprod_amount","exclude_福建省",24070,308,0.493102369054968,17.536433224852,4,0.00151994261193267
"A5_leave_one_province_out","production_participation","exclude_陕西省",23683,305,0.401152646611894,15.197939858536,4,0.00430780188325131
"A5_leave_one_province_out","ihs_selfprod_amount","exclude_陕西省",23683,305,0.488688222223282,19.3291738396968,4,0.000677122537297348
