"term","estimate","std_error_cluster","t_stat","p_value","analysis","outcome"
"household_size_reconstructed_X_poi_market_friction_lag1",0.00661188618696714,0.00737362541041888,0.89669407095519,0.369882185272569,"A3_market_interactions","ihs_selfprod_amount"
"child_share_X_poi_market_friction_lag1",-0.0374084862782173,0.0480100811134436,-0.779179818293251,0.435873796776686,"A3_market_interactions","ihs_selfprod_amount"
"elderly_share_X_poi_market_friction_lag1",0.00306165355206693,0.0275651595525512,0.111069683679142,0.911561088882853,"A3_market_interactions","ihs_selfprod_amount"
"female_share_X_poi_market_friction_lag1",0.00494099635007895,0.0358158608497656,0.137955537933448,0.890275557056231,"A3_market_interactions","ihs_selfprod_amount"
"household_size_reconstructed_X_market_friction_survey",0.00420428655669673,0.0131824024976654,0.318931739297241,0.749778275661112,"A3_market_interactions","ihs_selfprod_amount"
"child_share_X_market_friction_survey",-0.0870117514149437,0.138215596562468,-0.629536416866079,0.528997935177663,"A3_market_interactions","ihs_selfprod_amount"
"elderly_share_X_market_friction_survey",-0.0636779023198427,0.0369877066740143,-1.72159639095926,0.085142657428232,"A3_market_interactions","ihs_selfprod_amount"
"female_share_X_market_friction_survey",-0.0842989583194743,0.054088107903056,-1.55854884904767,0.119103197664184,"A3_market_interactions","ihs_selfprod_amount"
"household_size_reconstructed_X_poi_market_friction_lag1",0.000492546823703424,0.00186443981745499,0.264179524108085,0.791641588154169,"A3_market_interactions","self_suff_rate"
"child_share_X_poi_market_friction_lag1",-0.0122849196337077,0.0128368855495552,-0.957001570691211,0.338566462219521,"A3_market_interactions","self_suff_rate"
"elderly_share_X_poi_market_friction_lag1",-0.00471004558421949,0.00680445811587763,-0.692199952444265,0.488811768577897,"A3_market_interactions","self_suff_rate"
"female_share_X_poi_market_friction_lag1",0.0233205660023697,0.011410462370505,2.04378799431049,0.0409744957196522,"A3_market_interactions","self_suff_rate"
"household_size_reconstructed_X_market_friction_survey",-0.00110879147522839,0.00326631131316284,-0.339462889149632,0.734261049234118,"A3_market_interactions","self_suff_rate"
"child_share_X_market_friction_survey",-0.0092360293361216,0.0227846597451666,-0.405361740724738,0.685211629477692,"A3_market_interactions","self_suff_rate"
"elderly_share_X_market_friction_survey",-0.00722522795673905,0.0135643991220456,-0.532661114711392,0.594268188324518,"A3_market_interactions","self_suff_rate"
"female_share_X_market_friction_survey",-0.0189617780593224,0.0168864355391798,-1.12289997586095,0.261479977785125,"A3_market_interactions","self_suff_rate"
