province,crop,year,gp_year_mean,gp_grow_mean,gp_pre_mean,gp_cv,gp_yoy,gp_pre_yoy
内蒙古自治,corn,2020,79.31281385281386,77.42015151515153,,0.03423357659006062,,
内蒙古自治,corn,2021,113.10863636363636,119.66297979797982,94.01583333333332,0.1357220928016682,0.42610797510651555,
内蒙古自治,corn,2022,132.8446212121212,134.93565656565656,126.42212121212123,0.03747016688074424,0.17448698422139075,0.34468968395877897
内蒙古自治,corn,2023,133.2964898989899,134.21858585858587,136.74424242424243,0.033574124746563336,0.003401482745373441,0.08164806216786946
内蒙古自治,corn,2024,110.03285353535354,113.37843434343436,113.64310606060606,0.05813902570838117,-0.17452549861789457,-0.16893681192050636
内蒙古自治,corn,2025,107.29752525252526,110.83656565656565,102.9921212121212,0.04459880290875575,-0.024859196094095815,-0.09372310576239151
内蒙古自治,corn,2026,113.21136363636364,113.10090909090908,113.21136363636364,0.015289397486693106,0.05511626078905496,0.09922353578090726
内蒙古自治,soybean,2020,250.14285714285714,250.0,,0.0015109944666274074,,
内蒙古自治,soybean,2021,268.92361111111114,270.09722222222223,260.2291666666667,0.033346670686424704,0.07508011295132944,
内蒙古自治,soybean,2022,297.2111111111111,298.6361111111111,287.375,0.030360903772539506,0.10518786313750783,0.10431510687695122
内蒙古自治,soybean,2023,275.47916666666663,273.4166666666667,292.4583333333333,0.050667953553305514,-0.07311955587124763,0.01768885022473543
内蒙古自治,soybean,2024,228.82916666666668,235.91111111111113,248.9125,0.10315070739385798,-0.16934129925130437,-0.14889585411027206
内蒙古自治,soybean,2025,192.1388888888889,193.33333333333334,187.08333333333334,0.022099176992279757,-0.16033916616592914,-0.2483971944625788
内蒙古自治,soybean,2026,200.5,210.0,200.5,0.0329579843750607,0.0435159751337284,0.07171492204899765
内蒙古自治,wheat,2020,135.3738095238095,134.875,,0.008985170628742392,,
内蒙古自治,wheat,2021,143.14444444444445,142.5,141.51666666666665,0.016753731532301468,0.05740131675372728,
内蒙古自治,wheat,2022,151.95833333333334,151.29166666666666,147.5,0.03377424533076571,0.06157339129084849,0.04228006124131434
内蒙古自治,wheat,2023,160.36249999999998,161.15833333333333,157.75,0.012516003244308961,0.05530573073759237,0.06949152542372872
内蒙古自治,wheat,2024,154.14305555555555,154.26111111111115,162.325,0.05053434195945882,-0.038783658551372224,0.029001584786053858
内蒙古自治,wheat,2025,138.0902777777778,138.01944444444442,140.67916666666667,0.0206669470018685,-0.10414207581341273,-0.13334873453462692
内蒙古自治,wheat,2026,136.8375,137.1,136.8375,0.0012788891933862951,-0.009072164948453754,-0.0273079998815271
吉林,corn,2020,92.44245238095239,89.06004166666666,,0.062126778168301214,,
吉林,corn,2021,122.77319444444446,130.13705555555555,124.85991666666666,0.09630369867184767,0.3281040396732451,
吉林,corn,2022,115.5571111111111,120.44894444444445,107.45979166666666,0.06324708904079625,-0.05877572352814098,-0.13935717293847305
吉林,corn,2023,119.70154166666669,126.28372222222221,117.63979166666667,0.08299797329516333,0.035864781627939823,0.09473310753828468
吉林,corn,2024,98.54502777777778,106.49127777777778,97.93966666666667,0.10495358329704159,-0.1767438714181604,-0.1674614067306449
吉林,corn,2025,92.60065277777778,98.19252777777778,85.635625,0.08116725921171988,-0.06032140975600264,-0.12562878847181425
吉林,corn,2026,96.69027083333333,99.84833333333333,96.69027083333333,0.027722013529274187,0.04416403052114304,0.12908933441349113
吉林,rice_japonica,2020,149.0047619047619,148.0,,0.011788312563878503,,
吉林,rice_japonica,2021,149.48442592592593,150.13518518518518,154.11666666666667,0.030329092483883952,0.0032191187384376097,
吉林,rice_japonica,2022,140.06205555555553,139.65477777777778,138.78755555555554,0.01228636694223273,-0.06303245513375066,-0.09946433077394479
吉林,rice_japonica,2023,149.6583333333334,148.76666666666668,144.84305555555557,0.03445246803958337,0.06851447195826355,0.043631433493877214
吉林,rice_japonica,2024,159.75601851851852,160.07777777777778,163.21944444444443,0.02301847668484967,0.06747158651496266,0.1268710385762366
吉林,rice_japonica,2025,149.69768518518518,149.46111111111114,147.5625,0.014414456544312705,-0.06296059094742279,-0.09592573052638742
吉林,rice_japonica,2026,154.17777777777778,154.23333333333332,154.17777777777778,0.0007206687806283515,0.029927600998308268,0.044830344957409674
吉林,soybean,2020,257.45238095238096,259.1666666666667,,0.019730470042132225,,
吉林,soybean,2021,275.43750000000006,274.1666666666667,266.8958333333333,0.030695415692161748,0.06985804124664763,
吉林,soybean,2022,296.08333333333337,299.5555555555555,296.9583333333333,0.020216889620400857,0.07495650858482716,0.11263757708219502
吉林,soybean,2023,261.5833333333333,263.44444444444446,272.29166666666663,0.049628618371601395,-0.11652124964818478,-0.08306440297460371
吉林,soybean,2024,226.08333333333334,232.33333333333337,234.83333333333334,0.06026182782384711,-0.13571201019432932,-0.13756694720734486
吉林,soybean,2025,196.87499999999997,199.83333333333334,195.91666666666666,0.021319295716704274,-0.129192775525249,-0.16572036905606824
吉林,soybean,2026,202.45833333333331,208.0,202.45833333333331,0.025126034243119617,0.028359788359788363,0.03339004678860058
四川,rice_late_indica,2020,127.02152380952381,122.79391666666666,,0.04481633697825819,,
四川,rice_late_indica,2021,136.86824074074073,137.22375,138.065625,0.010291604849984877,0.0775200661738451,
四川,rice_late_indica,2022,134.1793148148148,133.90029629629632,133.36572222222222,0.00723762509350994,-0.019646091097344942,-0.03404107849276594
