Province,income_group_order,income_group,first_order,substitution,cv_share,annual_food_exp,n_households,cv_yuan_per_year
上海市,1,inc1,0.0782115840399515,-0.0127155535630868,0.0654960304768647,5403.04752688172,43,353.878165488594
上海市,2,inc2,0.0769330821665907,-0.0124573325915396,0.0644757495750511,5390.75379008746,105,347.572891390437
上海市,3,inc3,0.0774353423643298,-0.0118684461110167,0.0655668962533131,5808.96864493997,224,380.876044481528
上海市,4,inc4,0.0792320553748872,-0.0118173157578243,0.067414739617063,6987.55058578133,363,471.063903301504
上海市,5,inc5,0.0795434659712069,-0.0118289231470508,0.0677145428241561,6629.15716124288,801,448.890346483042
云南省,1,inc1,-0.0300002482250529,-0.00927117251453951,-0.0392714207395924,5477.93620127177,243,-215.126337344788
云南省,2,inc2,-0.0291512517634372,-0.00921270401160481,-0.0383639557750421,6010.00063157895,261,-230.56739843787
云南省,3,inc3,-0.0274274884492574,-0.00869767333621062,-0.036125161785468,5472.93963705826,210,-197.71082983083
云南省,4,inc4,-0.02479667671448,-0.00859366550831587,-0.0333903422227959,5895.366786319,193,-196.848314524096
云南省,5,inc5,-0.0224475313553214,-0.00844756853437868,-0.0308950998897001,5749.81137358672,260,-177.640996733896
北京市,1,inc1,-0.0166636771556156,-0.00651982183484788,-0.0231834989904635,6137.92966413868,69,-142.298686172095
北京市,2,inc2,-0.0156355846625608,-0.00642918190530751,-0.0220647665678683,6077.37616071429,156,-134.095886331288
北京市,3,inc3,-0.0137626859507962,-0.0059912386062141,-0.0197539245570103,7152.79698826224,227,-141.295812077743
北京市,4,inc4,-0.0117833209286659,-0.00596661404739606,-0.017749934976062,6255.66511281,348,-111.037648984397
北京市,5,inc5,-0.0096966155798492,-0.00593771000667846,-0.0156343255865277,6607.72960988799,772,-103.307396108728
吉林省,1,inc1,0.0316030595397009,-0.00614186258568307,0.0254611969540178,3199.97478123353,256,81.4751881528769
吉林省,2,inc2,0.031899651526851,-0.0060777898932496,0.0258218616336014,3752.26469458317,207,96.8904597561742
吉林省,3,inc3,0.0333285064756496,-0.00568143325475056,0.0276470732208991,3713.88900699301,176,102.678161310628
吉林省,4,inc4,0.0352344139400284,-0.0055936236407232,0.0296407902993052,3658.44054298643,132,108.439068957137
吉林省,5,inc5,0.0368478823994858,-0.0054838957154332,0.0313639866840526,3678.89826923077,106,115.384916328138
四川省,1,inc1,0.0104458336516796,-0.0114615480944312,-0.0010157144427517,4796.70180428135,528,-4.87207930018169
四川省,2,inc2,0.0113729631563264,-0.0113575985917766,1.53645645498794e-05,5417.8473199949,558,0.0832428648694529
四川省,3,inc3,0.0136283978391124,-0.0107223292478644,0.00290606859124798,5334.41145930441,564,15.5021655946779
四川省,4,inc4,0.0165826139035088,-0.0106238394772097,0.0059587744262991,5637.9409633156,516,33.5952184291891
四川省,5,inc5,0.0196239339068582,-0.0105054137411933,0.00911852016566487,5799.88289447236,573,52.886349131741
天津市,1,inc1,0.0420358211196726,-0.00693120221570112,0.0351046189039715,5628.50124438743,95,197.58639118475
天津市,2,inc2,0.0410613954971223,-0.00678636839292847,0.0342750271041939,6519.4540237691,154,223.454463369232
天津市,3,inc3,0.0418726994603596,-0.00650722645498657,0.035365473005373,6364.46142003982,181,225.082188544156
天津市,4,inc4,0.04328220393276,-0.00644980738109342,0.0368323965516666,6539.59220593493,187,240.868853415183
天津市,5,inc5,0.0448328761361979,-0.00640307021050089,0.038429805925697,6732.88666666667,231,258.743527919713
安徽省,1,inc1,-0.0109187408980518,-0.0103203194878798,-0.0212390603859316,5024.97582089552,229,-106.725764897846
安徽省,2,inc2,-0.0113181246097669,-0.0101510580029158,-0.0214691826126828,5885.93994722955,295,-126.366319574356
安徽省,3,inc3,-0.0103175782533558,-0.00968710222551795,-0.0200046804788738,5999.71502170767,281,-120.022381973561
安徽省,4,inc4,-0.0085043136928102,-0.00959125227132862,-0.0180955659641388,6047.40820709492,272,-109.431274123561
安徽省,5,inc5,-0.00672861070488313,-0.00943460224950885,-0.016163212954392,6424.3698960988,356,-103.83845872843
山东省,1,inc1,0.0128851071935948,-0.00828235203964716,0.0046027551539476,4315.83481160387,412,19.8647309226962
山东省,2,inc2,0.0127636764239435,-0.00815372984303321,0.00460994658091029,4915.17554668305,451,22.6586967060054
山东省,3,inc3,0.0141287856183591,-0.00766403691356298,0.00646474870479612,4862.7617532736,524,31.4365327462076
山东省,4,inc4,0.0161419671879902,-0.00756651176668188,0.00857545542130833,5098.30581412639,528,43.720294233238
山东省,5,inc5,0.0183192670210674,-0.00745721923147693,0.0108620477895905,5182.10043918274,633,56.2882226208608
山西省,1,inc1,0.0306414944101275,-0.0152661268872264,0.0153753675229011,3488.02588936734,197,53.6296799784168
山西省,2,inc2,0.0309595199038735,-0.0151653500294264,0.0157941698744471,3697.07868597669,195,58.3922888055134
山西省,3,inc3,0.0326791797510869,-0.0143194973749825,0.0183596823761043,3653.33366972477,187,67.0740457900744
山西省,4,inc4,0.0359709859205899,-0.0140833471137407,0.0218876388068492,3695.81575572519,158,80.8926803579755
山西省,5,inc5,0.0389202454816766,-0.0137126697524443,0.0252075757292323,3781.6026993865,117,95.3250364226544
广东省,1,inc1,0.0319296830456397,-0.0131568623648056,0.0187728206808341,4670.28117102216,433,87.6743509526752
广东省,2,inc2,0.0317110620963137,-0.0128941397420978,0.0188169223542159,5559.72703893122,763,104.616952002204
广东省,3,inc3,0.0340919718343024,-0.0122910614804841,0.0218009103538182,5795.4056019656,834,126.345117992468
广东省,4,inc4,0.0364650186536373,-0.0122688251804038,0.0241961934732335,6121.30452095601,1093,148.11226849763
广东省,5,inc5,0.0394187094868194,-0.0122741922849324,0.027144517201887,6883.71424743189,1876,186.855099802289
广西壮族自治区,1,inc1,0.00733908659325632,-0.0148995607980362,-0.00756047420477986,5398.99799495939,246,-40.8189850725487
广西壮族自治区,2,inc2,0.0061386552874359,-0.0146322047943867,-0.0084935495069508,5259.13920430751,249,-44.6687591957317
广西壮族自治区,3,inc3,0.00686405306452862,-0.0138310982914112,-0.00696704522688258,6825.12155963303,197,-47.5509305849347
广西壮族自治区,4,inc4,0.0088572152516084,-0.0135902223076776,-0.00473300705606919,6525.3062665066,186,-30.8843206023882
广西壮族自治区,5,inc5,0.0102105714942088,-0.0132760411283381,-0.00306546963412931,6350.77315892012,261,-19.4681022719131
江苏省,1,inc1,0.0527301161094979,-0.0111834329509846,0.0415466831585133,4494.14874489796,328,186.716973971506
江苏省,2,inc2,0.0524569850602257,-0.0110136994371861,0.0414432856230396,5287.98371756399,475,219.151419576987
江苏省,3,inc3,0.0533614033907681,-0.0104538251156138,0.0429075782751543,5518.77502871644,579,236.797271527618
江苏省,4,inc4,0.0556201883611227,-0.0103331266676751,0.0452870616934476,4910.19809080797,750,222.368443865469
江苏省,5,inc5,0.0578551920501756,-0.0101660928153926,0.047689099234783,5281.52684858994,1265,251.871257993577
江西省,1,inc1,0.0209819449406033,-0.0155535289439069,0.00542841599669633,6403.2367180417,165,34.7594326308509
