Province,food_group10,lp_2020,lp_2022,dlnp
上海市,G01_主食,1.00725611116237,0.934670600046315,-0.0725855111160559
上海市,G02_食用油,4.18781330234246,4.46022125960527,0.272407957262808
上海市,G03_蔬菜,1.36340515790938,1.66540452063225,0.301999362722865
上海市,G04_水果,1.49201075788945,1.70238909427105,0.210378336381595
上海市,G05_猪肉,3.4713083732546,3.13065455871041,-0.340653814544194
上海市,G06_禽类及其他肉类,2.71363996324402,2.78876166001281,0.0751216967687896
上海市,G07_牛羊肉,3.77918930887092,3.81208219005511,0.0328928811841913
上海市,G08_海鲜,2.8089234886946,2.99300360234453,0.184080113649935
上海市,G09_乳制品,1.78641682055482,1.84220052947834,0.0557837089235214
云南省,G01_主食,1.05483225095335,1.03571352641158,-0.019118724541775
云南省,G02_食用油,4.34913838623877,4.48875318216577,0.139614795927007
云南省,G03_蔬菜,1.17050588570642,1.21410293800707,0.0435970523006506
云南省,G04_水果,1.39164042468584,1.41368572749453,0.0220453028086884
云南省,G05_猪肉,3.32731127083024,2.87572364948138,-0.451587621348859
云南省,G06_禽类及其他肉类,2.67761337589861,2.66114477110997,-0.0164686047886469
云南省,G07_牛羊肉,3.72238839144191,3.77556754239848,0.0531791509565647
云南省,G08_海鲜,2.56539857957419,2.64272936690865,0.0773307873344638
云南省,G09_乳制品,1.88150299801331,1.89554397931974,0.0140409813064284
北京市,G01_主食,1.00516871804581,1.06395054162083,0.0587818235750255
北京市,G02_食用油,4.42468234504719,4.5574669386705,0.132784593623308
北京市,G03_蔬菜,1.13332368304282,1.20513153113345,0.0718078480906297
北京市,G04_水果,1.50539485857846,1.48149199972298,-0.0239028588554791
北京市,G05_猪肉,3.54051099558465,3.13063602781726,-0.409874967767387
北京市,G06_禽类及其他肉类,2.82154459442358,2.8292994666046,0.00775487218102722
北京市,G07_牛羊肉,3.76186303486719,3.78598062828097,0.0241175934137825
北京市,G08_海鲜,2.75179801078319,2.81733242796669,0.0655344171834922
北京市,G09_乳制品,1.68872639917866,1.74003483002086,0.0513084308421932
吉林省,G01_主食,0.946337339681387,0.977329117847418,0.0309917781660305
吉林省,G02_食用油,4.48522736526859,4.60513123541163,0.119903870143038
吉林省,G03_蔬菜,1.25063490690147,1.39673293770242,0.146098030800949
吉林省,G04_水果,1.55495217837709,1.62893752321612,0.0739853448390282
吉林省,G05_猪肉,3.34207656773404,3.00925469328948,-0.332821874444558
