variant,model,group,group_label_cn,items,rmse_x,mae_x,mean_x,relative_rmse
baseline_real_national_nonfood,AIDADS_sat,grain,粮食/主粮,grain,0.07746397707322014,0.0538615740657915,0.4122865722827164,0.18788867326996264
baseline_real_national_nonfood,AIDADS_sat,oil,食用油,oil,0.031341886430990486,0.02531551875918351,0.1273417792799735,0.24612414408064964
baseline_real_national_nonfood,AIDADS_sat,vegfruit,蔬菜水果,vegetable+fruit,0.010862553623110938,0.008025085085733697,0.05164737289379987,0.21032151326355186
baseline_real_national_nonfood,AIDADS_sat,pork,猪肉,pork,0.04441829677819377,0.036182747117523596,0.105900420411937,0.4194345650887235
baseline_real_national_nonfood,AIDADS_sat,aquatic,水产品,aquatic,0.007277967036131347,0.005615263603489233,0.01225390821163058,0.5939302719130533
baseline_real_national_nonfood,AIDADS_sat,othermeat,其他肉类(牛羊禽),beef+mutton+poultry,0.013220225873430089,0.010649614403014167,0.029024922967420017,0.4554784137849244
baseline_real_national_nonfood,AIDADS_sat,dairyegg,奶蛋类,milk+egg,0.008931934262587824,0.007227690031903067,0.030014386789327437,0.2975884306843095
baseline_real_national_nonfood,AIDADS_sat,nonfood,其他/未覆盖支出,,3.5518036389954335,2.873312934279218,683.8424023508793,0.005193892082130649
baseline_real_national_nonfood,MAIDADS_sat,grain,粮食/主粮,grain,0.07000846755269462,0.04927021540357149,0.4122865722827164,0.1698053544772927
baseline_real_national_nonfood,MAIDADS_sat,oil,食用油,oil,0.031081082241766513,0.025473598588691252,0.1273417792799735,0.24407607948866236
baseline_real_national_nonfood,MAIDADS_sat,vegfruit,蔬菜水果,vegetable+fruit,0.010031858822107194,0.0076696415080994215,0.05164737289379987,0.19423754317059352
baseline_real_national_nonfood,MAIDADS_sat,pork,猪肉,pork,0.04352003439389424,0.035010238168026196,0.105900420411937,0.4109524232728042
baseline_real_national_nonfood,MAIDADS_sat,aquatic,水产品,aquatic,0.007125941269299711,0.005573747491200442,0.01225390821163058,0.5815239633128841
baseline_real_national_nonfood,MAIDADS_sat,othermeat,其他肉类(牛羊禽),beef+mutton+poultry,0.013126590872817239,0.010497359103398472,0.029024922967420017,0.45225239314335525
baseline_real_national_nonfood,MAIDADS_sat,dairyegg,奶蛋类,milk+egg,0.008866423241625442,0.007263693685394171,0.030014386789327437,0.2954057766983325
baseline_real_national_nonfood,MAIDADS_sat,nonfood,其他/未覆盖支出,,3.556139712777111,2.8804965665314826,683.8424023508793,0.005200232832231508
