draw,success,nll,message,elapsed_seconds,n_sampled_provinces,n_unique_sampled_provinces
1,True,-3544.7056672436506,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.31530475616455,31,20
2,True,-3807.938777060506,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14.93519115447998,31,17
3,True,-3687.946337193885,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8.744597911834717,31,21
4,True,-4005.2833395749462,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,47.59723901748657,31,19
5,False,-3659.928778861333,ABNORMAL: ,40.63899087905884,31,23
6,True,-3561.9355471894987,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,18.732861280441284,31,22
7,True,-4104.283047440271,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,65.20847988128662,31,19
8,True,-3641.682397047212,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10.37927222251892,31,22
9,True,-3636.948744287058,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.39948296546936,31,19
10,True,-3677.894558407113,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10.124812126159668,31,19
11,True,-3627.578351307616,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10.849189043045044,31,20
12,True,-3944.5727878081934,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,32.51731610298157,31,20
13,True,-3653.422400630592,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,21.896081924438477,31,18
14,True,-3728.761548367717,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,21.927315950393677,31,19
15,True,-3538.737822391242,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11.18857765197754,31,21
16,True,-3848.125080406111,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,74.69460916519165,31,19
17,True,-3657.417533745972,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,16.8103768825531,31,18
18,True,-3465.0144355164275,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11.886479139328005,31,19
19,True,-3720.6644457932,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,18.050673961639404,31,21
20,True,-3551.3727297549226,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.608722925186155,31,21
21,False,-3524.0471874060727,ABNORMAL: ,38.53629803657532,31,19
22,False,-3805.270014095188,ABNORMAL: ,59.830790758132935,31,18
23,True,-3537.991921139028,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.364620923995972,31,22
24,False,-3536.5658483097513,ABNORMAL: ,38.969120025634766,31,17
25,True,-3906.772554076651,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,102.9706048965454,31,20
26,True,-3413.2663187117955,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.951349020004272,31,18
27,True,-3470.7942118306555,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,55.82319498062134,31,19
28,True,-3393.854344358427,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,18.11910820007324,31,19
29,True,-3557.2452409739353,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.616274118423462,31,17
30,True,-3995.625351203713,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,36.292365074157715,31,18
31,True,-3771.5318242746553,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,63.69385814666748,31,21
32,True,-4131.175142467411,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,45.693206787109375,31,18
33,True,-3896.906569905484,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,82.66713690757751,31,20
34,True,-3581.403445759953,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,16.589691877365112,31,20
35,True,-3702.785101103032,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,29.21701693534851,31,17
36,True,-3548.850155936086,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20.877077102661133,31,20
37,True,-3713.7479954786736,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,16.101359128952026,31,19
38,True,-3832.7527562252394,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,73.34676122665405,31,20
39,True,-3472.2483774616144,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.718505859375,31,22
40,True,-3541.9256949491432,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15.900073051452637,31,20
41,True,-3441.0879389127317,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15.157555103302002,31,20
42,True,-3824.544705894823,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,189.9400098323822,31,21
43,True,-3821.453369381397,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,60.18687391281128,31,20
44,True,-3553.713362283775,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,21.057300090789795,31,22
45,True,-3588.890888244848,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.677643060684204,31,20
46,True,-3586.0083554201447,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11.807215690612791,31,19
47,False,-3942.496456505771,ABNORMAL: ,47.798622131347656,31,21
48,True,-3923.0864382298,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,19.44230079650879,31,20
49,True,-3954.827314123128,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,43.123958110809326,31,18
50,True,-3507.759531698115,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.305967092514038,31,16
51,True,-3792.442730373108,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,89.40781497955322,31,19
52,True,-3555.9579838292243,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,16.623664140701294,31,19
53,True,-3558.7479786927443,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15.223122835159302,31,20
54,True,-3702.251780196572,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14.066529035568236,31,19
55,True,-4026.3353991495214,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,97.32813906669617,31,17
56,True,-3948.406569333969,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,36.29258918762207,31,19
57,True,-3704.3422762049017,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,17.48281192779541,31,21
58,True,-3632.1536746675984,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,19.628708839416504,31,24
59,True,-3697.078318422422,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,16.903335332870483,31,18
60,True,-3556.935500731368,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.832853078842165,31,19
61,True,-3511.9427383567795,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,16.77495503425598,31,20
62,True,-3833.583607987449,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,66.90821886062622,31,21
63,True,-3809.302112788016,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,205.98536586761475,31,18
64,True,-4010.598371968782,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,78.2972092628479,31,18
65,True,-3587.9644687815116,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.225802659988403,31,19
66,True,-3661.042753650293,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,23.68414330482483,31,17
67,False,-3871.3536423030514,ABNORMAL: ,59.70648503303528,31,19
68,True,-3699.8741115424127,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,18.52134704589844,31,20
69,True,-3912.935498525694,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,72.88961791992188,31,19
70,True,-3463.579394706333,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,18.620299100875854,31,20
71,True,-3908.650284547379,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,73.4165689945221,31,20
72,True,-3686.2961025894383,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,16.930694818496704,31,20
73,True,-3497.177934461345,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15.805563926696776,31,22
74,True,-3836.2859260782575,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,21.62714695930481,31,18
75,True,-3751.2915022290185,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,70.36237025260925,31,19
76,True,-3997.7015017991266,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,68.8020670413971,31,17
77,True,-4131.299741608704,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,68.75465106964111,31,17
78,True,-3598.5238771645304,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.92359209060669,31,22
79,True,-3967.1023948054976,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,54.982961893081665,31,20
80,True,-3636.8896684807073,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,43.3325400352478,31,20
81,True,-3610.254247387789,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15.565516948699951,31,21
82,True,-3672.788688464764,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,16.95326805114746,31,20
83,True,-3613.8926769204695,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,55.02225828170776,31,19
84,True,-3940.9170140440074,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,53.60433197021485,31,20
85,True,-3878.9194623762783,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,58.69528532028198,31,21
86,False,-3678.454215318728,ABNORMAL: ,30.277454137802124,31,19
87,False,-3573.6251679492284,ABNORMAL: ,28.1723849773407,31,21
88,True,-3558.48226294668,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,19.427912950515747,31,24
89,True,-3733.3212221908257,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,16.647032976150513,31,18
90,True,-4076.098883394859,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,158.0280261039734,31,19
91,True,-3922.93864291188,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,56.253787994384766,31,19
92,True,-3455.190463020492,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11.904587984085085,31,22
93,True,-3644.5761292081984,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33.96885013580322,31,22
94,True,-3787.786727944938,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.67850399017334,31,17
95,True,-3615.818819152408,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,21.637691020965576,31,18
96,True,-3784.587511645412,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,104.98653507232666,31,19
97,True,-3585.037362872919,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,45.649595975875854,31,18
98,True,-3558.757810545929,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.50102710723877,31,23
99,True,-3761.725013969448,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20.09914803504944,31,20
100,False,-3468.2511283501817,ABNORMAL: ,41.0448477268219,31,20
101,True,-3880.6718239882457,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,29.97704005241394,31,19
102,True,-4024.709435311321,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,62.2262589931488,31,20
103,True,-3561.3842878407563,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.88364291191101,31,19
104,True,-3651.371415777024,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.405578136444092,31,19
105,True,-3577.5190694284843,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,27.157690048217773,31,21
106,True,-3731.9587614883135,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,26.363253831863403,31,19
107,True,-3692.253524657048,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,17.826562643051147,31,18
108,False,-3882.136603944852,ABNORMAL: ,90.6556839942932,31,20
109,True,-3632.658034159306,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15.54619812965393,31,17
110,True,-3710.642008783934,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,43.153226137161255,31,19
111,True,-3912.5696771611606,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,71.46518564224243,31,16
112,True,-3705.3325914204192,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15.487398862838743,31,19
113,True,-3462.678325586375,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,19.21728515625,31,18
114,True,-3850.511205887844,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,27.132659912109375,31,22
115,True,-3469.5783121663544,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,19.963211059570312,31,21
116,True,-3816.659075507609,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,94.18115091323853,31,20
117,True,-3501.740765705348,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,25.686527967453003,31,21
