model,n_nonpositive_eig,max_eig,min_eig,negative_semidefinite_full,eigenvalues
constrained_sy_easi,6,0.15025797765942,-0.24590779754405,FALSE,0.1503; 0.1044; 0.0334; 0.0008; -0.0462; -0.0667; -0.0950; -0.1086; -0.1801; -0.2459
constrained_sy_quaids,6,0.147436393029209,-0.245935930975148,FALSE,0.1474; 0.1020; 0.0336; 0.0008; -0.0466; -0.0671; -0.0963; -0.1089; -0.1801; -0.2459
