demand_group,G01_主食,G02_食用油,G03_蔬菜,G04_水果,G05_猪肉,G06_禽类及其他肉类,G07_牛羊肉,G08_海鲜,G09_乳制品,G10_坚果
G01_主食,-0.348081103892365,-0.457249378101286,0.0992015762767672,0.142406384805663,-0.0804094199149895,0.0736842401990311,0.518899256707924,-0.228012250702121,-0.858836162169221,0.601858573047771
G02_食用油,-0.2833960506057,0.447713933981715,-0.189479236482578,-0.0120923235492307,-0.101856491909982,-0.330632451258318,0.808746916993067,0.0978546765705836,0.227942042977608,-0.875553740343996
G03_蔬菜,0.0741835310328067,-0.38790663271789,-1.04108419282814,-0.0279819252476975,0.151604962156777,0.231364772469354,-0.5351902123866,0.137321992454808,0.133624907544763,0.497308479229866
G04_水果,0.0551551081140497,-0.111343009812959,-0.0656038953850018,-1.06399037599056,-0.0497942189917798,-0.353401728412575,0.145167086915098,0.0405101784760423,-0.310522154421315,0.776183585785986
G05_猪肉,-0.0709389097576462,-0.209872833568055,0.100473294804939,-0.00545247778954104,-0.702522252305098,-0.0289344046455112,-0.111495262319049,0.0484477938833414,-0.155667361416827,0.204265868709394
G06_禽类及其他肉类,0.0999026027748992,-0.576270351026107,0.352198629731997,-0.413354054091346,-0.0121405894261398,0.730949059607997,-0.414179552237919,-0.658995563000331,0.118375106902458,-0.00214555957193816
G07_牛羊肉,0.366847618230575,0.648430943981721,-0.361773576124208,0.157561260741467,-0.0910749096120059,-0.280321896258616,-1.26172135168151,-0.015713488710204,-0.0341552428452356,-0.0606156626812968
G08_海鲜,-0.190747275771398,0.0373187363061366,0.146030781763627,0.128940650716108,0.100496733342036,-0.502914502335934,-0.00147528583220072,-0.379602900874603,0.0404183259006923,-0.18160657198507
G09_乳制品,-0.494831145777371,0.0889491956364745,0.120012328746668,-0.178366221022105,-0.0820995736216224,0.0624304793638184,-0.00687752958143654,0.0648561454667175,0.170521183171073,-0.356536323950381
G10_坚果,0.432986780220796,-0.604066292442857,-0.294731994241165,0.790232033979547,-0.590008924396297,0.173139702223155,0.19222287554491,-1.2370422299802,-2.20527022225539,-3.68992566752061
