LA,N,age,female,fgds10,fvs,dbi_variety,is_cook,is_buyer,home_eating_days
cohabit_nonelder,477,70.0524109014675,0.491596638655462,2.37526205450734,3.54716981132076,-11.8763102725367,0.339055793991416,0.286324786324786,21.9685393258427
elder_only_multi,651,66.7588325652842,0.492307692307692,2.57142857142857,4.01075268817204,-11.6866359447005,0.592592592592593,0.608628659476117,19.3191489361702
threegen,351,67.5242165242165,0.485714285714286,2.61823361823362,3.76068376068376,-11.7948717948718,0.376436781609195,0.339080459770115,19.2296072507553
elder_alone,68,66.3088235294118,0.441176470588235,3.48529411764706,6.52941176470588,-11.6617647058824,1,1,25.3870967741936
elder_child,84,64.4642857142857,0.55952380952381,2.52380952380952,3.8452380952381,-11.7738095238095,0.619047619047619,0.642857142857143,21.3292682926829
other,52,65.6923076923077,0.372549019607843,2.69230769230769,3.94230769230769,-11.8846153846154,0.44,0.5,23.6
