term,est,se,t,p,n,outcome
elder,-0.241987498720511,0.0858741352892943,-2.81793229015116,0.00518025433938224,1594,fgds10
elder:threegen,0.17786288666605,0.134531684678489,1.32208919475821,0.187225223463664,1594,fgds10
elder,-0.441645820296888,0.145546191962566,-3.03440312894258,0.00263821915884293,1594,fvs_unique_foods
elder:threegen,0.237664187835341,0.211586256216033,1.12324964809,0.262300555288389,1594,fvs_unique_foods
elder,-0.0931244185642727,0.0272864779798152,-3.41284128472573,0.000738540155749563,1594,dbi16_variety_subscore
elder:threegen,0.117295965319974,0.0363906728827467,3.22324255168104,0.00141849569285246,1594,dbi16_variety_subscore
elder,0.0241818371648133,0.0324877201330471,0.74433777026462,0.457300863356357,1594,any_animal
elder:threegen,-0.0223893550394707,0.0500929535075956,-0.446956177899869,0.655254707116422,1594,any_animal
elder,-0.016412313338624,0.0298284484877661,-0.550223500406178,0.582607900855006,1594,any_deb
elder:threegen,0.0212327565931155,0.0464797040769113,0.456817809295451,0.648158736018275,1594,any_deb
elder,0.0739806785781875,0.0180260591463075,4.10409607434035,5.33887264503707e-05,1582,qual_protein_share
elder:threegen,-0.0657706576856316,0.0306433130271252,-2.14632985759118,0.0327121644773162,1582,qual_protein_share
