arrangement,phi1,se,p
cohabit_nonelder,0.425456763952697,0.0470794647313558,1.61041601810267e-19
elder_only_multi,0.472793652423385,0.0267475962597703,6.40585042165372e-70
threegen,0.319695486056029,0.0473280666095344,1.42951950816723e-11
elder_alone,0.695775965710873,0.0447352149941932,1.51339180681612e-54
elder_child,0.409291621158657,0.0757280467862879,6.48966464654589e-08
other,0.405886340542557,0.156252941610858,0.00938713089953171
