k_pp_decade,d_elder_fgds_med,lo95,hi95,p_worse_than_zero
4,-0.0163748421870573,-0.0292201288248272,-0.00772068995332902,1
6,-0.0247651713947108,-0.0425884947049113,-0.0115199337245984,1
8,-0.0331984251642025,-0.0572765091530362,-0.0154479192380485,1
