term,est,se,t,p,n,outcome
LAelder_only_multi,-0.0321877551362879,0.0204318367501785,-1.57537256830357,0.116081708767576,1234,consumes_dairy
LAthreegen,0.00311514936662875,0.0203622239374325,0.15298669615857,0.878497688839707,1234,consumes_dairy
LAelder_alone,-0.00450917107609478,0.032272375327872,-0.13972231762564,0.888960453979387,1234,consumes_dairy
LAelder_child,0.0937492241499063,0.0292393396549793,3.20627022552957,0.00146965327362288,1234,consumes_dairy
LAother,-0.0262405114647267,0.0571718094982157,-0.458976402794207,0.646538475024391,1234,consumes_dairy
LAelder_only_multi,-0.00887915720594925,0.00503143455116391,-1.76473669997262,0.0784876885400445,1234,consumes_bean
LAthreegen,0.00384091505883302,0.00248080543290317,1.54825324384193,0.122472852672603,1234,consumes_bean
LAelder_alone,0.0029164094742352,0.00341947006875224,0.852883463109064,0.394312238715853,1234,consumes_bean
LAelder_child,0.00193368539726358,0.00284293698260081,0.680171741089589,0.496849259926626,1234,consumes_bean
LAother,0.0014734828344558,0.00239477482608555,0.61529076487927,0.538766024724359,1234,consumes_bean
LAelder_only_multi,0.109978912802809,0.0433300441132044,2.5381675706463,0.0115801351781587,1234,low_hdds
LAthreegen,-0.115066287715299,0.0313701492148483,-3.66801850151337,0.000282782164252123,1234,low_hdds
LAelder_alone,0.128520639868704,0.0688938459894299,1.86548795502609,0.0629567364711966,1234,low_hdds
LAelder_child,0.0166942702590958,0.0777996396059641,0.214580303246237,0.830220598193063,1234,low_hdds
LAother,-0.120827785652836,0.0648133507898884,-1.86424223065607,0.0631319086879954,1234,low_hdds
