term,est,se_crve,t_crve,p_crve,p_wcb,n_clusters,B,spec
treat,0.54688164460256,0.129165857562377,4.23394893142299,3.04825813538105e-05,0.001,304,999,A-line three-gen HDDS (county-year FE)
elder,-0.293527776886402,0.0865921128374654,-3.38977497220051,0.000800838983032013,0.001,279,999,B-line elder gap (household FE)
elder:threegen,0.214617759115337,0.135377534071207,1.5853277324615,0.114028706272699,0.113,279,999,B-line three-gen interaction (household FE)
