stratum,est,se,p,n,n_households
elder reports chronic disease,-0.228607527537914,0.100111040391023,0.023580173437027,736,255
elder reports no chronic disease,-0.187683031973561,0.0953713922759458,0.0505098402345092,858,302
elder self-rated health worse than best,-0.242762187670531,0.102236162088134,0.0186121734237425,772,268
elder self-rated health = best code,-0.167459648888243,0.0982145421777873,0.0898566567131041,822,289
