term,est,se,t,p,n,outcome,spec,p_bh_fdr
LAelder_only_multi,0.00242145225956443,0.0079099718087966,0.306126534720587,0.759691890166104,1234,share_dairy_egg_bean,OLS,0.876567565576274
LAthreegen,0.0206321957883888,0.0075457230865082,2.73429008086439,0.00657222708505912,1234,share_dairy_egg_bean,OLS,0.0985834062758868
LAelder_alone,-0.0103711273270169,0.0085348306766243,-1.21515326079309,0.225133797267112,1234,share_dairy_egg_bean,OLS,0.876567565576274
LAelder_child,0.0222219505176887,0.0136661576801698,1.62605693844245,0.104845324595424,1234,share_dairy_egg_bean,OLS,0.786339934465681
LAother,0.00788549974850257,0.0150210837303167,0.524962105935636,0.599944766928688,1234,share_dairy_egg_bean,OLS,0.876567565576274
LAelder_only_multi,0.0353090792612915,0.0915173981148998,0.385818215864934,0.699631303566165,1234,share_dairy_egg_bean,frac_logit,0.876567565576274
LAthreegen,0.233652667620449,0.0837499493003542,2.78988428736232,0.0052726882175095,1234,share_dairy_egg_bean,frac_logit,0.0985834062758868
LAelder_alone,-0.129465832396589,0.110458345290498,-1.1720783255996,0.241165610986876,1234,share_dairy_egg_bean,frac_logit,0.876567565576274
LAelder_child,0.260522780258573,0.150303759671547,1.73330847363954,0.0830408554721941,1234,share_dairy_egg_bean,frac_logit,0.786339934465681
LAother,0.0891295594567297,0.17013059306632,0.523889077504041,0.600355692166273,1234,share_dairy_egg_bean,frac_logit,0.876567565576274
LAelder_only_multi,0.0032090535655658,0.00981168598026409,0.32706443846865,0.743816354349385,1234,share_animal,OLS,0.876567565576274
LAthreegen,0.00299978199465334,0.0086376384959896,0.347291912719676,0.728582567111909,1234,share_animal,OLS,0.876567565576274
LAelder_alone,-0.0126306458494436,0.0176293494864403,-0.716455582161925,0.474191990594024,1234,share_animal,OLS,0.876567565576274
LAelder_child,0.0197871754725655,0.0218781501497304,0.904426349446613,0.366396851693603,1234,share_animal,OLS,0.876567565576274
LAother,0.00178680710276657,0.0161256875988648,0.110805017882918,0.911835025919683,1234,share_animal,OLS,0.929405790402377
LAelder_only_multi,0.0265843261373944,0.0756498369546192,0.351412867596024,0.725278630272929,1234,share_animal,frac_logit,0.876567565576274
LAthreegen,0.0243134299284785,0.0672752496756267,0.361402299444562,0.717798729293281,1234,share_animal,frac_logit,0.876567565576274
LAelder_alone,-0.101792066119033,0.145381417621302,-0.700172468975279,0.483819602716304,1234,share_animal,frac_logit,0.876567565576274
LAelder_child,0.148167566822695,0.154793026636535,0.957197943875106,0.33846735467955,1234,share_animal,frac_logit,0.876567565576274
LAother,0.0112622115080664,0.127123796782291,0.0885924727952691,0.929405790402377,1234,share_animal,frac_logit,0.929405790402377
LAelder_only_multi,-0.00272620641632012,0.0154852950255598,-0.176051306211492,0.860356331738286,1234,share_fruit_veg,OLS,0.926246750193051
LAthreegen,-0.00758136007909044,0.0133407967843153,-0.56828390400218,0.570209763243502,1234,share_fruit_veg,OLS,0.876567565576274
LAelder_alone,0.0112140333197836,0.0271297644223814,0.4133479799232,0.679607003807314,1234,share_fruit_veg,OLS,0.876567565576274
LAelder_child,-0.034031010800597,0.0279694299490191,-1.21672164440343,0.224537057164595,1234,share_fruit_veg,OLS,0.876567565576274
LAother,-0.0188787436526323,0.0242036584137141,-0.779995458948278,0.435925246786396,1234,share_fruit_veg,OLS,0.876567565576274
LAelder_only_multi,-0.0114113740224241,0.0668690466558413,-0.170652560386507,0.864496966846848,1234,share_fruit_veg,frac_logit,0.926246750193051
LAthreegen,-0.0324121516604972,0.0569724162879962,-0.568909549081671,0.569417524681962,1234,share_fruit_veg,frac_logit,0.876567565576274
LAelder_alone,0.0474813442433866,0.114624532921031,0.414233698785044,0.678702964544816,1234,share_fruit_veg,frac_logit,0.876567565576274
LAelder_child,-0.147064368845596,0.123099260964727,-1.19468116780763,0.232211623008277,1234,share_fruit_veg,frac_logit,0.876567565576274
LAother,-0.0818150771182838,0.104605340399943,-0.782130977304565,0.434137603301364,1234,share_fruit_veg,frac_logit,0.876567565576274
