term,est,se,ci_lo,ci_hi,mde_80
elder,-0.241987498720511,0.0858741352892943,-0.410300803887528,-0.0736741935534946,0.240447578810024
elder:threegen,0.17786288666605,0.134531684678489,-0.0858192153037893,0.441544988635889,0.37668871709977
