term,est,se,t,p,n,model
LAelder_only_multi,-0.422689252737806,0.143394571767023,-2.94773538167513,0.00341784055934586,1234,year_FE
LAthreegen,0.533264041866582,0.117289158010799,4.54657575270073,7.54326457695578e-06,1234,year_FE
LAelder_alone,-0.31076293570209,0.229181837969128,-1.35596667893008,0.175991503873009,1234,year_FE
LAelder_child,-0.0640999662314078,0.253904894591088,-0.252456599289432,0.80083763072582,1234,year_FE
LAother,0.292719853520483,0.230910146459512,1.26767861009437,0.205762731229232,1234,year_FE
LAelder_only_multi,-0.396492515561602,0.14333580474184,-2.76617915722954,0.00597534009806937,1234,prov_year_FE
LAthreegen,0.529247233410553,0.11595554486621,4.56422531601401,6.96877889916981e-06,1234,prov_year_FE
LAelder_alone,-0.331090738140657,0.227836834064428,-1.45319232291926,0.147074093411425,1234,prov_year_FE
LAelder_child,-0.0250962422834285,0.252522866650692,-0.0993820584103517,0.92089231595595,1234,prov_year_FE
LAother,0.386598615464547,0.225426028885467,1.71496884089178,0.0872437167315962,1234,prov_year_FE
LAelder_only_multi,-0.369048652462018,0.146253599736627,-2.52334748085928,0.0120704064907037,1234,county_year_FE
LAthreegen,0.519263772262969,0.123392001387531,4.20824499500697,3.28134764508995e-05,1234,county_year_FE
LAelder_alone,-0.283496681160853,0.241987825980021,-1.17153282406966,0.242188458450805,1234,county_year_FE
LAelder_child,0.085201109880052,0.27589909833412,0.308812570952557,0.757649428102633,1234,county_year_FE
LAother,0.391778749493306,0.23069262144824,1.69827169605079,0.0903529310725938,1234,county_year_FE
LAelder_only_multi,-0.318102137888751,0.147318463610311,-2.1592822114287,0.0315251620028761,1210,county_year_FE_env
LAthreegen,0.515531059551992,0.124919125174122,4.12691858699303,4.62598442707271e-05,1210,county_year_FE_env
LAelder_alone,-0.26135905677654,0.240266788658941,-1.08778686490683,0.277457452415636,1210,county_year_FE_env
LAelder_child,0.106590310832517,0.282157701441,0.377768568031823,0.705837553226527,1210,county_year_FE_env
LAother,0.394066684868387,0.232136187027682,1.6975668029793,0.0905019094897612,1210,county_year_FE_env
LAelder_only_multi,-0.283450905559685,0.159733110692597,-1.77452817597211,0.0770036082588041,1183,village_year_FE
LAthreegen,0.517803757767041,0.144222311344495,3.59031659484498,0.000386497380903839,1183,village_year_FE
LAelder_alone,-0.189415823938303,0.267660723477707,-0.707671344070319,0.479706196216354,1183,village_year_FE
LAelder_child,-0.0786477087989904,0.287840127536115,-0.273233997886978,0.784863887561029,1183,village_year_FE
LAother,0.35617790147434,0.287414166049228,1.23924963884116,0.216234757286173,1183,village_year_FE
