covariate,Type,Diff.Un,Diff.IPW,Diff.EB
ln_income,Contin.,0.150913052961852,-0.0244991396143787,5.44897353194546e-07
any_elder_80,Binary,-0.11476565489738,0.00238872460540952,-3.80574263214584e-08
n_elderly,Contin.,0.198642330761687,-0.00264898930542234,-6.46393017512292e-07
HB2,Contin.,0.122948377045575,-0.0376786129869877,-2.33278158486125e-06
HB5,Binary,-0.00353481439706738,0.00103805323544648,1.88432217607115e-07
HB8,Contin.,-0.233050626532502,0.0540330877311822,-1.78189273002739e-06
market_access_index,Contin.,0.255844282853757,0.0374399410207126,-1.64281037993356e-06
retail_thickness_index,Contin.,0.105087171728032,0.00686745003664338,7.06101977535216e-07
factor(provy)_云南省 2024,Binary,-0.0291546657535902,-0.00226905727791163,5.88972925430475e-07
factor(provy)_吉林省 2023,Binary,-0.0562045559830007,0.00108830276566226,2.51718392865058e-06
factor(provy)_四川省 2024,Binary,0.0529718624745715,-0.00203687270883962,-3.76402956914212e-07
factor(provy)_山东省 2023,Binary,0.0118834216197708,-0.00175068570952826,-1.15340544114273e-06
factor(provy)_湖北省 2024,Binary,-0.00653588189087392,-0.00284704505924435,8.27817192877722e-07
factor(provy)_甘肃省 2023,Binary,-0.00715019436443835,0.00749403029452037,-3.92707468835352e-07
factor(provy)_福建省 2024,Binary,0.063012346673649,0.0010814184104537,-2.53581313686135e-06
factor(provy)_陕西省 2023,Binary,-0.0288223327760881,-0.000760090715112377,5.24354956871198e-07
