term,est,se,t,p,n,spec
LAelder_only_multi,-0.0896749096057631,0.0354321865402334,-2.53088839165872,0.0113774044654837,1234,Poisson
LAthreegen,0.111812788608432,0.0267434754832666,4.18093709168029,2.90310180994001e-05,1234,Poisson
LAelder_alone,-0.0718634720718517,0.061806485545509,-1.1627173335869,0.24494420654423,1234,Poisson
LAelder_child,0.0204535799810757,0.0658847205392332,0.31044496832761,0.756222602333598,1234,Poisson
LAother,0.086595995010302,0.0509389399389183,1.69999601707732,0.0891316747000291,1234,Poisson
LAelder_only_multi,-0.361107224243819,0.146780319543148,-2.46018829614052,0.0143731842016325,1234,OLS + interview month/weekday dummies
LAthreegen,0.516166983197181,0.125849227971533,4.1014711930846,5.11914728973945e-05,1234,OLS + interview month/weekday dummies
LAelder_alone,-0.262206910769382,0.239707310139145,-1.09386280550717,0.274773902264704,1234,OLS + interview month/weekday dummies
LAelder_child,0.115500877498993,0.274597412832999,0.420618957430736,0.674293716107653,1234,OLS + interview month/weekday dummies
LAother,0.416139152897851,0.23093311685,1.80198993792713,0.0724147585154651,1234,OLS + interview month/weekday dummies
