spec,est,se,p,n,n_treat
"A-line, elder>=60, pooled",0.54688164460256,0.129165857562377,3.04825813538105e-05,718,289
"A-line, elder>=65, pooled",0.542353313136833,0.145418686730709,0.000231377203655814,573,191
"A-line, elder>=60, child<15",0.586028930623999,0.133586816897802,1.58576777459079e-05,727,266
"A-line, elder>=60, child<16",0.533475566507089,0.130175209758627,5.34411620799647e-05,724,278
"A-line, elder>=60, year 2023 only",0.612495745768202,0.20251204415767,0.00294017470260442,342,123
"A-line, elder>=60, year 2024 only",0.495081372803368,0.160407433821225,0.0024004218171307,376,166
"B-line elder gap (MAIN estimand: two-gen baseline, elder x threegen model), elder>=60",-0.293527776886402,0.0865921128374654,0.000800838983032013,1596,750
"B-line elder gap (pooled ALL mixed households, no interaction — different estimand), elder>=60",-0.200007816758963,0.0683975787444242,0.00373686119349371,1631,766
"B-line elder gap (MAIN estimand: two-gen baseline, elder x threegen model), elder>=65",-0.426015594159318,0.0964475497437593,1.48628021453585e-05,1260,569
"B-line elder gap (pooled ALL mixed households, no interaction — different estimand), elder>=65",-0.327786404585232,0.0775656974192531,3.32490505367609e-05,1273,574
