k_pp_decade,scenario,lambda,d_hh_hdds,d_elder_fgds_provisioning,d_elder_fgds_naive,mean_elder_fgds10
,S0 current,,0,0,0,2.56387403446227
4,S1 2035 structure,,-0.0387297362593414,-0.0168775231781962,-0.00177855276855628,2.54699651128407
4,S2 community provisioning lambda=25%,0.25,-0.029047302194506,-0.0126581423836472,,2.55121589207862
4,S2 community provisioning lambda=50%,0.5,-0.0193648681296707,-0.00843876158909812,,2.55543527287317
4,S2 community provisioning lambda=75%,0.75,-0.00968243406483534,-0.00421938079454906,,2.55965465366772
6,S1 2035 structure,,-0.0580946043890123,-0.0253162847672945,-0.00266782915283456,2.53855774969498
6,S2 community provisioning lambda=25%,0.25,-0.0435709532917592,-0.0189872135754709,,2.5448868208868
6,S2 community provisioning lambda=50%,0.5,-0.0290473021945062,-0.0126581423836472,,2.55121589207862
6,S2 community provisioning lambda=75%,0.75,-0.0145236510972531,-0.00632907119182362,,2.55754496327045
8,S1 2035 structure,,-0.0774594725186831,-0.0337550463563927,-0.0035571055371128,2.53011898810588
8,S2 community provisioning lambda=25%,0.25,-0.0580946043890123,-0.0253162847672945,,2.53855774969498
8,S2 community provisioning lambda=50%,0.5,-0.0387297362593415,-0.0168775231781963,,2.54699651128407
8,S2 community provisioning lambda=75%,0.75,-0.0193648681296708,-0.00843876158909816,,2.55543527287317
